stegastes_partitus ENSSPAG00000023392
gasterosteus_aculeatus ENSGACG00000002114
cynoglossus_semilaevis ENSCSEG00000021804
periophthalmus_magnuspinnatus ENSPMGG00000020051
fundulus_heteroclitus ENSFHEG00000020111
cyprinodon_variegatus ENSCVAG00000009627
poecilia_mexicana ENSPMEG00000004435
poecilia_mexicana ENSPMEG00000020491
poecilia_formosa ENSPFOG00000002110
poecilia_formosa ENSPFOG00000009070
poecilia_latipinna ENSPLAG00000017366
poecilia_reticulata ENSPREG00000003501
xiphophorus_maculatus ENSXMAG00000016145
xiphophorus_couchianus ENSXCOG00000020771
gambusia_affinis ENSGAFG00000021963
kryptolebias_marmoratus ENSKMAG00000016547
oryzias_latipes ENSORLG00000029339
oryzias_latipes ENSORLG00020013174
oryzias_latipes_asm223469v1 ENSORLG00015003408
oryzias_melastigma ENSOMEG00000019707
amphiprion_percula ENSAPEG00000006511
amphiprion_ocellaris ENSAOCG00000006153
acanthochromis_polyacanthus ENSAPOG00000009123
maylandia_zebra ENSMZEG00005015057
astatotilapia_calliptera ENSACLG00000006098
haplochromis_burtoni ENSHBUG00000023413
pundamilia_nyererei ENSPNYG00000008128
neolamprologus_brichardi ENSNBRG00000002028
oreochromis_niloticus ENSONIG00000010942
amphilophus_citrinellus ENSACIG00000011831
seriola_lalandi_dorsalis ENSSLDG00000004191
seriola_dumerili ENSSDUG00000003769
scophthalmus_maximus ENSSMAG00000000490
monopterus_albus ENSMALG00000003297
mastacembelus_armatus ENSMAMG00000012870
anabas_testudineus ENSATEG00000006629
takifugu_rubripes ENSTRUG00000004172
tetraodon_nigroviridis ENSTNIG00000008842
mola_mola ENSMMOG00000010692
labrus_bergylta ENSLBEG00000005652
hippocampus_comes ENSHCOG00000008303
gadus_morhua ENSGMOG00000003705
esox_lucius ENSELUG00000012731
pygocentrus_nattereri ENSPNAG00000017480
astyanax_mexicanus ENSAMXG00000018079
ictalurus_punctatus ENSIPUG00000007473
danio_rerio ENSDARG00000034256
paramormyrops_kingsleyae ENSPKIG00000020585
scleropages_formosus ENSSFOG00015012269
lepisosteus_oculatus ENSLOCG00000002991
latimeria_chalumnae ENSLACG00000014661
xenopus_tropicalis ENSXETG00000000185
homo_sapiens ENSG00000185324
pan_paniscus ENSPPAG00000028904
gorilla_gorilla ENSGGOG00000010935
pongo_abelii ENSPPYG00000007669
nomascus_leucogenys ENSNLEG00000015832
rhinopithecus_roxellana ENSRROG00000039095
rhinopithecus_bieti ENSRBIG00000037033
colobus_angolensis_palliatus ENSCANG00000028476
piliocolobus_tephrosceles ENSPTEG00000038512
chlorocebus_sabaeus ENSCSAG00000002799
mandrillus_leucophaeus ENSMLEG00000032988
theropithecus_gelada ENSTGEG00000022134
macaca_nemestrina ENSMNEG00000020078
macaca_mulatta ENSMMUG00000002503
macaca_fascicularis ENSMFAG00000039303
papio_anubis ENSPANG00000021928
cercocebus_atys ENSCATG00000030124
saimiri_boliviensis_boliviensis ENSSBOG00000026282
callithrix_jacchus ENSCJAG00000010752
cebus_capucinus ENSCCAG00000028810
aotus_nancymaae ENSANAG00000029374
carlito_syrichta ENSTSYG00000010914
propithecus_coquereli ENSPCOG00000016730
prolemur_simus ENSPSMG00000010584
microcebus_murinus ENSMICG00000003270
otolemur_garnettii ENSOGAG00000004886
chinchilla_lanigera ENSCLAG00000002701
octodon_degus ENSODEG00000004698
cavia_porcellus ENSCPOG00000032464
cavia_aperea ENSCAPG00000008979
heterocephalus_glaber_female ENSHGLG00000014316
heterocephalus_glaber_male ENSHGLG00100016527
fukomys_damarensis ENSFDAG00000021523
spermophilus_dauricus ENSSDAG00000005915
marmota_marmota_marmota ENSMMMG00000009277
urocitellus_parryii ENSUPAG00010016080
ictidomys_tridecemlineatus ENSSTOG00000020862
castor_canadensis ENSCCNG00000019157
dipodomys_ordii ENSDORG00000015084
nannospalax_galili ENSNGAG00000013798
nannospalax_galili ENSNGAG00000008115
cricetulus_griseus_crigri ENSCGRG00000015728
cricetulus_griseus_chok1gshd ENSCGRG00001014991
cricetulus_griseus_crigri-picr ENSCGRG00015020200
