cricetulus_griseus_crigri ENSCGRG00000002946
cricetulus_griseus_chok1gshd ENSCGRG00001011977
cricetulus_griseus_crigri-picr ENSCGRG00015021562
peromyscus_maniculatus_bairdii ENSPEMG00000014468
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027657
mus_spicilegus ENSMSIG00000031159
mus_musculus ENSMUSG00000041399
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026677
mus_pahari MGP_PahariEiJ_G0029008
rattus_norvegicus ENSRNOG00000013566
meriones_unguiculatus ENSMUGG00000025001
urocitellus_parryii ENSUPAG00010020769
spermophilus_dauricus ENSSDAG00000010358
marmota_marmota_marmota ENSMMMG00000019118
chinchilla_lanigera ENSCLAG00000008501
oryctolagus_cuniculus ENSOCUG00000021421
prolemur_simus ENSPSMG00000006819
microcebus_murinus ENSMICG00000028255
otolemur_garnettii ENSOGAG00000031962
piliocolobus_tephrosceles ENSPTEG00000009962
theropithecus_gelada ENSTGEG00000002904
capra_hircus ENSCHIG00000004503
ovis_aries ENSOARG00000018539
bos_mutus ENSBMUG00000015287
bos_taurus ENSBTAG00000030269
sus_scrofa ENSSSCG00000033553
equus_caballus ENSECAG00000000938
equus_asinus_asinus ENSEASG00005007291
myotis_lucifugus ENSMLUG00000026485
ursus_americanus ENSUAMG00000020441
ursus_maritimus ENSUMAG00000013708
ailuropoda_melanoleuca ENSAMEG00000020216
neovison_vison ENSNVIG00000022511
canis_lupus_familiaris ENSCAFG00000031688
canis_lupus_dingo ENSCAFG00020019543
vulpes_vulpes ENSVVUG00000030296
panthera_tigris_altaica ENSPTIG00000005331
panthera_pardus ENSPPRG00000021803
felis_catus ENSFCAG00000040198
loxodonta_africana ENSLAFG00000028109
dasypus_novemcinctus ENSDNOG00000045113
