cricetulus_griseus_crigri ENSCGRG00000018649
cricetulus_griseus_crigri-picr ENSCGRG00015022487
cricetulus_griseus_chok1gshd ENSCGRG00001009222
peromyscus_maniculatus_bairdii ENSPEMG00000020651
mus_spicilegus ENSMSIG00000021088
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021037
mus_musculus ENSMUSG00000054117
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020140
mus_pahari MGP_PahariEiJ_G0020145
rattus_norvegicus ENSRNOG00000046044
castor_canadensis ENSCCNG00000009796
urocitellus_parryii ENSUPAG00010005303
spermophilus_dauricus ENSSDAG00000017221
ictidomys_tridecemlineatus ENSSTOG00000028720
prolemur_simus ENSPSMG00000023875
ursus_americanus ENSUAMG00000025468
ursus_maritimus ENSUMAG00000018894
ailuropoda_melanoleuca ENSAMEG00000002159
canis_lupus_familiaris ENSCAFG00000000727
canis_lupus_dingo ENSCAFG00020008832
bos_taurus ENSBTAG00000014987
loxodonta_africana ENSLAFG00000027185
