takifugu_rubripes ENSTRUG00000008812
tetraodon_nigroviridis ENSTNIG00000011057
mola_mola ENSMMOG00000006242
labrus_bergylta ENSLBEG00000013433
poecilia_formosa ENSPFOG00000002360
poecilia_latipinna ENSPLAG00000009210
poecilia_mexicana ENSPMEG00000013849
poecilia_reticulata ENSPREG00000008690
xiphophorus_maculatus ENSXMAG00000013982
xiphophorus_couchianus ENSXCOG00000007185
gambusia_affinis ENSGAFG00000013028
cyprinodon_variegatus ENSCVAG00000018426
fundulus_heteroclitus ENSFHEG00000005787
kryptolebias_marmoratus ENSKMAG00000015658
oryzias_latipes ENSORLG00020012946
oryzias_latipes ENSORLG00000008759
oryzias_latipes ENSORLG00015008814
oryzias_melastigma ENSOMEG00000005931
astatotilapia_calliptera ENSACLG00000008120
maylandia_zebra ENSMZEG00005004085
haplochromis_burtoni ENSHBUG00000011247
pundamilia_nyererei ENSPNYG00000002980
neolamprologus_brichardi ENSNBRG00000001574
oreochromis_niloticus ENSONIG00000010508
amphilophus_citrinellus ENSACIG00000020627
amphiprion_ocellaris ENSAOCG00000019183
amphiprion_percula ENSAPEG00000015780
acanthochromis_polyacanthus ENSAPOG00000015272
stegastes_partitus ENSSPAG00000000071
gasterosteus_aculeatus ENSGACG00000015580
scophthalmus_maximus ENSSMAG00000005829
cynoglossus_semilaevis ENSCSEG00000011774
seriola_lalandi ENSSLDG00000021384
seriola_dumerili ENSSDUG00000012557
mastacembelus_armatus ENSMAMG00000005744
monopterus_albus ENSMALG00000000866
anabas_testudineus ENSATEG00000018362
hippocampus_comes ENSHCOG00000013428
periophthalmus_magnuspinnatus ENSPMGG00000014432
gadus_morhua ENSGMOG00000010320
esox_lucius ENSELUG00000020070
danio_rerio ENSDARG00000061800
paramormyrops_kingsleyae ENSPKIG00000025597
lepisosteus_oculatus ENSLOCG00000002847
