callithrix_jacchus ENSCJAG00000064666
cebus_capucinus ENSCCAG00000008829
pan_troglodytes ENSPTRG00000011427
pan_paniscus ENSPPAG00000029412
homo_sapiens ENSG00000182986
gorilla_gorilla ENSGGOG00000014972
nomascus_leucogenys ENSNLEG00000006053
macaca_nemestrina ENSMNEG00000039739
macaca_fascicularis ENSMFAG00000005779
cercocebus_atys ENSCATG00000042172
papio_anubis ENSPANG00000031583
mandrillus_leucophaeus ENSMLEG00000011375
chlorocebus_sabaeus ENSCSAG00000001956
colobus_angolensis ENSCANG00000031077
piliocolobus_tephrosceles ENSPTEG00000025773
mandrillus_leucophaeus ENSMLEG00000038728
macaca_fascicularis ENSMFAG00000019054
theropithecus_gelada ENSTGEG00000006326
rhinopithecus_bieti ENSRBIG00000007523
rhinopithecus_roxellana ENSRROG00000009775
colobus_angolensis ENSCANG00000041786
macaca_nemestrina ENSMNEG00000045225
mandrillus_leucophaeus ENSMLEG00000035663
rhinopithecus_roxellana ENSRROG00000013460
rhinopithecus_bieti ENSRBIG00000033406
nomascus_leucogenys ENSNLEG00000035271
colobus_angolensis ENSCANG00000035766
pan_paniscus ENSPPAG00000041224
rhinopithecus_bieti ENSRBIG00000028484
colobus_angolensis ENSCANG00000004314
pongo_abelii ENSPPYG00000029450
