pelodiscus_sinensis ENSPSIG00000017411
chrysemys_picta_bellii ENSCPBG00000009802
apteryx_rowi ENSARWG00000008717
serinus_canaria ENSSCAG00000000626
lonchura_striata_domestica ENSLSDG00000009139
junco_hyemalis ENSJHYG00000016827
ficedula_albicollis ENSFALG00000002939
calidris_pygmaea ENSCPGG00000011481
calidris_pugnax ENSCPUG00000000875
gallus_gallus ENSGALG00000042008
coturnix_japonica ENSCJPG00005009140
apteryx_owenii ENSAOWG00000012784
dromaius_novaehollandiae ENSDNVG00000010293
apteryx_rowi ENSARWG00000008712
nothoprocta_perdicaria ENSNPEG00000008607
zonotrichia_albicollis ENSZALG00000005976
anolis_carolinensis ENSACAG00000011773
pogona_vitticeps ENSPVIG00000016865
salvator_merianae ENSSMRG00000018455
sphenodon_punctatus ENSSPUG00000001345
crocodylus_porosus ENSCPRG00005003787
phascolarctos_cinereus ENSPCIG00000005714
notamacropus_eugenii ENSMEUG00000011789
sarcophilus_harrisii ENSSHAG00000005779
monodelphis_domestica ENSMODG00000001876
ictidomys_tridecemlineatus ENSSTOG00000024196
urocitellus_parryii ENSUPAG00010015978
marmota_marmota_marmota ENSMMMG00000020699
spermophilus_dauricus ENSSDAG00000012238
cavia_porcellus ENSCPOG00000009422
cavia_aperea ENSCAPG00000009224
chinchilla_lanigera ENSCLAG00000007701
octodon_degus ENSODEG00000004609
octodon_degus ENSODEG00000000019
heterocephalus_glaber_female ENSHGLG00000010756
heterocephalus_glaber_male ENSHGLG00100011212
fukomys_damarensis ENSFDAG00000008820
castor_canadensis ENSCCNG00000021097
dipodomys_ordii ENSDORG00000000769
mus_spicilegus ENSMSIG00000018512
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026461
mus_musculus ENSMUSG00000004032
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025511
mus_pahari MGP_PahariEiJ_G0026957
rattus_norvegicus ENSRNOG00000058357
rattus_norvegicus ENSRNOG00000049743
meriones_unguiculatus ENSMUGG00000023806
cricetulus_griseus_crigri ENSCGRG00000004008
cricetulus_griseus_chok1gshd ENSCGRG00001001494
cricetulus_griseus_crigri-picr ENSCGRG00015026138
