melopsittacus_undulatus ENSMUNG00000006084
ornithorhynchus_anatinus ENSOANG00000031419
lonchura_striata_domestica ENSLSDG00000009316
ficedula_albicollis ENSFALG00000004647
calidris_pugnax ENSCPUG00000007038
dromaius_novaehollandiae ENSDNVG00000001011
gallus_gallus ENSGALG00000052114
gallus_gallus ENSGALG00000047610
gallus_gallus ENSGALG00000052319
anas_platyrhynchos_platyrhynchos ENSAPLG00000030056
apteryx_owenii ENSAOWG00000004276
ornithorhynchus_anatinus ENSOANG00000031774
chelonoidis_abingdonii ENSCABG00000010401
chelonoidis_abingdonii ENSCABG00000010396
chelonoidis_abingdonii ENSCABG00000010400
gopherus_agassizii ENSGAGG00000013164
chrysemys_picta_bellii ENSCPBG00000011966
pelodiscus_sinensis ENSPSIG00000010177
anolis_carolinensis ENSACAG00000004276
pogona_vitticeps ENSPVIG00000005800
salvator_merianae ENSSMRG00000003399
notechis_scutatus ENSNSUG00000011598
notechis_scutatus ENSNSUG00000011597
gallus_gallus ENSGALG00000054294
anas_platyrhynchos_platyrhynchos ENSAPLG00000025986
calidris_pygmaea ENSCPGG00000012186
sphenodon_punctatus ENSSPUG00000016808
oryctolagus_cuniculus ENSOCUG00000029299
ochotona_princeps ENSOPRG00000011069
tupaia_belangeri ENSTBEG00000011454
capra_hircus ENSCHIG00000016737
ovis_aries ENSOARG00000017855
bos_taurus ENSBTAG00000014377
bos_mutus ENSBMUG00000021969
bison_bison_bison ENSBBBG00000012374
tursiops_truncatus ENSTTRG00000010295
sus_scrofa ENSSSCG00000021363
vicugna_pacos ENSVPAG00000010794
myotis_lucifugus ENSMLUG00000014643
myotis_lucifugus ENSMLUG00000003144
pteropus_vampyrus ENSPVAG00000016344
equus_caballus ENSECAG00000010051
equus_asinus_asinus ENSEASG00005019360
procavia_capensis ENSPCAG00000004350
loxodonta_africana ENSLAFG00000000572
echinops_telfairi ENSETEG00000017733
choloepus_hoffmanni ENSCHOG00000013371
dasypus_novemcinctus ENSDNOG00000047846
pan_troglodytes ENSPTRG00000008714
pan_paniscus ENSPPAG00000032886
homo_sapiens ENSG00000170004
gorilla_gorilla ENSGGOG00000013496
pongo_abelii ENSPPYG00000007940
nomascus_leucogenys ENSNLEG00000009770
cercocebus_atys ENSCATG00000041717
mandrillus_leucophaeus ENSMLEG00000032249
papio_anubis ENSPANG00000023938
theropithecus_gelada ENSTGEG00000025706
macaca_fascicularis ENSMFAG00000020113
macaca_mulatta ENSMMUG00000022221
macaca_nemestrina ENSMNEG00000001728
chlorocebus_sabaeus ENSCSAG00000011122
piliocolobus_tephrosceles ENSPTEG00000009942
colobus_angolensis_palliatus ENSCANG00000037641
rhinopithecus_roxellana ENSRROG00000029554
rhinopithecus_bieti ENSRBIG00000033562
cebus_capucinus ENSCCAG00000034792
saimiri_boliviensis_boliviensis ENSSBOG00000020719
callithrix_jacchus ENSCJAG00000014766
aotus_nancymaae ENSANAG00000034323
carlito_syrichta ENSTSYG00000035658
propithecus_coquereli ENSPCOG00000020952
microcebus_murinus ENSMICG00000008741
prolemur_simus ENSPSMG00000018318
otolemur_garnettii ENSOGAG00000003216
chinchilla_lanigera ENSCLAG00000010523
octodon_degus ENSODEG00000017785
cavia_porcellus ENSCPOG00000022653
cavia_aperea ENSCAPG00000014864
heterocephalus_glaber_female ENSHGLG00000012017
heterocephalus_glaber_male ENSHGLG00100013902
fukomys_damarensis ENSFDAG00000008220
marmota_marmota_marmota ENSMMMG00000019936
urocitellus_parryii ENSUPAG00010015846
spermophilus_dauricus ENSSDAG00000001794
ictidomys_tridecemlineatus ENSSTOG00000025907
castor_canadensis ENSCCNG00000001794
dipodomys_ordii ENSDORG00000010713
cricetulus_griseus_chok1gshd ENSCGRG00001011306
cricetulus_griseus_crigri ENSCGRG00000007878
cricetulus_griseus_crigri-picr ENSCGRG00015010481
mesocricetus_auratus ENSMAUG00000013873
microtus_ochrogaster ENSMOCG00000004848
peromyscus_maniculatus_bairdii ENSPEMG00000014262
mus_musculus ENSMUSG00000018474
mus_spicilegus ENSMSIG00000026278
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017400
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016564
mus_pahari MGP_PahariEiJ_G0017695
rattus_norvegicus ENSRNOG00000009722
meriones_unguiculatus ENSMUGG00000014561
nannospalax_galili ENSNGAG00000000773
jaculus_jaculus ENSJJAG00000017633
sorex_araneus ENSSARG00000010492
erinaceus_europaeus ENSEEUG00000015205
ursus_americanus ENSUAMG00000005475
ailuropoda_melanoleuca ENSAMEG00000017006
ailuropoda_melanoleuca ENSAMEG00000003025
neovison_vison ENSNVIG00000004454
mustela_putorius_furo ENSMPUG00000008861
canis_lupus_familiaris ENSCAFG00000016859
canis_lupus_dingo ENSCAFG00020007422
vulpes_vulpes ENSVVUG00000028011
panthera_pardus ENSPPRG00000000626
panthera_tigris_altaica ENSPTIG00000020407
felis_catus ENSFCAG00000009629
phascolarctos_cinereus ENSPCIG00000005442
notamacropus_eugenii ENSMEUG00000005852
sarcophilus_harrisii ENSSHAG00000014412
monodelphis_domestica ENSMODG00000007509
ornithorhynchus_anatinus ENSOANG00000032223
ornithorhynchus_anatinus ENSOANG00000030019
fundulus_heteroclitus ENSFHEG00000016975
xenopus_tropicalis ENSXETG00000012991
latimeria_chalumnae ENSLACG00000008031
oryzias_latipes ENSORLG00020008407
oryzias_latipes ENSORLG00020008387
oryzias_latipes_asm223469v1 ENSORLG00015005236
oryzias_latipes_asm223469v1 ENSORLG00015000154
oryzias_latipes_asm223469v1 ENSORLG00015005223
oryzias_latipes_asm223469v1 ENSORLG00015005254
gasterosteus_aculeatus ENSGACG00000019275
poecilia_mexicana ENSPMEG00000016725
poecilia_mexicana ENSPMEG00000016736
poecilia_formosa ENSPFOG00000012464
poecilia_reticulata ENSPREG00000011044
poecilia_latipinna ENSPLAG00000002887
gambusia_affinis ENSGAFG00000004055
gambusia_affinis ENSGAFG00000004126
xiphophorus_couchianus ENSXCOG00000000833
xiphophorus_couchianus ENSXCOG00000000809
xiphophorus_couchianus ENSXCOG00000000873
xiphophorus_maculatus ENSXMAG00000016035
cyprinodon_variegatus ENSCVAG00000007293
kryptolebias_marmoratus ENSKMAG00000019292
oryzias_melastigma ENSOMEG00000013691
oryzias_latipes ENSORLG00000007107
monopterus_albus ENSMALG00000001614
monopterus_albus ENSMALG00000001483
monopterus_albus ENSMALG00000001544
periophthalmus_magnuspinnatus ENSPMGG00000008212
periophthalmus_magnuspinnatus ENSPMGG00000008215
periophthalmus_magnuspinnatus ENSPMGG00000008214
fundulus_heteroclitus ENSFHEG00000017002
amphiprion_percula ENSAPEG00000006341
amphiprion_ocellaris ENSAOCG00000023784
acanthochromis_polyacanthus ENSAPOG00000005614
stegastes_partitus ENSSPAG00000013694
seriola_dumerili ENSSDUG00000005772
seriola_dumerili ENSSDUG00000005749
seriola_dumerili ENSSDUG00000005792
