echinops_telfairi ENSETEG00000008360
erinaceus_europaeus ENSEEUG00000001463
dasypus_novemcinctus ENSDNOG00000048074
choloepus_hoffmanni ENSCHOG00000004118
phascolarctos_cinereus ENSPCIG00000015129
vombatus_ursinus ENSVURG00010019638
sarcophilus_harrisii ENSSHAG00000001171
monodelphis_domestica ENSMODG00000010247
ornithorhynchus_anatinus ENSOANG00000030253
peromyscus_maniculatus ENSPEMG00000017292
microtus_ochrogaster ENSMOCG00000014344
cricetulus_griseus ENSCGRG00000016326
cricetulus_griseus ENSCGRG00015027680
cricetulus_griseus ENSCGRG00001016138
mesocricetus_auratus ENSMAUG00000001706
mus_spretus MGP_SPRETEiJ_G0031767
mus_spicilegus ENSMSIG00000008427
mus_musculus ENSMUSG00000025479
mus_caroli MGP_CAROLIEiJ_G0030656
mus_pahari MGP_PahariEiJ_G0013856
rattus_norvegicus ENSRNOG00000012458
meriones_unguiculatus ENSMUGG00000025075
nannospalax_galili ENSNGAG00000021955
jaculus_jaculus ENSJJAG00000000814
cavia_porcellus ENSCPOG00000004043
cavia_aperea ENSCAPG00000011200
octodon_degus ENSODEG00000016862
heterocephalus_glaber ENSHGLG00100018832
heterocephalus_glaber ENSHGLG00000017022
fukomys_damarensis ENSFDAG00000021132
chinchilla_lanigera ENSCLAG00000003214
castor_canadensis ENSCCNG00000022331
dipodomys_ordii ENSDORG00000003225
spermophilus_dauricus ENSSDAG00000001112
marmota_marmota ENSMMMG00000004516
ictidomys_tridecemlineatus ENSSTOG00000000553
urocitellus_parryii ENSUPAG00010014888
oryctolagus_cuniculus ENSOCUG00000007724
ochotona_princeps ENSOPRG00000010258
tupaia_belangeri ENSTBEG00000001555
saimiri_boliviensis ENSSBOG00000033714
cebus_capucinus ENSCCAG00000028607
callithrix_jacchus ENSCJAG00000004874
aotus_nancymaae ENSANAG00000024803
pan_paniscus ENSPPAG00000035698
pan_troglodytes ENSPTRG00000003099
homo_sapiens ENSG00000130649
gorilla_gorilla ENSGGOG00000002962
pongo_abelii ENSPPYG00000002795
nomascus_leucogenys ENSNLEG00000002505
macaca_mulatta ENSMMUG00000055298
macaca_mulatta ENSMMUG00000006339
macaca_nemestrina ENSMNEG00000036458
chlorocebus_sabaeus ENSCSAG00000006614
theropithecus_gelada ENSTGEG00000000129
papio_anubis ENSPANG00000020066
mandrillus_leucophaeus ENSMLEG00000039084
macaca_fascicularis ENSMFAG00000044389
cercocebus_atys ENSCATG00000030300
cercocebus_atys ENSCATG00000007741
papio_anubis ENSPANG00000030323
macaca_mulatta ENSMMUG00000050538
theropithecus_gelada ENSTGEG00000000269
colobus_angolensis ENSCANG00000042117
piliocolobus_tephrosceles ENSPTEG00000024558
rhinopithecus_bieti ENSRBIG00000029765
rhinopithecus_roxellana ENSRROG00000037450
carlito_syrichta ENSTSYG00000002095
propithecus_coquereli ENSPCOG00000010353
prolemur_simus ENSPSMG00000016948
microcebus_murinus ENSMICG00000006780
otolemur_garnettii ENSOGAG00000008353
procavia_capensis ENSPCAG00000016428
ornithorhynchus_anatinus ENSOANG00000020328
capra_hircus ENSCHIG00000000393
ovis_aries ENSOARG00000000042
bos_indicus ENSBIXG00000012311
bos_indicus ENSBIXG00005026000
bos_taurus ENSBTAG00000018365
bos_mutus ENSBMUG00000002838
bison_bison ENSBBBG00000002692
tursiops_truncatus ENSTTRG00000015853
sus_scrofa ENSSSCG00000010780
equus_caballus ENSECAG00000019088
equus_asinus ENSEASG00005015133
ursus_americanus ENSUAMG00000025794
ursus_maritimus ENSUMAG00000010292
ailuropoda_melanoleuca ENSAMEG00000003132
mustela_putorius ENSMPUG00000002885
neovison_vison ENSNVIG00000010037
canis_lupus ENSCAFG00020020485
vulpes_vulpes ENSVVUG00000026055
panthera_tigris ENSPTIG00000013948
panthera_pardus ENSPPRG00000004756
felis_catus ENSFCAG00000047986
felis_catus ENSFCAG00000013762
myotis_lucifugus ENSMLUG00000017145
sorex_araneus ENSSARG00000003162
