astatotilapia_calliptera ENSACLG00000020017
maylandia_zebra ENSMZEG00005019427
pundamilia_nyererei ENSPNYG00000023900
haplochromis_burtoni ENSHBUG00000007099
oreochromis_niloticus ENSONIG00000010520
neolamprologus_brichardi ENSNBRG00000008620
amphilophus_citrinellus ENSACIG00000017756
xiphophorus_maculatus ENSXMAG00000005860
xiphophorus_couchianus ENSXCOG00000006021
poecilia_formosa ENSPFOG00000005455
poecilia_latipinna ENSPLAG00000018099
poecilia_mexicana ENSPMEG00000015851
poecilia_reticulata ENSPREG00000015798
gambusia_affinis ENSGAFG00000019709
fundulus_heteroclitus ENSFHEG00000000045
cyprinodon_variegatus ENSCVAG00000002356
takifugu_rubripes ENSTRUG00000025398
tetraodon_nigroviridis ENSTNIG00000014381
takifugu_rubripes ENSTRUG00000021159
tetraodon_nigroviridis ENSTNIG00000017183
mola_mola ENSMMOG00000019021
labrus_bergylta ENSLBEG00000008645
amphiprion_ocellaris ENSAOCG00000006778
amphiprion_percula ENSAPEG00000005363
acanthochromis_polyacanthus ENSAPOG00000005280
stegastes_partitus ENSSPAG00000014827
kryptolebias_marmoratus ENSKMAG00000017217
oryzias_latipes ENSORLG00000008436
oryzias_latipes ENSORLG00015001432
oryzias_latipes ENSORLG00020020157
oryzias_melastigma ENSOMEG00000017976
gasterosteus_aculeatus ENSGACG00000005302
monopterus_albus ENSMALG00000001001
mastacembelus_armatus ENSMAMG00000002742
anabas_testudineus ENSATEG00000003546
scophthalmus_maximus ENSSMAG00000013527
scophthalmus_maximus ENSSMAG00000013520
cynoglossus_semilaevis ENSCSEG00000003051
seriola_dumerili ENSSDUG00000005056
seriola_lalandi ENSSLDG00000005872
hippocampus_comes ENSHCOG00000016444
periophthalmus_magnuspinnatus ENSPMGG00000008701
gadus_morhua ENSGMOG00000009019
esox_lucius ENSELUG00000001584
pygocentrus_nattereri ENSPNAG00000010164
astyanax_mexicanus ENSAMXG00000032128
ictalurus_punctatus ENSIPUG00000006595
danio_rerio ENSDARG00000040556
scleropages_formosus ENSSFOG00015013670
paramormyrops_kingsleyae ENSPKIG00000011743
paramormyrops_kingsleyae ENSPKIG00000021432
lepisosteus_oculatus ENSLOCG00000005230
microtus_ochrogaster ENSMOCG00000022433
peromyscus_maniculatus ENSPEMG00000005158
cricetulus_griseus ENSCGRG00001016384
cricetulus_griseus ENSCGRG00000012631
cricetulus_griseus ENSCGRG00015015256
mesocricetus_auratus ENSMAUG00000017928
mus_musculus ENSMUSG00000001105
mus_spretus MGP_SPRETEiJ_G0017656
mus_spicilegus ENSMSIG00000009875
mus_caroli MGP_CAROLIEiJ_G0016813
mus_pahari MGP_PahariEiJ_G0017950
rattus_norvegicus ENSRNOG00000008891
meriones_unguiculatus ENSMUGG00000014225
nannospalax_galili ENSNGAG00000009753
jaculus_jaculus ENSJJAG00000013189
castor_canadensis ENSCCNG00000000060
dipodomys_ordii ENSDORG00000002562
marmota_marmota ENSMMMG00000012345
ictidomys_tridecemlineatus ENSSTOG00000029956
ictidomys_tridecemlineatus ENSSTOG00000007554
spermophilus_dauricus ENSSDAG00000010868
urocitellus_parryii ENSUPAG00010022384
colobus_angolensis ENSCANG00000035816
carlito_syrichta ENSTSYG00000007031
propithecus_coquereli ENSPCOG00000023434
microcebus_murinus ENSMICG00000005074
otolemur_garnettii ENSOGAG00000028421
gorilla_gorilla ENSGGOG00000042724
rhinopithecus_roxellana ENSRROG00000039999
macaca_mulatta ENSMMUG00000019143
macaca_fascicularis ENSMFAG00000032862
mandrillus_leucophaeus ENSMLEG00000030936
nomascus_leucogenys ENSNLEG00000027167
pan_troglodytes ENSPTRG00000008911
chlorocebus_sabaeus ENSCSAG00000007370
cebus_capucinus ENSCCAG00000019012
dasypus_novemcinctus ENSDNOG00000035795
ursus_maritimus ENSUMAG00000018816
ursus_americanus ENSUAMG00000001828
loxodonta_africana ENSLAFG00000014482
heterocephalus_glaber ENSHGLG00100017520
heterocephalus_glaber ENSHGLG00000017559
heterocephalus_glaber ENSHGLG00100008650
heterocephalus_glaber ENSHGLG00000004019
heterocephalus_glaber ENSHGLG00000006534
fukomys_damarensis ENSFDAG00000015001
fukomys_damarensis ENSFDAG00000020263
octodon_degus ENSODEG00000015253
octodon_degus ENSODEG00000003262
octodon_degus ENSODEG00000008717
chinchilla_lanigera ENSCLAG00000011729
cavia_porcellus ENSCPOG00000032048
urocitellus_parryii ENSUPAG00010023517
jaculus_jaculus ENSJJAG00000023770
carlito_syrichta ENSTSYG00000030575
ovis_aries ENSOARG00000017526
capra_hircus ENSCHIG00000011326
bos_mutus ENSBMUG00000019560
bos_taurus ENSBTAG00000008110
bison_bison ENSBBBG00000018412
tursiops_truncatus ENSTTRG00000010136
myotis_lucifugus ENSMLUG00000008709
myotis_lucifugus ENSMLUG00000023302
sus_scrofa ENSSSCG00000023719
vicugna_pacos ENSVPAG00000000017
pteropus_vampyrus ENSPVAG00000002874
sorex_araneus ENSSARG00000011438
ursus_americanus ENSUAMG00000018460
ursus_maritimus ENSUMAG00000012080
ailuropoda_melanoleuca ENSAMEG00000005111
neovison_vison ENSNVIG00000017723
mustela_putorius ENSMPUG00000014353
canis_lupus ENSCAFG00020012027
canis_lupus ENSCAFG00000018659
vulpes_vulpes ENSVVUG00000015948
panthera_pardus ENSPPRG00000006453
panthera_tigris ENSPTIG00000005653
felis_catus ENSFCAG00000008393
equus_caballus ENSECAG00000009950
equus_asinus ENSEASG00005009981
equus_caballus ENSECAG00000030028
echinops_telfairi ENSETEG00000018843
prolemur_simus ENSPSMG00000014732
microcebus_murinus ENSMICG00000017886
otolemur_garnettii ENSOGAG00000003333
callithrix_jacchus ENSCJAG00000012534
callithrix_jacchus ENSCJAG00000023418
saimiri_boliviensis ENSSBOG00000029622
aotus_nancymaae ENSANAG00000037421
macaca_nemestrina ENSMNEG00000035219
cercocebus_atys ENSCATG00000033249
theropithecus_gelada ENSTGEG00000007530
papio_anubis ENSPANG00000023531
rhinopithecus_bieti ENSRBIG00000019359
rhinopithecus_roxellana ENSRROG00000040764
piliocolobus_tephrosceles ENSPTEG00000030301
pan_paniscus ENSPPAG00000010099
homo_sapiens ENSG00000109083
gorilla_gorilla ENSGGOG00000004568
pongo_abelii ENSPPYG00000008087
tupaia_belangeri ENSTBEG00000005557
erinaceus_europaeus ENSEEUG00000005932
procavia_capensis ENSPCAG00000000709
choloepus_hoffmanni ENSCHOG00000011109
oryctolagus_cuniculus ENSOCUG00000007773
ochotona_princeps ENSOPRG00000005826
sarcophilus_harrisii ENSSHAG00000012509
notamacropus_eugenii ENSMEUG00000004891
monodelphis_domestica ENSMODG00000019233
phascolarctos_cinereus ENSPCIG00000023612
ornithorhynchus_anatinus ENSOANG00000012207
chelonoidis_abingdonii ENSCABG00000018892
gopherus_agassizii ENSGAGG00000003179
chrysemys_picta ENSCPBG00000014056
pelodiscus_sinensis ENSPSIG00000014462
calidris_pygmaea ENSCPGG00000017138
calidris_pugnax ENSCPUG00000012680
junco_hyemalis ENSJHYG00000011249
lepidothrix_coronata ENSLCOG00000008859
taeniopygia_guttata ENSTGUG00000008706
lonchura_striata ENSLSDG00000013806
serinus_canaria ENSSCAG00000012396
zonotrichia_albicollis ENSZALG00000012404
ficedula_albicollis ENSFALG00000004793
parus_major ENSPMJG00000000252
cyanistes_caeruleus ENSCCEG00000021192
gallus_gallus ENSGALG00000005707
coturnix_japonica ENSCJPG00005019049
numida_meleagris ENSNMEG00000012705
anser_brachyrhynchus ENSABRG00000015439
anas_platyrhynchos ENSAPLG00000019394
meleagris_gallopavo ENSMGAG00000008553
anas_platyrhynchos ENSAPLG00000008653
melopsittacus_undulatus ENSMUNG00000005904
apteryx_haastii ENSAHAG00000010918
apteryx_owenii ENSAOWG00000014535
apteryx_rowi ENSARWG00000010336
dromaius_novaehollandiae ENSDNVG00000014384
nothoprocta_perdicaria ENSNPEG00000009977
crocodylus_porosus ENSCPRG00005009101
notechis_scutatus ENSNSUG00000006922
pogona_vitticeps ENSPVIG00000023345
salvator_merianae ENSSMRG00000011997
sphenodon_punctatus ENSSPUG00000001380
xenopus_tropicalis ENSXETG00000019444
latimeria_chalumnae ENSLACG00000017996
petromyzon_marinus ENSPMAG00000003532
eptatretus_burgeri ENSEBUG00000016655
ciona_intestinalis ENSCING00000005972
ciona_savignyi ENSCSAVG00000010727
caenorhabditis_elegans WBGene00022465
drosophila_melanogaster FBgn0050441
