crocodylus_porosus ENSCPRG00005007958
chrysemys_picta_bellii ENSCPBG00000014874
apteryx_owenii ENSAOWG00000004687
apteryx_rowi ENSARWG00000010952
apteryx_haastii ENSAHAG00000007354
dromaius_novaehollandiae ENSDNVG00000007763
nothoprocta_perdicaria ENSNPEG00000011163
parus_major ENSPMJG00000019010
junco_hyemalis ENSJHYG00000009171
gallus_gallus ENSGALG00000002463
calidris_pygmaea ENSCPGG00000009506
calidris_pugnax ENSCPUG00000004653
anas_platyrhynchos_platyrhynchos ENSAPLG00000011312
sphenodon_punctatus ENSSPUG00000002440
mus_musculus ENSMUSG00000025538
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028786
mus_spicilegus ENSMSIG00000020971
mus_pahari MGP_PahariEiJ_G0024396
rattus_norvegicus ENSRNOG00000000922
meriones_unguiculatus ENSMUGG00000006030
cricetulus_griseus_crigri-picr ENSCGRG00015019410
cricetulus_griseus_crigri ENSCGRG00000007909
mesocricetus_auratus ENSMAUG00000012666
microtus_ochrogaster ENSMOCG00000008829
peromyscus_maniculatus_bairdii ENSPEMG00000012224
nannospalax_galili ENSNGAG00000001198
jaculus_jaculus ENSJJAG00000010817
castor_canadensis ENSCCNG00000022875
dipodomys_ordii ENSDORG00000001252
urocitellus_parryii ENSUPAG00010019268
spermophilus_dauricus ENSSDAG00000013496
ictidomys_tridecemlineatus ENSSTOG00000010489
marmota_marmota_marmota ENSMMMG00000004273
heterocephalus_glaber_male ENSHGLG00100014470
heterocephalus_glaber_female ENSHGLG00000011518
fukomys_damarensis ENSFDAG00000007116
cavia_aperea ENSCAPG00000015137
cavia_porcellus ENSCPOG00000006993
oryctolagus_cuniculus ENSOCUG00000013602
propithecus_coquereli ENSPCOG00000026090
otolemur_garnettii ENSOGAG00000006251
papio_anubis ENSPANG00000020728
pongo_abelii ENSPPYG00000017544
aotus_nancymaae ENSANAG00000022277
nomascus_leucogenys ENSNLEG00000015760
pan_paniscus ENSPPAG00000035909
piliocolobus_tephrosceles ENSPTEG00000012386
rhinopithecus_bieti ENSRBIG00000037381
theropithecus_gelada ENSTGEG00000005873
rhinopithecus_roxellana ENSRROG00000039501
colobus_angolensis_palliatus ENSCANG00000036327
cercocebus_atys ENSCATG00000032432
saimiri_boliviensis_boliviensis ENSSBOG00000017068
carlito_syrichta ENSTSYG00000029448
prolemur_simus ENSPSMG00000014711
microcebus_murinus ENSMICG00000027938
ursus_americanus ENSUAMG00000004357
ursus_maritimus ENSUMAG00000015529
ailuropoda_melanoleuca ENSAMEG00000016065
mustela_putorius_furo ENSMPUG00000016209
neovison_vison ENSNVIG00000009390
canis_lupus_dingo ENSCAFG00020005154
canis_lupus_familiaris ENSCAFG00000010156
vulpes_vulpes ENSVVUG00000016603
panthera_pardus ENSPPRG00000004511
panthera_tigris_altaica ENSPTIG00000015178
felis_catus ENSFCAG00000002981
equus_asinus_asinus ENSEASG00005008858
bos_mutus ENSBMUG00000025171
bos_taurus ENSBTAG00000008190
capra_hircus ENSCHIG00000026438
ovis_aries ENSOARG00000010109
sus_scrofa ENSSSCG00000007745
myotis_lucifugus ENSMLUG00000015146
dasypus_novemcinctus ENSDNOG00000025328
loxodonta_africana ENSLAFG00000012794
ornithorhynchus_anatinus ENSOANG00000010443
xenopus_tropicalis ENSXETG00000010068
maylandia_zebra ENSMZEG00005024867
astatotilapia_calliptera ENSACLG00000006854
haplochromis_burtoni ENSHBUG00000006248
pundamilia_nyererei ENSPNYG00000018820
neolamprologus_brichardi ENSNBRG00000001930
amphilophus_citrinellus ENSACIG00000019535
stegastes_partitus ENSSPAG00000008522
amphiprion_percula ENSAPEG00000017619
poecilia_latipinna ENSPLAG00000017981
poecilia_formosa ENSPFOG00000010926
poecilia_reticulata ENSPREG00000009114
gambusia_affinis ENSGAFG00000001630
oryzias_latipes ENSORLG00000002873
scophthalmus_maximus ENSSMAG00000001639
anabas_testudineus ENSATEG00000007806
esox_lucius ENSELUG00000024198
danio_rerio ENSDARG00000069497
lepisosteus_oculatus ENSLOCG00000004200
