ciona_intestinalis ENSCING00000003538
ciona_savignyi ENSCSAVG00000007479
paramormyrops_kingsleyae ENSPKIG00000019407
scleropages_formosus ENSSFOG00015005892
gasterosteus_aculeatus ENSGACG00000004854
labrus_bergylta ENSLBEG00000003112
scophthalmus_maximus ENSSMAG00000014974
cynoglossus_semilaevis ENSCSEG00000011815
seriola_dumerili ENSSDUG00000017987
seriola_lalandi_dorsalis ENSSLDG00000010027
mastacembelus_armatus ENSMAMG00000004142
poecilia_formosa ENSPFOG00000021928
poecilia_reticulata ENSPREG00000006248
gambusia_affinis ENSGAFG00000010560
kryptolebias_marmoratus ENSKMAG00000020776
oryzias_latipes ENSORLG00000022669
oryzias_latipes_asm223469v1 ENSORLG00015010298
oryzias_latipes ENSORLG00020017985
amphiprion_percula ENSAPEG00000002290
amphiprion_ocellaris ENSAOCG00000012737
acanthochromis_polyacanthus ENSAPOG00000022388
haplochromis_burtoni ENSHBUG00000018754
gadus_morhua ENSGMOG00000004508
esox_lucius ENSELUG00000005091
pygocentrus_nattereri ENSPNAG00000018339
astyanax_mexicanus ENSAMXG00000032763
ictalurus_punctatus ENSIPUG00000006683
danio_rerio ENSDARG00000094836
caenorhabditis_elegans_strain_n2 WBGene00006923
