bos_taurus ENSBTAG00000049760
bos_mutus ENSBMUG00000015501
bison_bison_bison ENSBBBG00000009884
ovis_aries ENSOARG00000000041
capra_hircus ENSCHIG00000019355
sus_scrofa ENSSSCG00000038183
vicugna_pacos ENSVPAG00000000449
equus_caballus ENSECAG00000033255
equus_asinus_asinus ENSEASG00005003635
ursus_maritimus ENSUMAG00000001020
ursus_americanus ENSUAMG00000000587
ailuropoda_melanoleuca ENSAMEG00000011281
neovison_vison ENSNVIG00000010655
vulpes_vulpes ENSVVUG00000008326
canis_lupus_dingo ENSCAFG00020004086
myotis_lucifugus ENSMLUG00000003579
pteropus_vampyrus ENSPVAG00000010530
spermophilus_dauricus ENSSDAG00000009638
spermophilus_dauricus ENSSDAG00000009642
urocitellus_parryii ENSUPAG00010018852
marmota_marmota_marmota ENSMMMG00000023835
tupaia_belangeri ENSTBEG00000004327
echinops_telfairi ENSETEG00000014931
