poecilia_reticulata ENSPREG00000019928
poecilia_latipinna ENSPLAG00000014206
xiphophorus_maculatus ENSXMAG00000026935
xiphophorus_couchianus ENSXCOG00000008975
gambusia_affinis ENSGAFG00000007526
stegastes_partitus ENSSPAG00000022393
mastacembelus_armatus ENSMAMG00000007190
takifugu_rubripes ENSTRUG00000024192
apteryx_owenii ENSAOWG00000013602
apteryx_rowi ENSARWG00000017207
dromaius_novaehollandiae ENSDNVG00000000977
crocodylus_porosus ENSCPRG00005010509
notamacropus_eugenii ENSMEUG00000005828
