macaca_mulatta ENSMMUG00000044769
macaca_fascicularis ENSMFAG00000009942
macaca_nemestrina ENSMNEG00000027419
mandrillus_leucophaeus ENSMLEG00000041930
papio_anubis ENSPANG00000034931
papio_anubis ENSPANG00000034161
theropithecus_gelada ENSTGEG00000001810
papio_anubis ENSPANG00000031260
theropithecus_gelada ENSTGEG00000004181
macaca_fascicularis ENSMFAG00000030729
cercocebus_atys ENSCATG00000035434
piliocolobus_tephrosceles ENSPTEG00000026279
gorilla_gorilla ENSGGOG00000037616
pan_troglodytes ENSPTRG00000049447
