anolis_carolinensis ENSACAG00000013083
pogona_vitticeps ENSPVIG00000018408
notechis_scutatus ENSNSUG00000006343
salvator_merianae ENSSMRG00000019816
sphenodon_punctatus ENSSPUG00000003740
gopherus_agassizii ENSGAGG00000013250
chelonoidis_abingdonii ENSCABG00000012177
chrysemys_picta_bellii ENSCPBG00000023230
pelodiscus_sinensis ENSPSIG00000006953
latimeria_chalumnae ENSLACG00000008101
xiphophorus_maculatus ENSXMAG00000018977
xiphophorus_couchianus ENSXCOG00000017491
gambusia_affinis ENSGAFG00000006817
poecilia_formosa ENSPFOG00000018781
poecilia_latipinna ENSPLAG00000000789
poecilia_mexicana ENSPMEG00000007230
poecilia_reticulata ENSPREG00000015426
fundulus_heteroclitus ENSFHEG00000000069
cyprinodon_variegatus ENSCVAG00000004612
kryptolebias_marmoratus ENSKMAG00000016225
oryzias_latipes ENSORLG00020017374
oryzias_latipes_asm223469v1 ENSORLG00015004047
oryzias_melastigma ENSOMEG00000023040
oryzias_latipes ENSORLG00000000857
periophthalmus_magnuspinnatus ENSPMGG00000017374
labrus_bergylta ENSLBEG00000021825
gasterosteus_aculeatus ENSGACG00000001890
takifugu_rubripes ENSTRUG00000018586
tetraodon_nigroviridis ENSTNIG00000013565
mola_mola ENSMMOG00000009603
periophthalmus_magnuspinnatus ENSPMGG00000017382
scophthalmus_maximus ENSSMAG00000011471
cynoglossus_semilaevis ENSCSEG00000008698
seriola_dumerili ENSSDUG00000023607
seriola_lalandi_dorsalis ENSSLDG00000018595
amphiprion_percula ENSAPEG00000006382
amphiprion_ocellaris ENSAOCG00000004829
acanthochromis_polyacanthus ENSAPOG00000017430
stegastes_partitus ENSSPAG00000005826
maylandia_zebra ENSMZEG00005012405
astatotilapia_calliptera ENSACLG00000014938
haplochromis_burtoni ENSHBUG00000009302
pundamilia_nyererei ENSPNYG00000009352
neolamprologus_brichardi ENSNBRG00000003795
oreochromis_niloticus ENSONIG00000011477
amphilophus_citrinellus ENSACIG00000013336
mastacembelus_armatus ENSMAMG00000010347
monopterus_albus ENSMALG00000002422
anabas_testudineus ENSATEG00000001626
gadus_morhua ENSGMOG00000014554
esox_lucius ENSELUG00000024113
hippocampus_comes ENSHCOG00000005207
pygocentrus_nattereri ENSPNAG00000003891
astyanax_mexicanus ENSAMXG00000042261
ictalurus_punctatus ENSIPUG00000016400
danio_rerio ENSDARG00000098296
paramormyrops_kingsleyae ENSPKIG00000015178
paramormyrops_kingsleyae ENSPKIG00000009228
scleropages_formosus ENSSFOG00015011901
lepisosteus_oculatus ENSLOCG00000015279
petromyzon_marinus ENSPMAG00000005406
eptatretus_burgeri ENSEBUG00000002941
