oreochromis_niloticus ENSONIG00000001058
poecilia_formosa ENSPFOG00000005884
scophthalmus_maximus ENSSMAG00000009932
ictalurus_punctatus ENSIPUG00000001563
esox_lucius ENSELUG00000021200
amphiprion_percula ENSAPEG00000008737
acanthochromis_polyacanthus ENSAPOG00000004301
stegastes_partitus ENSSPAG00000013564
astatotilapia_calliptera ENSACLG00000027084
haplochromis_burtoni ENSHBUG00000002622
maylandia_zebra ENSMZEG00005025521
pundamilia_nyererei ENSPNYG00000009914
poecilia_formosa ENSPFOG00000002745
gambusia_affinis ENSGAFG00000009877
gasterosteus_aculeatus ENSGACG00000013912
hippocampus_comes ENSHCOG00000020115
astyanax_mexicanus ENSAMXG00000043226
pygocentrus_nattereri ENSPNAG00000028633
lepisosteus_oculatus ENSLOCG00000009454
gopherus_agassizii ENSGAGG00000019097
chelonoidis_abingdonii ENSCABG00000010572
chrysemys_picta_bellii ENSCPBG00000019464
pelodiscus_sinensis ENSPSIG00000007673
zonotrichia_albicollis ENSZALG00000012320
junco_hyemalis ENSJHYG00000015327
taeniopygia_guttata ENSTGUG00000008177
taeniopygia_guttata ENSTGUG00000016908
ficedula_albicollis ENSFALG00000006907
cyanistes_caeruleus ENSCCEG00000018398
parus_major ENSPMJG00000017218
melopsittacus_undulatus ENSMUNG00000012970
numida_meleagris ENSNMEG00000005804
gallus_gallus ENSGALG00000038612
anser_brachyrhynchus ENSABRG00000017184
anas_platyrhynchos_platyrhynchos ENSAPLG00000014524
meleagris_gallopavo ENSMGAG00000005448
apteryx_rowi ENSARWG00000001988
dromaius_novaehollandiae ENSDNVG00000002268
pogona_vitticeps ENSPVIG00000015352
anolis_carolinensis ENSACAG00000004217
salvator_merianae ENSSMRG00000008978
phascolarctos_cinereus ENSPCIG00000032621
notamacropus_eugenii ENSMEUG00000006582
sarcophilus_harrisii ENSSHAG00000012337
monodelphis_domestica ENSMODG00000021211
mus_spicilegus ENSMSIG00000018148
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015134
mus_musculus ENSMUSG00000079465
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014328
mus_pahari MGP_PahariEiJ_G0027565
rattus_norvegicus ENSRNOG00000015365
meriones_unguiculatus ENSMUGG00000026712
cricetulus_griseus_crigri-picr ENSCGRG00015007405
cricetulus_griseus_crigri ENSCGRG00000001573
cricetulus_griseus_chok1gshd ENSCGRG00001023309
mesocricetus_auratus ENSMAUG00000020636
microtus_ochrogaster ENSMOCG00000013883
peromyscus_maniculatus_bairdii ENSPEMG00000022581
nannospalax_galili ENSNGAG00000021257
jaculus_jaculus ENSJJAG00000024382
castor_canadensis ENSCCNG00000029217
urocitellus_parryii ENSUPAG00010023230
spermophilus_dauricus ENSSDAG00000019085
marmota_marmota_marmota ENSMMMG00000000287
oryctolagus_cuniculus ENSOCUG00000000111
ochotona_princeps ENSOPRG00000012371
pan_troglodytes ENSPTRG00000012992
pan_paniscus ENSPPAG00000031122
homo_sapiens ENSG00000169031
gorilla_gorilla ENSGGOG00000003128
pongo_abelii ENSPPYG00000013237
nomascus_leucogenys ENSNLEG00000027156
piliocolobus_tephrosceles ENSPTEG00000039705
colobus_angolensis_palliatus ENSCANG00000032559
rhinopithecus_roxellana ENSRROG00000009962
rhinopithecus_bieti ENSRBIG00000038891
mandrillus_leucophaeus ENSMLEG00000024301
cercocebus_atys ENSCATG00000034996
papio_anubis ENSPANG00000016691
theropithecus_gelada ENSTGEG00000015329
macaca_fascicularis ENSMFAG00000040617
macaca_mulatta ENSMMUG00000013235
macaca_nemestrina ENSMNEG00000029552
chlorocebus_sabaeus ENSCSAG00000007374
cebus_capucinus ENSCCAG00000037014
saimiri_boliviensis_boliviensis ENSSBOG00000030567
callithrix_jacchus ENSCJAG00000012821
aotus_nancymaae ENSANAG00000022940
carlito_syrichta ENSTSYG00000003456
propithecus_coquereli ENSPCOG00000015960
prolemur_simus ENSPSMG00000004211
microcebus_murinus ENSMICG00000013154
otolemur_garnettii ENSOGAG00000004719
tupaia_belangeri ENSTBEG00000008931
bos_mutus ENSBMUG00000013687
bos_taurus ENSBTAG00000021316
bison_bison_bison ENSBBBG00000006184
ovis_aries ENSOARG00000020525
tursiops_truncatus ENSTTRG00000015056
sus_scrofa ENSSSCG00000016245
mustela_putorius_furo ENSMPUG00000001360
neovison_vison ENSNVIG00000000992
ailuropoda_melanoleuca ENSAMEG00000003817
canis_lupus_familiaris ENSCAFG00000010426
vulpes_vulpes ENSVVUG00000025836
panthera_pardus ENSPPRG00000001034
panthera_tigris_altaica ENSPTIG00000016769
felis_catus ENSFCAG00000044595
pteropus_vampyrus ENSPVAG00000000076
myotis_lucifugus ENSMLUG00000009175
erinaceus_europaeus ENSEEUG00000009733
loxodonta_africana ENSLAFG00000011563
dasypus_novemcinctus ENSDNOG00000014502
ornithorhynchus_anatinus ENSOANG00000011207
ornithorhynchus_anatinus ENSOANG00000005206
