nothoprocta_perdicaria ENSNPEG00000009628
dromaius_novaehollandiae ENSDNVG00000014004
apteryx_haastii ENSAHAG00000012912
apteryx_owenii ENSAOWG00000002307
apteryx_rowi ENSARWG00000003170
anser_brachyrhynchus ENSABRG00000022183
anas_platyrhynchos_platyrhynchos ENSAPLG00000024288
cyanistes_caeruleus ENSCCEG00000003256
calidris_pygmaea ENSCPGG00000004981
calidris_pugnax ENSCPUG00000005472
gallus_gallus ENSGALG00000003836
meleagris_gallopavo ENSMGAG00000003218
numida_meleagris ENSNMEG00000018247
crocodylus_porosus ENSCPRG00005006347
chelonoidis_abingdonii ENSCABG00000013427
gopherus_agassizii ENSGAGG00000006015
pelodiscus_sinensis ENSPSIG00000016767
ornithorhynchus_anatinus ENSOANG00000000913
pogona_vitticeps ENSPVIG00000009475
anolis_carolinensis ENSACAG00000015938
notechis_scutatus ENSNSUG00000004051
salvator_merianae ENSSMRG00000020838
sphenodon_punctatus ENSSPUG00000015460
pan_paniscus ENSPPAG00000035768
carlito_syrichta ENSTSYG00000009747
microcebus_murinus ENSMICG00000030933
ursus_americanus ENSUAMG00000007764
sus_scrofa ENSSSCG00000016329
heterocephalus_glaber_male ENSHGLG00100017671
lepisosteus_oculatus ENSLOCG00000004395
