vulpes_vulpes ENSVVUG00000024422
canis_lupus_dingo ENSCAFG00020020614
sus_scrofa ENSSSCG00000039957
papio_anubis ENSPANG00000033872
theropithecus_gelada ENSTGEG00000010076
cercocebus_atys ENSCATG00000017526
macaca_mulatta ENSMMUG00000044700
macaca_fascicularis ENSMFAG00000006585
macaca_nemestrina ENSMNEG00000023733
mandrillus_leucophaeus ENSMLEG00000027378
rhinopithecus_bieti ENSRBIG00000021086
rhinopithecus_roxellana ENSRROG00000026794
colobus_angolensis_palliatus ENSCANG00000012590
piliocolobus_tephrosceles ENSPTEG00000035799
pan_troglodytes ENSPTRG00000043358
pan_paniscus ENSPPAG00000040005
gorilla_gorilla ENSGGOG00000036412
pan_troglodytes ENSPTRG00000045955
pan_paniscus ENSPPAG00000030714
gorilla_gorilla ENSGGOG00000043420
nomascus_leucogenys ENSNLEG00000032084
microcebus_murinus ENSMICG00000026511
