dasypus_novemcinctus ENSDNOG00000038194
loxodonta_africana ENSLAFG00000027479
ovis_aries ENSOARG00000005213
crocodylus_porosus ENSCPRG00005000453
pogona_vitticeps ENSPVIG00000022900
latimeria_chalumnae ENSLACG00000019141
gambusia_affinis ENSGAFG00000021583
xiphophorus_maculatus ENSXMAG00000021894
poecilia_formosa ENSPFOG00000018244
cyprinodon_variegatus ENSCVAG00000022850
kryptolebias_marmoratus ENSKMAG00000021608
oryzias_melastigma ENSOMEG00000015434
neolamprologus_brichardi ENSNBRG00000006110
gadus_morhua ENSGMOG00000008116
eptatretus_burgeri ENSEBUG00000003438
