canis_lupus_familiaris ENSCAFG00000029447
vulpes_vulpes ENSVVUG00000022637
panthera_pardus ENSPPRG00000005383
felis_catus ENSFCAG00000041301
ursus_americanus ENSUAMG00000027197
sus_scrofa ENSSSCG00000035535
capra_hircus ENSCHIG00000021362
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026002
mus_spicilegus ENSMSIG00000024703
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025060
mus_pahari MGP_PahariEiJ_G0026503
meriones_unguiculatus ENSMUGG00000022520
mesocricetus_auratus ENSMAUG00000003733
microtus_ochrogaster ENSMOCG00000022387
cricetulus_griseus_chok1gshd ENSCGRG00001021940
nannospalax_galili ENSNGAG00000022663
castor_canadensis ENSCCNG00000010255
