hippocampus_comes ENSHCOG00000006555
petromyzon_marinus ENSPMAG00000000500
piliocolobus_tephrosceles ENSPTEG00000018823
ciona_savignyi ENSCSAVG00000005859
ciona_savignyi ENSCSAVG00000005304
ciona_savignyi ENSCSAVG00000005315
ciona_savignyi ENSCSAVG00000002186
ciona_intestinalis ENSCING00000014755
ciona_intestinalis ENSCING00000002105
mastacembelus_armatus ENSMAMG00000006235
mastacembelus_armatus ENSMAMG00000006247
gambusia_affinis ENSGAFG00000009182
poecilia_formosa ENSPFOG00000000437
esox_lucius ENSELUG00000008048
danio_rerio ENSDARG00000086565
danio_rerio ENSDARG00000105369
danio_rerio ENSDARG00000092908
danio_rerio ENSDARG00000076286
danio_rerio ENSDARG00000043770
scleropages_formosus ENSSFOG00015013072
scleropages_formosus ENSSFOG00015013050
scophthalmus_maximus ENSSMAG00000006452
ciona_intestinalis ENSCING00000023510
