propithecus_coquereli ENSPCOG00000021505
microcebus_murinus ENSMICG00000001610
prolemur_simus ENSPSMG00000007944
otolemur_garnettii ENSOGAG00000024208
tupaia_belangeri ENSTBEG00000010850
castor_canadensis ENSCCNG00000028132
dipodomys_ordii ENSDORG00000002985
spermophilus_dauricus ENSSDAG00000012349
ictidomys_tridecemlineatus ENSSTOG00000025891
urocitellus_parryii ENSUPAG00010019690
marmota_marmota_marmota ENSMMMG00000000479
mus_musculus ENSMUSG00000049728
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031638
mus_spicilegus ENSMSIG00000024989
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030524
mus_pahari MGP_PahariEiJ_G0013731
rattus_norvegicus ENSRNOG00000016683
meriones_unguiculatus ENSMUGG00000016799
meriones_unguiculatus ENSMUGG00000016405
microtus_ochrogaster ENSMOCG00000018566
peromyscus_maniculatus_bairdii ENSPEMG00000022419
cricetulus_griseus_chok1gshd ENSCGRG00001010118
cricetulus_griseus_crigri ENSCGRG00000016976
cricetulus_griseus_crigri-picr ENSCGRG00015023973
mesocricetus_auratus ENSMAUG00000008587
nannospalax_galili ENSNGAG00000023040
jaculus_jaculus ENSJJAG00000018492
cavia_aperea ENSCAPG00000012678
cavia_porcellus ENSCPOG00000026412
octodon_degus ENSODEG00000014844
heterocephalus_glaber_female ENSHGLG00000019042
heterocephalus_glaber_male ENSHGLG00100011893
fukomys_damarensis ENSFDAG00000003118
chinchilla_lanigera ENSCLAG00000010778
myotis_lucifugus ENSMLUG00000007172
pteropus_vampyrus ENSPVAG00000011058
sorex_araneus ENSSARG00000010177
equus_caballus ENSECAG00000008572
equus_asinus_asinus ENSEASG00005011172
ursus_americanus ENSUAMG00000008740
ursus_maritimus ENSUMAG00000014049
ailuropoda_melanoleuca ENSAMEG00000007308
mustela_putorius_furo ENSMPUG00000011656
neovison_vison ENSNVIG00000024944
canis_lupus_dingo ENSCAFG00020018147
canis_lupus_familiaris ENSCAFG00000016612
vulpes_vulpes ENSVVUG00000027711
panthera_pardus ENSPPRG00000009517
panthera_tigris_altaica ENSPTIG00000011161
felis_catus ENSFCAG00000008954
bos_taurus ENSBTAG00000006650
bos_mutus ENSBMUG00000025415
bison_bison_bison ENSBBBG00000015697
capra_hircus ENSCHIG00000012636
ovis_aries ENSOARG00000008431
tursiops_truncatus ENSTTRG00000015533
sus_scrofa ENSSSCG00000007767
pan_troglodytes ENSPTRG00000008028
pan_paniscus ENSPPAG00000043141
homo_sapiens ENSG00000167394
gorilla_gorilla ENSGGOG00000028088
pongo_abelii ENSPPYG00000007302
nomascus_leucogenys ENSNLEG00000028205
nomascus_leucogenys ENSNLEG00000027466
papio_anubis ENSPANG00000011918
theropithecus_gelada ENSTGEG00000010699
mandrillus_leucophaeus ENSMLEG00000028612
cercocebus_atys ENSCATG00000005783
macaca_mulatta ENSMMUG00000011867
macaca_fascicularis ENSMFAG00000042079
macaca_nemestrina ENSMNEG00000034191
chlorocebus_sabaeus ENSCSAG00000005742
rhinopithecus_roxellana ENSRROG00000030609
rhinopithecus_bieti ENSRBIG00000040820
piliocolobus_tephrosceles ENSPTEG00000027226
colobus_angolensis_palliatus ENSCANG00000032860
cebus_capucinus ENSCCAG00000020742
saimiri_boliviensis_boliviensis ENSSBOG00000031219
callithrix_jacchus ENSCJAG00000003078
aotus_nancymaae ENSANAG00000022599
carlito_syrichta ENSTSYG00000033663
dasypus_novemcinctus ENSDNOG00000035317
choloepus_hoffmanni ENSCHOG00000002070
oryctolagus_cuniculus ENSOCUG00000029391
procavia_capensis ENSPCAG00000007274
echinops_telfairi ENSETEG00000008973
loxodonta_africana ENSLAFG00000022290
ochotona_princeps ENSOPRG00000010912
phascolarctos_cinereus ENSPCIG00000010095
notamacropus_eugenii ENSMEUG00000007495
sarcophilus_harrisii ENSSHAG00000011347
monodelphis_domestica ENSMODG00000001799
