equus_caballus ENSECAG00000035096
ursus_americanus ENSUAMG00000009648
phascolarctos_cinereus ENSPCIG00000033922
melopsittacus_undulatus ENSMUNG00000003212
calidris_pugnax ENSCPUG00000010426
anser_brachyrhynchus ENSABRG00000000081
anas_platyrhynchos_platyrhynchos ENSAPLG00000031051
numida_meleagris ENSNMEG00000020946
parus_major ENSPMJG00000013621
lepidothrix_coronata ENSLCOG00000001869
nothoprocta_perdicaria ENSNPEG00000001738
gopherus_agassizii ENSGAGG00000015683
salvator_merianae ENSSMRG00000017585
pogona_vitticeps ENSPVIG00000008509
pundamilia_nyererei ENSPNYG00000012246
astatotilapia_calliptera ENSACLG00000026676
neolamprologus_brichardi ENSNBRG00000001828
amphilophus_citrinellus ENSACIG00000020996
oryzias_latipes_asm223469v1 ENSORLG00015016701
mola_mola ENSMMOG00000019767
periophthalmus_magnuspinnatus ENSPMGG00000001067
seriola_lalandi_dorsalis ENSSLDG00000018718
hippocampus_comes ENSHCOG00000020442
