ochotona_princeps ENSOPRG00000002211
oryctolagus_cuniculus ENSOCUG00000009207
sorex_araneus ENSSARG00000009282
tupaia_belangeri ENSTBEG00000015721
procavia_capensis ENSPCAG00000013508
echinops_telfairi ENSETEG00000004161
loxodonta_africana ENSLAFG00000012665
erinaceus_europaeus ENSEEUG00000000272
choloepus_hoffmanni ENSCHOG00000011761
tursiops_truncatus ENSTTRG00000002507
ovis_aries ENSOARG00000018941
sus_scrofa ENSSSCG00000001926
vicugna_pacos ENSVPAG00000002851
equus_caballus ENSECAG00000010452
equus_asinus_asinus ENSEASG00005005360
ailuropoda_melanoleuca ENSAMEG00000005899
mustela_putorius_furo ENSMPUG00000017159
canis_lupus_dingo ENSCAFG00020006457
canis_lupus_familiaris ENSCAFG00000017654
vulpes_vulpes ENSVVUG00000018304
panthera_tigris_altaica ENSPTIG00000006740
myotis_lucifugus ENSMLUG00000029085
cricetulus_griseus_chok1gshd ENSCGRG00001017888
cricetulus_griseus_crigri ENSCGRG00000004905
cricetulus_griseus_crigri-picr ENSCGRG00015023686
peromyscus_maniculatus_bairdii ENSPEMG00000015849
mus_spicilegus ENSMSIG00000029398
mus_musculus ENSMUSG00000049526
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033443
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032303
mus_pahari MGP_PahariEiJ_G0015169
rattus_norvegicus ENSRNOG00000026112
nannospalax_galili ENSNGAG00000011443
ictidomys_tridecemlineatus ENSSTOG00000013434
urocitellus_parryii ENSUPAG00010004899
spermophilus_dauricus ENSSDAG00000022688
marmota_marmota_marmota ENSMMMG00000004028
notamacropus_eugenii ENSMEUG00000007841
phascolarctos_cinereus ENSPCIG00000016315
sarcophilus_harrisii ENSSHAG00000008356
monodelphis_domestica ENSMODG00000025724
