poecilia_formosa ENSPFOG00000020164
poecilia_latipinna ENSPLAG00000017420
poecilia_reticulata ENSPREG00000000718
xiphophorus_maculatus ENSXMAG00000019995
xiphophorus_couchianus ENSXCOG00000007236
gambusia_affinis ENSGAFG00000014283
cyprinodon_variegatus ENSCVAG00000004305
fundulus_heteroclitus ENSFHEG00000009487
kryptolebias_marmoratus ENSKMAG00000020210
oryzias_latipes_asm223469v1 ENSORLG00015017167
oryzias_latipes ENSORLG00020011342
oryzias_latipes ENSORLG00000029448
oryzias_melastigma ENSOMEG00000003868
gasterosteus_aculeatus ENSGACG00000012810
takifugu_rubripes ENSTRUG00000008027
tetraodon_nigroviridis ENSTNIG00000000601
mola_mola ENSMMOG00000002585
labrus_bergylta ENSLBEG00000013638
seriola_dumerili ENSSDUG00000000586
seriola_lalandi_dorsalis ENSSLDG00000015190
scophthalmus_maximus ENSSMAG00000015059
mastacembelus_armatus ENSMAMG00000011635
amphiprion_percula ENSAPEG00000000558
acanthochromis_polyacanthus ENSAPOG00000009162
stegastes_partitus ENSSPAG00000008565
pundamilia_nyererei ENSPNYG00000013877
haplochromis_burtoni ENSHBUG00000012803
oreochromis_niloticus ENSONIG00000020477
amphilophus_citrinellus ENSACIG00000009110
maylandia_zebra ENSMZEG00005015431
astatotilapia_calliptera ENSACLG00000005986
neolamprologus_brichardi ENSNBRG00000015171
monopterus_albus ENSMALG00000006727
periophthalmus_magnuspinnatus ENSPMGG00000018737
anabas_testudineus ENSATEG00000003663
cynoglossus_semilaevis ENSCSEG00000007479
cynoglossus_semilaevis ENSCSEG00000014890
periophthalmus_magnuspinnatus ENSPMGG00000021471
hippocampus_comes ENSHCOG00000006452
ictalurus_punctatus ENSIPUG00000024159
astyanax_mexicanus ENSAMXG00000006638
danio_rerio ENSDARG00000099918
amphiprion_percula ENSAPEG00000017251
amphiprion_ocellaris ENSAOCG00000018628
acanthochromis_polyacanthus ENSAPOG00000010415
stegastes_partitus ENSSPAG00000004205
haplochromis_burtoni ENSHBUG00000007873
pundamilia_nyererei ENSPNYG00000019193
maylandia_zebra ENSMZEG00005016785
maylandia_zebra ENSMZEG00005017593
astatotilapia_calliptera ENSACLG00000016659
neolamprologus_brichardi ENSNBRG00000018555
oreochromis_niloticus ENSONIG00000021291
amphilophus_citrinellus ENSACIG00000000949
hippocampus_comes ENSHCOG00000014829
scophthalmus_maximus ENSSMAG00000017183
cynoglossus_semilaevis ENSCSEG00000010194
seriola_dumerili ENSSDUG00000011151
seriola_lalandi_dorsalis ENSSLDG00000012798
gasterosteus_aculeatus ENSGACG00000000497
esox_lucius ENSELUG00000023460
astyanax_mexicanus ENSAMXG00000025423
pygocentrus_nattereri ENSPNAG00000009887
ictalurus_punctatus ENSIPUG00000021618
danio_rerio ENSDARG00000033182
labrus_bergylta ENSLBEG00000028028
periophthalmus_magnuspinnatus ENSPMGG00000018742
maylandia_zebra ENSMZEG00005015436
astatotilapia_calliptera ENSACLG00000005991
neolamprologus_brichardi ENSNBRG00000015177
amphiprion_ocellaris ENSAOCG00000005460
acanthochromis_polyacanthus ENSAPOG00000009152
poecilia_mexicana ENSPMEG00000014625
poecilia_reticulata ENSPREG00000000705
monopterus_albus ENSMALG00000006738
esox_lucius ENSELUG00000014876
pygocentrus_nattereri ENSPNAG00000008775
scleropages_formosus ENSSFOG00015015390
scleropages_formosus ENSSFOG00015020603
paramormyrops_kingsleyae ENSPKIG00000011618
paramormyrops_kingsleyae ENSPKIG00000010744
lepisosteus_oculatus ENSLOCG00000018349
anolis_carolinensis ENSACAG00000013615
pogona_vitticeps ENSPVIG00000016510
notechis_scutatus ENSNSUG00000014428
salvator_merianae ENSSMRG00000008222
dromaius_novaehollandiae ENSDNVG00000016635
