anolis_carolinensis ENSACAG00000009900
pogona_vitticeps ENSPVIG00000013250
notechis_scutatus ENSNSUG00000017966
salvator_merianae ENSSMRG00000000355
sphenodon_punctatus ENSSPUG00000013320
serinus_canaria ENSSCAG00000005017
taeniopygia_guttata ENSTGUG00000006986
junco_hyemalis ENSJHYG00000015355
zonotrichia_albicollis ENSZALG00000012038
ficedula_albicollis ENSFALG00000007753
lepidothrix_coronata ENSLCOG00000015181
manacus_vitellinus ENSMVIG00005008949
melopsittacus_undulatus ENSMUNG00000014874
calidris_pugnax ENSCPUG00000002284
calidris_pygmaea ENSCPGG00000017156
anser_brachyrhynchus ENSABRG00000022757
meleagris_gallopavo ENSMGAG00000003943
gallus_gallus ENSGALG00000003374
coturnix_japonica ENSCJPG00005012385
numida_meleagris ENSNMEG00000016757
anas_platyrhynchos_platyrhynchos ENSAPLG00000004479
cyanistes_caeruleus ENSCCEG00000015148
parus_major ENSPMJG00000001252
lonchura_striata_domestica ENSLSDG00000001234
apteryx_owenii ENSAOWG00000015276
apteryx_haastii ENSAHAG00000000605
apteryx_rowi ENSARWG00000005028
dromaius_novaehollandiae ENSDNVG00000016225
nothoprocta_perdicaria ENSNPEG00000001684
crocodylus_porosus ENSCPRG00005002771
chelonoidis_abingdonii ENSCABG00000010203
gopherus_agassizii ENSGAGG00000013442
chrysemys_picta_bellii ENSCPBG00000012091
pelodiscus_sinensis ENSPSIG00000003445
notamacropus_eugenii ENSMEUG00000014322
phascolarctos_cinereus ENSPCIG00000028066
sarcophilus_harrisii ENSSHAG00000000063
monodelphis_domestica ENSMODG00000005183
procavia_capensis ENSPCAG00000005215
loxodonta_africana ENSLAFG00000014609
echinops_telfairi ENSETEG00000006068
dasypus_novemcinctus ENSDNOG00000018588
capra_hircus ENSCHIG00000024494
bos_mutus ENSBMUG00000002605
ovis_aries ENSOARG00000003360
bison_bison_bison ENSBBBG00000016042
tursiops_truncatus ENSTTRG00000014613
sus_scrofa ENSSSCG00000035227
equus_caballus ENSECAG00000017375
equus_asinus_asinus ENSEASG00005020645
myotis_lucifugus ENSMLUG00000005934
pteropus_vampyrus ENSPVAG00000016626
ursus_americanus ENSUAMG00000016005
ailuropoda_melanoleuca ENSAMEG00000008032
ursus_maritimus ENSUMAG00000018979
mustela_putorius_furo ENSMPUG00000006967
neovison_vison ENSNVIG00000008937
canis_lupus_familiaris ENSCAFG00000020320
canis_lupus_dingo ENSCAFG00020019798
vulpes_vulpes ENSVVUG00000012930
panthera_pardus ENSPPRG00000009363
panthera_tigris_altaica ENSPTIG00000004847
felis_catus ENSFCAG00000010419
erinaceus_europaeus ENSEEUG00000014033
sorex_araneus ENSSARG00000014176
heterocephalus_glaber_female ENSHGLG00000010428
heterocephalus_glaber_male ENSHGLG00100013775
fukomys_damarensis ENSFDAG00000012848
chinchilla_lanigera ENSCLAG00000013457
octodon_degus ENSODEG00000015321
cavia_porcellus ENSCPOG00000003360
cavia_aperea ENSCAPG00000010797
urocitellus_parryii ENSUPAG00010023707
ictidomys_tridecemlineatus ENSSTOG00000013669
spermophilus_dauricus ENSSDAG00000018442
marmota_marmota_marmota ENSMMMG00000014509
castor_canadensis ENSCCNG00000008930
dipodomys_ordii ENSDORG00000000665
mus_spicilegus ENSMSIG00000005597
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032630
mus_musculus ENSMUSG00000084128
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031512
mus_pahari MGP_PahariEiJ_G0023112
rattus_norvegicus ENSRNOG00000023177
meriones_unguiculatus ENSMUGG00000017181
microtus_ochrogaster ENSMOCG00000015578
peromyscus_maniculatus_bairdii ENSPEMG00000013085
cricetulus_griseus_crigri-picr ENSCGRG00015008763
cricetulus_griseus_chok1gshd ENSCGRG00001021456
cricetulus_griseus_crigri ENSCGRG00000015534
mesocricetus_auratus ENSMAUG00000003796
nannospalax_galili ENSNGAG00000018422
jaculus_jaculus ENSJJAG00000001300
oryctolagus_cuniculus ENSOCUG00000001242
ochotona_princeps ENSOPRG00000013401
macaca_fascicularis ENSMFAG00000002813
macaca_mulatta ENSMMUG00000021846
macaca_nemestrina ENSMNEG00000030865
theropithecus_gelada ENSTGEG00000008335
mandrillus_leucophaeus ENSMLEG00000043864
cercocebus_atys ENSCATG00000029446
papio_anubis ENSPANG00000020868
chlorocebus_sabaeus ENSCSAG00000004067
colobus_angolensis_palliatus ENSCANG00000041805
piliocolobus_tephrosceles ENSPTEG00000012464
rhinopithecus_roxellana ENSRROG00000037516
rhinopithecus_bieti ENSRBIG00000021589
pan_troglodytes ENSPTRG00000008261
pan_paniscus ENSPPAG00000028531
homo_sapiens ENSG00000103067
gorilla_gorilla ENSGGOG00000010150
pongo_abelii ENSPPYG00000007484
nomascus_leucogenys ENSNLEG00000005123
cebus_capucinus ENSCCAG00000026352
saimiri_boliviensis_boliviensis ENSSBOG00000025852
callithrix_jacchus ENSCJAG00000033683
callithrix_jacchus ENSCJAG00000031546
callithrix_jacchus ENSCJAG00000015709
aotus_nancymaae ENSANAG00000032004
carlito_syrichta ENSTSYG00000033280
propithecus_coquereli ENSPCOG00000022552
prolemur_simus ENSPSMG00000014390
microcebus_murinus ENSMICG00000011382
otolemur_garnettii ENSOGAG00000012339
tupaia_belangeri ENSTBEG00000010883
ornithorhynchus_anatinus ENSOANG00000010972
latimeria_chalumnae ENSLACG00000017574
pygocentrus_nattereri ENSPNAG00000014736
astyanax_mexicanus ENSAMXG00000005895
ictalurus_punctatus ENSIPUG00000017454
danio_rerio ENSDARG00000018814
scophthalmus_maximus ENSSMAG00000006665
gasterosteus_aculeatus ENSGACG00000016359
takifugu_rubripes ENSTRUG00000007941
hippocampus_comes ENSHCOG00000017720
cynoglossus_semilaevis ENSCSEG00000011686
anabas_testudineus ENSATEG00000018772
fundulus_heteroclitus ENSFHEG00000012728
cyprinodon_variegatus ENSCVAG00000004170
oryzias_latipes_asm223469v1 ENSORLG00015023013
oryzias_latipes ENSORLG00020001033
oryzias_latipes ENSORLG00000011955
oryzias_melastigma ENSOMEG00000012310
astatotilapia_calliptera ENSACLG00000012908
maylandia_zebra ENSMZEG00005009367
oreochromis_niloticus ENSONIG00000002475
amphilophus_citrinellus ENSACIG00000021649
amphiprion_ocellaris ENSAOCG00000017713
labrus_bergylta ENSLBEG00000005922
tetraodon_nigroviridis ENSTNIG00000011350
mastacembelus_armatus ENSMAMG00000020249
acanthochromis_polyacanthus ENSAPOG00000006394
amphiprion_percula ENSAPEG00000002219
stegastes_partitus ENSSPAG00000001059
haplochromis_burtoni ENSHBUG00000022326
pundamilia_nyererei ENSPNYG00000018697
neolamprologus_brichardi ENSNBRG00000001415
xiphophorus_maculatus ENSXMAG00000017366
xiphophorus_couchianus ENSXCOG00000012359
gambusia_affinis ENSGAFG00000009225
poecilia_formosa ENSPFOG00000024549
poecilia_mexicana ENSPMEG00000011934
poecilia_formosa ENSPFOG00000014405
poecilia_latipinna ENSPLAG00000016250
poecilia_reticulata ENSPREG00000002991
kryptolebias_marmoratus ENSKMAG00000018306
periophthalmus_magnuspinnatus ENSPMGG00000007904
seriola_lalandi_dorsalis ENSSLDG00000004633
seriola_dumerili ENSSDUG00000003126
mola_mola ENSMMOG00000000274
monopterus_albus ENSMALG00000008780
esox_lucius ENSELUG00000005371
gadus_morhua ENSGMOG00000006045
paramormyrops_kingsleyae ENSPKIG00000021343
scleropages_formosus ENSSFOG00015010011
lepisosteus_oculatus ENSLOCG00000008062
eptatretus_burgeri ENSEBUG00000016827
latimeria_chalumnae ENSLACG00000010921
sarcophilus_harrisii ENSSHAG00000017554
lepisosteus_oculatus ENSLOCG00000010059
eptatretus_burgeri ENSEBUG00000003913
petromyzon_marinus ENSPMAG00000007722
