lonchura_striata_domestica ENSLSDG00000016243
taeniopygia_guttata ENSTGUG00000015295
parus_major ENSPMJG00000009807
lepidothrix_coronata ENSLCOG00000006170
anas_platyrhynchos_platyrhynchos ENSAPLG00000002157
anser_brachyrhynchus ENSABRG00000020464
ficedula_albicollis ENSFALG00000002954
calidris_pygmaea ENSCPGG00000011737
cyanistes_caeruleus ENSCCEG00000012403
gallus_gallus ENSGALG00000054637
apteryx_owenii ENSAOWG00000017899
apteryx_rowi ENSARWG00000007934
apteryx_haastii ENSAHAG00000019583
nothoprocta_perdicaria ENSNPEG00000003107
melopsittacus_undulatus ENSMUNG00000009583
zonotrichia_albicollis ENSZALG00000004894
calidris_pugnax ENSCPUG00000017953
notechis_scutatus ENSNSUG00000000818
gopherus_agassizii ENSGAGG00000017644
chelonoidis_abingdonii ENSCABG00000000703
chrysemys_picta_bellii ENSCPBG00000025676
junco_hyemalis ENSJHYG00000011320
crocodylus_porosus ENSCPRG00005002569
salvator_merianae ENSSMRG00000011871
pogona_vitticeps ENSPVIG00000021686
tupaia_belangeri ENSTBEG00000010904
otolemur_garnettii ENSOGAG00000025483
chinchilla_lanigera ENSCLAG00000003364
octodon_degus ENSODEG00000010457
cavia_porcellus ENSCPOG00000001152
heterocephalus_glaber_female ENSHGLG00000014477
sorex_araneus ENSSARG00000013225
erinaceus_europaeus ENSEEUG00000013231
pteropus_vampyrus ENSPVAG00000017816
canis_lupus_familiaris ENSCAFG00000017072
canis_lupus_dingo ENSCAFG00020007867
vulpes_vulpes ENSVVUG00000002258
neovison_vison ENSNVIG00000018573
mustela_putorius_furo ENSMPUG00000005750
felis_catus ENSFCAG00000005288
gorilla_gorilla ENSGGOG00000013918
homo_sapiens ENSG00000251246
macaca_mulatta ENSMMUG00000023350
chlorocebus_sabaeus ENSCSAG00000001990
carlito_syrichta ENSTSYG00000030781
oryctolagus_cuniculus ENSOCUG00000007079
myotis_lucifugus ENSMLUG00000004217
saimiri_boliviensis_boliviensis ENSSBOG00000031176
cebus_capucinus ENSCCAG00000036666
callithrix_jacchus ENSCJAG00000009049
aotus_nancymaae ENSANAG00000024406
pan_paniscus ENSPPAG00000035540
pan_troglodytes ENSPTRG00000001406
homo_sapiens ENSG00000143590
pongo_abelii ENSPPYG00000000760
nomascus_leucogenys ENSNLEG00000032086
rhinopithecus_bieti ENSRBIG00000019158
colobus_angolensis_palliatus ENSCANG00000033146
piliocolobus_tephrosceles ENSPTEG00000032923
macaca_nemestrina ENSMNEG00000029238
theropithecus_gelada ENSTGEG00000022610
papio_anubis ENSPANG00000005174
cercocebus_atys ENSCATG00000030754
mandrillus_leucophaeus ENSMLEG00000015509
macaca_fascicularis ENSMFAG00000042326
rhinopithecus_roxellana ENSRROG00000030709
prolemur_simus ENSPSMG00000023066
propithecus_coquereli ENSPCOG00000028592
microcebus_murinus ENSMICG00000008011
dipodomys_ordii ENSDORG00000006977
castor_canadensis ENSCCNG00000020195
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026144
mus_spicilegus ENSMSIG00000026392
mus_musculus ENSMUSG00000028039
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025201
mus_pahari MGP_PahariEiJ_G0026645
rattus_norvegicus ENSRNOG00000057322
meriones_unguiculatus ENSMUGG00000001065
microtus_ochrogaster ENSMOCG00000000349
peromyscus_maniculatus_bairdii ENSPEMG00000031087
cricetulus_griseus_chok1gshd ENSCGRG00001021952
cricetulus_griseus_crigri ENSCGRG00000007068
cricetulus_griseus_crigri-picr ENSCGRG00015002729
mesocricetus_auratus ENSMAUG00000011471
nannospalax_galili ENSNGAG00000012938
jaculus_jaculus ENSJJAG00000013709
urocitellus_parryii ENSUPAG00010002066
ictidomys_tridecemlineatus ENSSTOG00000008799
marmota_marmota_marmota ENSMMMG00000015792
ovis_aries ENSOARG00000003579
capra_hircus ENSCHIG00000023314
bos_mutus ENSBMUG00000012350
bos_taurus ENSBTAG00000033423
bison_bison_bison ENSBBBG00000003301
tursiops_truncatus ENSTTRG00000016165
sus_scrofa ENSSSCG00000006531
ailuropoda_melanoleuca ENSAMEG00000011351
ursus_americanus ENSUAMG00000020719
panthera_pardus ENSPPRG00000025083
equus_caballus ENSECAG00000022186
equus_asinus_asinus ENSEASG00005019440
choloepus_hoffmanni ENSCHOG00000007491
loxodonta_africana ENSLAFG00000026614
procavia_capensis ENSPCAG00000013755
notamacropus_eugenii ENSMEUG00000011445
phascolarctos_cinereus ENSPCIG00000016697
monodelphis_domestica ENSMODG00000017112
xenopus_tropicalis ENSXETG00000010769
latimeria_chalumnae ENSLACG00000004483
ictalurus_punctatus ENSIPUG00000003677
danio_rerio ENSDARG00000098295
scleropages_formosus ENSSFOG00015021559
amphiprion_percula ENSAPEG00000003781
amphiprion_ocellaris ENSAOCG00000002691
acanthochromis_polyacanthus ENSAPOG00000001408
poecilia_mexicana ENSPMEG00000019586
poecilia_latipinna ENSPLAG00000002787
xiphophorus_maculatus ENSXMAG00000029533
xiphophorus_couchianus ENSXCOG00000019553
gambusia_affinis ENSGAFG00000014897
poecilia_formosa ENSPFOG00000014962
poecilia_reticulata ENSPREG00000017222
fundulus_heteroclitus ENSFHEG00000020737
kryptolebias_marmoratus ENSKMAG00000002488
oryzias_latipes ENSORLG00000028633
oryzias_latipes_asm223469v1 ENSORLG00015015907
oryzias_latipes ENSORLG00020009952
oryzias_melastigma ENSOMEG00000007246
haplochromis_burtoni ENSHBUG00000004048
pundamilia_nyererei ENSPNYG00000005180
astatotilapia_calliptera ENSACLG00000018981
maylandia_zebra ENSMZEG00005015372
neolamprologus_brichardi ENSNBRG00000005119
oreochromis_niloticus ENSONIG00000006304
amphilophus_citrinellus ENSACIG00000010406
seriola_lalandi_dorsalis ENSSLDG00000014530
seriola_dumerili ENSSDUG00000005667
scophthalmus_maximus ENSSMAG00000016755
mastacembelus_armatus ENSMAMG00000014122
gasterosteus_aculeatus ENSGACG00000012038
labrus_bergylta ENSLBEG00000018433
cynoglossus_semilaevis ENSCSEG00000002147
takifugu_rubripes ENSTRUG00000006985
stegastes_partitus ENSSPAG00000013908
monopterus_albus ENSMALG00000020381
hippocampus_comes ENSHCOG00000008032
periophthalmus_magnuspinnatus ENSPMGG00000022358
gadus_morhua ENSGMOG00000001095
paramormyrops_kingsleyae ENSPKIG00000013966
pygocentrus_nattereri ENSPNAG00000005278
lepisosteus_oculatus ENSLOCG00000006835
