anas_platyrhynchos ENSAPLG00000004158
anser_brachyrhynchus ENSABRG00000009915
coturnix_japonica ENSCJPG00005012564
gallus_gallus ENSGALG00000011202
meleagris_gallopavo ENSMGAG00000010801
numida_meleagris ENSNMEG00000008190
zonotrichia_albicollis ENSZALG00000011356
junco_hyemalis ENSJHYG00000006512
taeniopygia_guttata ENSTGUG00000003015
ficedula_albicollis ENSFALG00000009294
parus_major ENSPMJG00000002497
cyanistes_caeruleus ENSCCEG00000005929
lepidothrix_coronata ENSLCOG00000005829
manacus_vitellinus ENSMVIG00005017529
calidris_pugnax ENSCPUG00000010790
calidris_pygmaea ENSCPGG00000004436
apteryx_owenii ENSAOWG00000007810
apteryx_haastii ENSAHAG00000003645
apteryx_rowi ENSARWG00000006894
dromaius_novaehollandiae ENSDNVG00000011966
nothoprocta_perdicaria ENSNPEG00000000510
anolis_carolinensis ENSACAG00000002275
gopherus_agassizii ENSGAGG00000007051
chelonoidis_abingdonii ENSCABG00000000097
chrysemys_picta ENSCPBG00000022529
pelodiscus_sinensis ENSPSIG00000017995
crocodylus_porosus ENSCPRG00005000945
pogona_vitticeps ENSPVIG00000015295
salvator_merianae ENSSMRG00000002517
sphenodon_punctatus ENSSPUG00000002500
sarcophilus_harrisii ENSSHAG00000006830
monodelphis_domestica ENSMODG00000014557
notamacropus_eugenii ENSMEUG00000014279
macaca_nemestrina ENSMNEG00000040862
mandrillus_leucophaeus ENSMLEG00000040921
cercocebus_atys ENSCATG00000034663
theropithecus_gelada ENSTGEG00000016085
papio_anubis ENSPANG00000007739
rhinopithecus_roxellana ENSRROG00000031844
piliocolobus_tephrosceles ENSPTEG00000036120
colobus_angolensis ENSCANG00000032905
pan_troglodytes ENSPTRG00000030295
pan_paniscus ENSPPAG00000031635
gorilla_gorilla ENSGGOG00000004457
homo_sapiens ENSG00000206561
pongo_abelii ENSPPYG00000014088
nomascus_leucogenys ENSNLEG00000028932
callithrix_jacchus ENSCJAG00000041940
cebus_capucinus ENSCCAG00000037774
aotus_nancymaae ENSANAG00000028274
propithecus_coquereli ENSPCOG00000024494
microcebus_murinus ENSMICG00000049255
prolemur_simus ENSPSMG00000009807
otolemur_garnettii ENSOGAG00000013967
castor_canadensis ENSCCNG00000005599
dipodomys_ordii ENSDORG00000014117
mus_musculus ENSMUSG00000057606
mus_spretus MGP_SPRETEiJ_G0019963
mus_spicilegus ENSMSIG00000011244
mus_caroli MGP_CAROLIEiJ_G0019078
mus_pahari MGP_PahariEiJ_G0030095
rattus_norvegicus ENSRNOG00000019615
meriones_unguiculatus ENSMUGG00000017176
cricetulus_griseus ENSCGRG00000012986
cricetulus_griseus ENSCGRG00015020955
cricetulus_griseus ENSCGRG00001015328
mesocricetus_auratus ENSMAUG00000003606
peromyscus_maniculatus ENSPEMG00000014122
microtus_ochrogaster ENSMOCG00000020980
nannospalax_galili ENSNGAG00000019455
jaculus_jaculus ENSJJAG00000012436
urocitellus_parryii ENSUPAG00010017933
ictidomys_tridecemlineatus ENSSTOG00000031231
spermophilus_dauricus ENSSDAG00000011110
marmota_marmota ENSMMMG00000014022
chinchilla_lanigera ENSCLAG00000004933
octodon_degus ENSODEG00000009333
cavia_porcellus ENSCPOG00000002476
cavia_aperea ENSCAPG00000013543
heterocephalus_glaber ENSHGLG00000005340
heterocephalus_glaber ENSHGLG00100017428
fukomys_damarensis ENSFDAG00000010444
oryctolagus_cuniculus ENSOCUG00000016105
ochotona_princeps ENSOPRG00000006457
tupaia_belangeri ENSTBEG00000013290
erinaceus_europaeus ENSEEUG00000002103
sorex_araneus ENSSARG00000014027
capra_hircus ENSCHIG00000012168
ovis_aries ENSOARG00000015123
bos_indicus ENSBIXG00005006233
bos_indicus ENSBIXG00000007893
bos_mutus ENSBMUG00000024312
bison_bison ENSBBBG00000010123
bos_taurus ENSBTAG00000051541
vicugna_pacos ENSVPAG00000007352
sus_scrofa ENSSSCG00000028911
tursiops_truncatus ENSTTRG00000014390
equus_caballus ENSECAG00000019755
equus_asinus ENSEASG00005005725
pteropus_vampyrus ENSPVAG00000000737
myotis_lucifugus ENSMLUG00000002756
ailuropoda_melanoleuca ENSAMEG00000008838
ursus_maritimus ENSUMAG00000017915
canis_lupus ENSCAFG00020027379
neovison_vison ENSNVIG00000017326
mustela_putorius ENSMPUG00000001650
panthera_pardus ENSPPRG00000023699
panthera_tigris ENSPTIG00000008099
felis_catus ENSFCAG00000011304
carlito_syrichta ENSTSYG00000036685
loxodonta_africana ENSLAFG00000006153
procavia_capensis ENSPCAG00000008900
echinops_telfairi ENSETEG00000004579
choloepus_hoffmanni ENSCHOG00000010916
ornithorhynchus_anatinus ENSOANG00000006752
xenopus_tropicalis ENSXETG00000021396
callorhinchus_milii ENSCMIG00000015832
pygocentrus_nattereri ENSPNAG00000009265
astyanax_mexicanus ENSAMXG00005020154
ictalurus_punctatus ENSIPUG00000002698
electrophorus_electricus ENSEEEG00000014684
danio_rerio ENSDARG00000019692
denticeps_clupeoides ENSDCDG00000000876
amphilophus_citrinellus ENSACIG00000016565
gouania_willdenowi ENSGWIG00000016851
cyprinodon_variegatus ENSCVAG00000012396
fundulus_heteroclitus ENSFHEG00000000612
xiphophorus_maculatus ENSXMAG00000013868
xiphophorus_couchianus ENSXCOG00000019816
gambusia_affinis ENSGAFG00000005307
poecilia_formosa ENSPFOG00000022473
poecilia_mexicana ENSPMEG00000001099
poecilia_reticulata ENSPREG00000001751
kryptolebias_marmoratus ENSKMAG00000015426
oryzias_latipes ENSORLG00015021828
oryzias_latipes ENSORLG00000007381
oryzias_latipes ENSORLG00020015825
oryzias_melastigma ENSOMEG00000020557
mastacembelus_armatus ENSMAMG00000013993
takifugu_rubripes ENSTRUG00000015630
tetraodon_nigroviridis ENSTNIG00000018436
mola_mola ENSMMOG00000001336
monopterus_albus ENSMALG00000010925
cynoglossus_semilaevis ENSCSEG00000004880
larimichthys_crocea ENSLCRG00005002579
labrus_bergylta ENSLBEG00000008704
cottoperca_gobio ENSCGOG00000002085
gasterosteus_aculeatus ENSGACG00000008106
amphiprion_percula ENSAPEG00000011370
acanthochromis_polyacanthus ENSAPOG00000017255
stegastes_partitus ENSSPAG00000012851
astatotilapia_calliptera ENSACLG00000003113
maylandia_zebra ENSMZEG00005013922
haplochromis_burtoni ENSHBUG00000017971
pundamilia_nyererei ENSPNYG00000014683
neolamprologus_brichardi ENSNBRG00000016728
oreochromis_niloticus ENSONIG00000002914
lates_calcarifer ENSLCAG00010011685
scophthalmus_maximus ENSSMAG00000000096
seriola_lalandi ENSSLDG00000014536
seriola_dumerili ENSSDUG00000001385
anabas_testudineus ENSATEG00000006553
betta_splendens ENSBSLG00000023554
periophthalmus_magnuspinnatus ENSPMGG00000011748
hippocampus_comes ENSHCOG00000005569
gadus_morhua ENSGMOG00000004325
hucho_hucho ENSHHUG00000043742
hucho_hucho ENSHHUG00000042536
esox_lucius ENSELUG00000007408
paramormyrops_kingsleyae ENSPKIG00000008863
scleropages_formosus ENSSFOG00015000185
scleropages_formosus ENSSFOG00015013200
paramormyrops_kingsleyae ENSPKIG00000000019
pygocentrus_nattereri ENSPNAG00000008067
astyanax_mexicanus ENSAMXG00000033022
electrophorus_electricus ENSEEEG00000001480
danio_rerio ENSDARG00000074216
denticeps_clupeoides ENSDCDG00000020039
hucho_hucho ENSHHUG00000037211
hucho_hucho ENSHHUG00000005314
esox_lucius ENSELUG00000016982
takifugu_rubripes ENSTRUG00000015831
tetraodon_nigroviridis ENSTNIG00000009210
cynoglossus_semilaevis ENSCSEG00000014447
gouania_willdenowi ENSGWIG00000007962
hippocampus_comes ENSHCOG00000000463
betta_splendens ENSBSLG00000012090
mastacembelus_armatus ENSMAMG00000008039
gasterosteus_aculeatus ENSGACG00000007049
cottoperca_gobio ENSCGOG00000002481
larimichthys_crocea ENSLCRG00005008908
mola_mola ENSMMOG00000020248
labrus_bergylta ENSLBEG00000006241
amphiprion_ocellaris ENSAOCG00000001460
amphiprion_percula ENSAPEG00000019258
acanthochromis_polyacanthus ENSAPOG00000009049
stegastes_partitus ENSSPAG00000013885
parambassis_ranga ENSPRNG00000017721
xiphophorus_maculatus ENSXMAG00000026168
gambusia_affinis ENSGAFG00000017904
poecilia_formosa ENSPFOG00000002807
poecilia_mexicana ENSPMEG00000010571
poecilia_reticulata ENSPREG00000000998
fundulus_heteroclitus ENSFHEG00000014155
cyprinodon_variegatus ENSCVAG00000009761
kryptolebias_marmoratus ENSKMAG00000019299
oryzias_latipes ENSORLG00020004090
oryzias_latipes ENSORLG00015000468
oryzias_latipes ENSORLG00000004944
oryzias_melastigma ENSOMEG00000018555
maylandia_zebra ENSMZEG00005009648
astatotilapia_calliptera ENSACLG00000000784
haplochromis_burtoni ENSHBUG00000017296
oreochromis_niloticus ENSONIG00000004581
neolamprologus_brichardi ENSNBRG00000005295
amphilophus_citrinellus ENSACIG00000002046
seriola_dumerili ENSSDUG00000005062
seriola_lalandi ENSSLDG00000005618
scophthalmus_maximus ENSSMAG00000014800
lates_calcarifer ENSLCAG00010016703
monopterus_albus ENSMALG00000000195
anabas_testudineus ENSATEG00000001525
periophthalmus_magnuspinnatus ENSPMGG00000006318
gadus_morhua ENSGMOG00000013273
lepisosteus_oculatus ENSLOCG00000006099
erpetoichthys_calabaricus ENSECRG00000020973
latimeria_chalumnae ENSLACG00000003706
petromyzon_marinus ENSPMAG00000008221
petromyzon_marinus ENSPMAG00000008128
petromyzon_marinus ENSPMAG00000004959
eptatretus_burgeri ENSEBUG00000002571
lepisosteus_oculatus ENSLOCG00000006309
