prolemur_simus ENSPSMG00000015227
otolemur_garnettii ENSOGAG00000025280
cebus_capucinus ENSCCAG00000024565
saimiri_boliviensis ENSSBOG00000030178
aotus_nancymaae ENSANAG00000035564
gorilla_gorilla ENSGGOG00000002604
homo_sapiens ENSG00000240224
pan_troglodytes ENSPTRG00000045056
pan_paniscus ENSPPAG00000044118
pan_troglodytes ENSPTRG00000013058
homo_sapiens ENSG00000243135
pongo_abelii ENSPPYG00000013293
homo_sapiens ENSG00000244474
nomascus_leucogenys ENSNLEG00000008395
papio_anubis ENSPANG00000018059
theropithecus_gelada ENSTGEG00000021036
macaca_fascicularis ENSMFAG00000042349
mandrillus_leucophaeus ENSMLEG00000033333
chlorocebus_sabaeus ENSCSAG00000006310
colobus_angolensis ENSCANG00000028490
rhinopithecus_bieti ENSRBIG00000044273
rhinopithecus_roxellana ENSRROG00000038953
mus_musculus ENSMUSG00000090171
mus_spretus MGP_SPRETEiJ_G0015198
mus_caroli MGP_CAROLIEiJ_G0014394
mus_pahari MGP_PahariEiJ_G0027630
mus_musculus ENSMUSG00000089943
mus_spretus MGP_SPRETEiJ_G0015197
mus_caroli MGP_CAROLIEiJ_G0014393
castor_canadensis ENSCCNG00000006665
cavia_aperea ENSCAPG00000016394
cavia_porcellus ENSCPOG00000035407
chinchilla_lanigera ENSCLAG00000011830
fukomys_damarensis ENSFDAG00000016247
oryctolagus_cuniculus ENSOCUG00000001570
ochotona_princeps ENSOPRG00000014370
bos_indicus ENSBIXG00005007237
bos_indicus ENSBIXG00000005177
capra_hircus ENSCHIG00000022816
ovis_aries ENSOARG00000019243
ovis_aries ENSOARG00000019248
ovis_aries ENSOARG00000019229
tursiops_truncatus ENSTTRG00000004382
sus_scrofa ENSSSCG00000036274
mustela_putorius ENSMPUG00000018467
vulpes_vulpes ENSVVUG00000025415
pteropus_vampyrus ENSPVAG00000014541
pteropus_vampyrus ENSPVAG00000006270
loxodonta_africana ENSLAFG00000026824
loxodonta_africana ENSLAFG00000028960
dasypus_novemcinctus ENSDNOG00000049527
