prolemur_simus ENSPSMG00000010547
microcebus_murinus ENSMICG00000049231
otolemur_garnettii ENSOGAG00000017220
macaca_mulatta ENSMMUG00000007865
theropithecus_gelada ENSTGEG00000026104
chlorocebus_sabaeus ENSCSAG00000018933
piliocolobus_tephrosceles ENSPTEG00000006378
homo_sapiens ENSG00000178772
gorilla_gorilla ENSGGOG00000014916
pan_troglodytes ENSPTRG00000030017
pan_paniscus ENSPPAG00000020911
pongo_abelii ENSPPYG00000014420
callithrix_jacchus ENSCJAG00000022226
saimiri_boliviensis_boliviensis ENSSBOG00000014283
tupaia_belangeri ENSTBEG00000007780
peromyscus_maniculatus_bairdii ENSPEMG00000000500
microtus_ochrogaster ENSMOCG00000010472
cricetulus_griseus_crigri-picr ENSCGRG00015023284
cricetulus_griseus_chok1gshd ENSCGRG00001011563
mesocricetus_auratus ENSMAUG00000006634
mesocricetus_auratus ENSMAUG00000000580
mus_spicilegus ENSMSIG00000006697
mus_musculus ENSMUSG00000023176
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021539
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020643
mus_pahari MGP_PahariEiJ_G0016347
rattus_norvegicus ENSRNOG00000024384
meriones_unguiculatus ENSMUGG00000021180
castor_canadensis ENSCCNG00000023683
marmota_marmota_marmota ENSMMMG00000010696
urocitellus_parryii ENSUPAG00010018719
chinchilla_lanigera ENSCLAG00000018106
cavia_porcellus ENSCPOG00000037149
heterocephalus_glaber_female ENSHGLG00000021395
heterocephalus_glaber_male ENSHGLG00100017417
oryctolagus_cuniculus ENSOCUG00000029332
pteropus_vampyrus ENSPVAG00000005528
myotis_lucifugus ENSMLUG00000015542
equus_caballus ENSECAG00000004837
equus_asinus_asinus ENSEASG00005000640
bos_taurus ENSBTAG00000032656
bos_mutus ENSBMUG00000012246
bison_bison_bison ENSBBBG00000010211
capra_hircus ENSCHIG00000011103
tursiops_truncatus ENSTTRG00000003654
sus_scrofa ENSSSCG00000025128
ailuropoda_melanoleuca ENSAMEG00000018772
ursus_americanus ENSUAMG00000010921
neovison_vison ENSNVIG00000009228
mustela_putorius_furo ENSMPUG00000018885
vulpes_vulpes ENSVVUG00000009033
vulpes_vulpes ENSVVUG00000003343
canis_lupus_familiaris ENSCAFG00000031679
canis_lupus_dingo ENSCAFG00020002060
panthera_pardus ENSPPRG00000015221
panthera_tigris_altaica ENSPTIG00000008196
felis_catus ENSFCAG00000015345
choloepus_hoffmanni ENSCHOG00000000478
dasypus_novemcinctus ENSDNOG00000002972
erinaceus_europaeus ENSEEUG00000001253
phascolarctos_cinereus ENSPCIG00000007983
ornithorhynchus_anatinus ENSOANG00000015684
chelonoidis_abingdonii ENSCABG00000002859
gopherus_agassizii ENSGAGG00000004169
chrysemys_picta_bellii ENSCPBG00000015929
ficedula_albicollis ENSFALG00000007223
parus_major ENSPMJG00000018633
manacus_vitellinus ENSMVIG00005004086
calidris_pygmaea ENSCPGG00000013104
gallus_gallus ENSGALG00000045776
pogona_vitticeps ENSPVIG00000016850
notechis_scutatus ENSNSUG00000018961
tetraodon_nigroviridis ENSTNIG00000002211
petromyzon_marinus ENSPMAG00000007787
calidris_pugnax ENSCPUG00000017201
melopsittacus_undulatus ENSMUNG00000009510
cyanistes_caeruleus ENSCCEG00000014781
serinus_canaria ENSSCAG00000015453
lonchura_striata_domestica ENSLSDG00000010167
manacus_vitellinus ENSMVIG00005004085
lepidothrix_coronata ENSLCOG00000000814
anas_platyrhynchos_platyrhynchos ENSAPLG00000020534
gallus_gallus ENSGALG00000053523
lepisosteus_oculatus ENSLOCG00000017395
ciona_intestinalis ENSCING00000018199
