propithecus_coquereli ENSPCOG00000014276
prolemur_simus ENSPSMG00000001166
microcebus_murinus ENSMICG00000010626
otolemur_garnettii ENSOGAG00000016872
pan_paniscus ENSPPAG00000043929
pan_troglodytes ENSPTRG00000009625
gorilla_gorilla ENSGGOG00000003327
homo_sapiens ENSG00000167861
pongo_abelii ENSPPYG00000008612
nomascus_leucogenys ENSNLEG00000000527
cercocebus_atys ENSCATG00000037404
mandrillus_leucophaeus ENSMLEG00000034321
theropithecus_gelada ENSTGEG00000027687
papio_anubis ENSPANG00000020234
macaca_mulatta ENSMMUG00000023406
macaca_fascicularis ENSMFAG00000032179
macaca_nemestrina ENSMNEG00000042455
chlorocebus_sabaeus ENSCSAG00000004649
rhinopithecus_bieti ENSRBIG00000038520
rhinopithecus_roxellana ENSRROG00000029110
colobus_angolensis ENSCANG00000027718
piliocolobus_tephrosceles ENSPTEG00000039820
cebus_capucinus ENSCCAG00000025392
callithrix_jacchus ENSCJAG00000014648
saimiri_boliviensis ENSSBOG00000035074
aotus_nancymaae ENSANAG00000031278
mus_spretus MGP_SPRETEiJ_G0018243
mus_spicilegus ENSMSIG00000028424
mus_musculus ENSMUSG00000034586
mus_caroli MGP_CAROLIEiJ_G0017398
mus_pahari MGP_PahariEiJ_G0018528
rattus_norvegicus ENSRNOG00000003464
meriones_unguiculatus ENSMUGG00000022504
cricetulus_griseus ENSCGRG00001020197
cricetulus_griseus ENSCGRG00000010591
cricetulus_griseus ENSCGRG00015009898
mesocricetus_auratus ENSMAUG00000020775
microtus_ochrogaster ENSMOCG00000012205
peromyscus_maniculatus ENSPEMG00000011078
nannospalax_galili ENSNGAG00000021992
jaculus_jaculus ENSJJAG00000012842
chinchilla_lanigera ENSCLAG00000002294
octodon_degus ENSODEG00000009269
cavia_aperea ENSCAPG00000001792
cavia_porcellus ENSCPOG00000003963
heterocephalus_glaber ENSHGLG00100005008
heterocephalus_glaber ENSHGLG00000006397
fukomys_damarensis ENSFDAG00000021386
castor_canadensis ENSCCNG00000025035
castor_canadensis ENSCCNG00000024981
dipodomys_ordii ENSDORG00000000537
ictidomys_tridecemlineatus ENSSTOG00000015130
urocitellus_parryii ENSUPAG00010023975
spermophilus_dauricus ENSSDAG00000004993
marmota_marmota ENSMMMG00000011148
carlito_syrichta ENSTSYG00000025635
ochotona_princeps ENSOPRG00000001604
equus_asinus ENSEASG00005000266
equus_caballus ENSECAG00000019664
pteropus_vampyrus ENSPVAG00000016055
ursus_americanus ENSUAMG00000010460
ursus_maritimus ENSUMAG00000008253
ailuropoda_melanoleuca ENSAMEG00000009062
mustela_putorius ENSMPUG00000014100
neovison_vison ENSNVIG00000010335
canis_lupus ENSCAFG00020021881
canis_lupus ENSCAFG00000004691
vulpes_vulpes ENSVVUG00000010365
panthera_pardus ENSPPRG00000007778
panthera_tigris ENSPTIG00000014334
felis_catus ENSFCAG00000026702
myotis_lucifugus ENSMLUG00000003519
erinaceus_europaeus ENSEEUG00000004471
sus_scrofa ENSSSCG00000017219
vicugna_pacos ENSVPAG00000002750
capra_hircus ENSCHIG00000012292
ovis_aries ENSOARG00000011530
bos_indicus ENSBIXG00000012790
bos_indicus ENSBIXG00005030692
bos_taurus ENSBTAG00000010809
bos_mutus ENSBMUG00000008352
bison_bison ENSBBBG00000005873
tursiops_truncatus ENSTTRG00000002615
loxodonta_africana ENSLAFG00000031005
procavia_capensis ENSPCAG00000015133
vombatus_ursinus ENSVURG00010012102
phascolarctos_cinereus ENSPCIG00000004650
notamacropus_eugenii ENSMEUG00000013813
sarcophilus_harrisii ENSSHAG00000018760
monodelphis_domestica ENSMODG00000007110
ornithorhynchus_anatinus ENSOANG00000004376
ornithorhynchus_anatinus ENSOANG00000030200
gopherus_agassizii ENSGAGG00000003958
chelonoidis_abingdonii ENSCABG00000011705
chrysemys_picta ENSCPBG00000028144
pelodiscus_sinensis ENSPSIG00000004631
crocodylus_porosus ENSCPRG00005003227
anolis_carolinensis ENSACAG00000005900
notechis_scutatus ENSNSUG00000013441
salvator_merianae ENSSMRG00000023214
pogona_vitticeps ENSPVIG00000001325
sphenodon_punctatus ENSSPUG00000009600
nothoprocta_perdicaria ENSNPEG00000003980
nothoprocta_perdicaria ENSNPEG00000003976
apteryx_owenii ENSAOWG00000013363
