pan_paniscus ENSPPAG00000039600
pan_troglodytes ENSPTRG00000044199
gorilla_gorilla ENSGGOG00000015727
homo_sapiens ENSG00000161249
pongo_abelii ENSPPYG00000009865
nomascus_leucogenys ENSNLEG00000011184
rhinopithecus_bieti ENSRBIG00000042896
rhinopithecus_roxellana ENSRROG00000029506
piliocolobus_tephrosceles ENSPTEG00000018211
colobus_angolensis_palliatus ENSCANG00000016272
macaca_fascicularis ENSMFAG00000045312
macaca_mulatta ENSMMUG00000019064
macaca_nemestrina ENSMNEG00000028628
chlorocebus_sabaeus ENSCSAG00000004497
theropithecus_gelada ENSTGEG00000011580
papio_anubis ENSPANG00000034437
cercocebus_atys ENSCATG00000037659
mandrillus_leucophaeus ENSMLEG00000035853
saimiri_boliviensis_boliviensis ENSSBOG00000028642
callithrix_jacchus ENSCJAG00000010353
cebus_capucinus ENSCCAG00000017000
aotus_nancymaae ENSANAG00000032879
otolemur_garnettii ENSOGAG00000001492
tupaia_belangeri ENSTBEG00000007730
heterocephalus_glaber_male ENSHGLG00100018599
heterocephalus_glaber_female ENSHGLG00000014982
fukomys_damarensis ENSFDAG00000008082
octodon_degus ENSODEG00000014042
chinchilla_lanigera ENSCLAG00000016791
ictidomys_tridecemlineatus ENSSTOG00000007332
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030640
mus_spicilegus ENSMSIG00000011515
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029544
mus_musculus ENSMUSG00000060962
mus_pahari MGP_PahariEiJ_G0012778
rattus_norvegicus ENSRNOG00000055934
meriones_unguiculatus ENSMUGG00000013576
cricetulus_griseus_crigri-picr ENSCGRG00015012633
nannospalax_galili ENSNGAG00000002220
jaculus_jaculus ENSJJAG00000020539
castor_canadensis ENSCCNG00000008313
oryctolagus_cuniculus ENSOCUG00000027638
ochotona_princeps ENSOPRG00000002651
neovison_vison ENSNVIG00000017988
mustela_putorius_furo ENSMPUG00000006911
ailuropoda_melanoleuca ENSAMEG00000000298
vulpes_vulpes ENSVVUG00000015154
canis_lupus_familiaris ENSCAFG00000007024
equus_asinus_asinus ENSEASG00005000457
erinaceus_europaeus ENSEEUG00000005864
tursiops_truncatus ENSTTRG00000015144
sus_scrofa ENSSSCG00000002883
bos_mutus ENSBMUG00000016690
bos_taurus ENSBTAG00000015912
bison_bison_bison ENSBBBG00000023684
ovis_aries ENSOARG00000004823
pteropus_vampyrus ENSPVAG00000015030
myotis_lucifugus ENSMLUG00000016376
loxodonta_africana ENSLAFG00000010713
echinops_telfairi ENSETEG00000000580
dasypus_novemcinctus ENSDNOG00000039686
notamacropus_eugenii ENSMEUG00000003996
sarcophilus_harrisii ENSSHAG00000007550
