mus_musculus ENSMUSG00000074210
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030611
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029515
mus_pahari MGP_PahariEiJ_G0012749
peromyscus_maniculatus_bairdii ENSPEMG00000027171
cricetulus_griseus_chok1gshd ENSCGRG00001015104
ictidomys_tridecemlineatus ENSSTOG00000031609
heterocephalus_glaber_female ENSHGLG00000011122
heterocephalus_glaber_male ENSHGLG00100015758
cavia_porcellus ENSCPOG00000038967
rhinopithecus_roxellana ENSRROG00000034064
rhinopithecus_bieti ENSRBIG00000043091
piliocolobus_tephrosceles ENSPTEG00000012040
theropithecus_gelada ENSTGEG00000008452
prolemur_simus ENSPSMG00000001310
vulpes_vulpes ENSVVUG00000013661
canis_lupus_dingo ENSCAFG00020018163
ursus_maritimus ENSUMAG00000020746
bos_mutus ENSBMUG00000017727
bos_taurus ENSBTAG00000055046
bison_bison_bison ENSBBBG00000008128
equus_caballus ENSECAG00000036778
equus_asinus_asinus ENSEASG00005001449
