tursiops_truncatus ENSTTRG00000003973
sus_scrofa ENSSSCG00000027515
capra_hircus ENSCHIG00000022668
ovis_aries ENSOARG00000006366
bison_bison_bison ENSBBBG00000018387
bos_mutus ENSBMUG00000015581
bos_taurus ENSBTAG00000005261
equus_caballus ENSECAG00000011718
equus_asinus_asinus ENSEASG00005011783
ursus_americanus ENSUAMG00000001707
ursus_maritimus ENSUMAG00000019600
ailuropoda_melanoleuca ENSAMEG00000012651
mustela_putorius_furo ENSMPUG00000017715
canis_lupus_familiaris ENSCAFG00000005406
panthera_pardus ENSPPRG00000001784
panthera_tigris_altaica ENSPTIG00000008725
felis_catus ENSFCAG00000018512
myotis_lucifugus ENSMLUG00000013449
saimiri_boliviensis_boliviensis ENSSBOG00000007848
cebus_capucinus ENSCCAG00000035525
macaca_fascicularis ENSMFAG00000002651
carlito_syrichta ENSTSYG00000028772
propithecus_coquereli ENSPCOG00000022390
microcebus_murinus ENSMICG00000028674
chinchilla_lanigera ENSCLAG00000001245
octodon_degus ENSODEG00000001765
heterocephalus_glaber_female ENSHGLG00000009895
heterocephalus_glaber_male ENSHGLG00100018067
fukomys_damarensis ENSFDAG00000004653
marmota_marmota_marmota ENSMMMG00000020715
ictidomys_tridecemlineatus ENSSTOG00000033027
mus_spicilegus ENSMSIG00000003161
mus_musculus ENSMUSG00000047730
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029431
mus_pahari MGP_PahariEiJ_G0012667
rattus_norvegicus ENSRNOG00000019129
meriones_unguiculatus ENSMUGG00000025994
cricetulus_griseus_chok1gshd ENSCGRG00001011221
cricetulus_griseus_crigri ENSCGRG00000016262
cricetulus_griseus_crigri-picr ENSCGRG00015025619
mesocricetus_auratus ENSMAUG00000010567
microtus_ochrogaster ENSMOCG00000002951
cricetulus_griseus_chok1gshd ENSCGRG00001000231
cricetulus_griseus_crigri ENSCGRG00000010331
cricetulus_griseus_crigri-picr ENSCGRG00015025651
microtus_ochrogaster ENSMOCG00000016023
mus_spicilegus ENSMSIG00000003070
mus_musculus ENSMUSG00000078776
rattus_norvegicus ENSRNOG00000042899
nannospalax_galili ENSNGAG00000020512
nannospalax_galili ENSNGAG00000021262
jaculus_jaculus ENSJJAG00000016484
castor_canadensis ENSCCNG00000007793
oryctolagus_cuniculus ENSOCUG00000027210
chlorocebus_sabaeus ENSCSAG00000003780
dasypus_novemcinctus ENSDNOG00000048010
loxodonta_africana ENSLAFG00000032296
