chrysemys_picta ENSCPBG00000014625
chelonoidis_abingdonii ENSCABG00000004165
pelodiscus_sinensis ENSPSIG00000008868
apteryx_owenii ENSAOWG00000018187
apteryx_haastii ENSAHAG00000007233
apteryx_rowi ENSARWG00000014572
dromaius_novaehollandiae ENSDNVG00000003823
nothoprocta_perdicaria ENSNPEG00000006373
anas_platyrhynchos ENSAPLG00000007356
anser_brachyrhynchus ENSABRG00000005446
gallus_gallus ENSGALG00000008490
coturnix_japonica ENSCJPG00005020825
meleagris_gallopavo ENSMGAG00000010403
numida_meleagris ENSNMEG00000009642
lonchura_striata ENSLSDG00000016448
taeniopygia_guttata ENSTGUG00000010565
zonotrichia_albicollis ENSZALG00000003280
junco_hyemalis ENSJHYG00000018356
serinus_canaria ENSSCAG00000016240
ficedula_albicollis ENSFALG00000013681
parus_major ENSPMJG00000006045
cyanistes_caeruleus ENSCCEG00000004093
manacus_vitellinus ENSMVIG00005012308
lepidothrix_coronata ENSLCOG00000013976
calidris_pygmaea ENSCPGG00000002811
calidris_pugnax ENSCPUG00000018668
melopsittacus_undulatus ENSMUNG00000013562
crocodylus_porosus ENSCPRG00005012536
anolis_carolinensis ENSACAG00000028972
pogona_vitticeps ENSPVIG00000021100
notechis_scutatus ENSNSUG00000006272
salvator_merianae ENSSMRG00000002898
sphenodon_punctatus ENSSPUG00000017236
monodelphis_domestica ENSMODG00000028708
phascolarctos_cinereus ENSPCIG00000023527
sarcophilus_harrisii ENSSHAG00000015845
mus_spicilegus ENSMSIG00000009965
mus_caroli MGP_CAROLIEiJ_G0028664
mus_musculus ENSMUSG00000005892
mus_spretus MGP_SPRETEiJ_G0029690
mus_pahari MGP_PahariEiJ_G0022411
rattus_norvegicus ENSRNOG00000011824
meriones_unguiculatus ENSMUGG00000016437
cricetulus_griseus ENSCGRG00000015709
cricetulus_griseus ENSCGRG00001019768
cricetulus_griseus ENSCGRG00015014434
mesocricetus_auratus ENSMAUG00000016316
peromyscus_maniculatus ENSPEMG00000027938
microtus_ochrogaster ENSMOCG00000020778
nannospalax_galili ENSNGAG00000022332
jaculus_jaculus ENSJJAG00000023012
castor_canadensis ENSCCNG00000004647
ictidomys_tridecemlineatus ENSSTOG00000026247
urocitellus_parryii ENSUPAG00010000545
marmota_marmota ENSMMMG00000011424
spermophilus_dauricus ENSSDAG00000014777
heterocephalus_glaber ENSHGLG00000007193
heterocephalus_glaber ENSHGLG00100001309
fukomys_damarensis ENSFDAG00000019105
oryctolagus_cuniculus ENSOCUG00000006337
ochotona_princeps ENSOPRG00000005368
prolemur_simus ENSPSMG00000008852
microcebus_murinus ENSMICG00000030353
propithecus_coquereli ENSPCOG00000014823
otolemur_garnettii ENSOGAG00000017199
gorilla_gorilla ENSGGOG00000037304
gorilla_gorilla ENSGGOG00000009280
homo_sapiens ENSG00000170893
pan_paniscus ENSPPAG00000041209
pan_troglodytes ENSPTRG00000015383
pongo_abelii ENSPPYG00000013411
nomascus_leucogenys ENSNLEG00000005245
rhinopithecus_bieti ENSRBIG00000034537
rhinopithecus_roxellana ENSRROG00000030136
colobus_angolensis ENSCANG00000021175
piliocolobus_tephrosceles ENSPTEG00000009956
papio_anubis ENSPANG00000009555
cercocebus_atys ENSCATG00000030883
macaca_fascicularis ENSMFAG00000042203
