sphenodon_punctatus ENSSPUG00000016542
notechis_scutatus ENSNSUG00000019623
nothoprocta_perdicaria ENSNPEG00000015182
castor_canadensis ENSCCNG00000027590
microcebus_murinus ENSMICG00000010752
poecilia_reticulata ENSPREG00000014455
cyprinodon_variegatus ENSCVAG00000004579
oryzias_latipes ENSORLG00020010770
oryzias_melastigma ENSOMEG00000016241
pundamilia_nyererei ENSPNYG00000020066
astatotilapia_calliptera ENSACLG00000010484
neolamprologus_brichardi ENSNBRG00000012751
amphilophus_citrinellus ENSACIG00000014700
anabas_testudineus ENSATEG00000012710
monopterus_albus ENSMALG00000006923
seriola_lalandi ENSSLDG00000021138
mola_mola ENSMMOG00000012932
