ictidomys_tridecemlineatus ENSSTOG00000032190
fukomys_damarensis ENSFDAG00000013719
meriones_unguiculatus ENSMUGG00000020894
rattus_norvegicus ENSRNOG00000038598
cricetulus_griseus_crigri-picr ENSCGRG00015010142
microcebus_murinus ENSMICG00000046521
ovis_aries ENSOARG00000004880
ovis_aries ENSOARG00000004888
capra_hircus ENSCHIG00000015134
bos_taurus ENSBTAG00000048804
sus_scrofa ENSSSCG00000038606
myotis_lucifugus ENSMLUG00000028250
vulpes_vulpes ENSVVUG00000014859
ailuropoda_melanoleuca ENSAMEG00000017186
mustela_putorius_furo ENSMPUG00000016455
loxodonta_africana ENSLAFG00000028483
phascolarctos_cinereus ENSPCIG00000003646
sarcophilus_harrisii ENSSHAG00000006118
sarcophilus_harrisii ENSSHAG00000006201
latimeria_chalumnae ENSLACG00000015385
apteryx_haastii ENSAHAG00000019433
apteryx_owenii ENSAOWG00000008274
apteryx_rowi ENSARWG00000015526
dromaius_novaehollandiae ENSDNVG00000004663
anser_brachyrhynchus ENSABRG00000020934
anas_platyrhynchos_platyrhynchos ENSAPLG00000030416
calidris_pygmaea ENSCPGG00000001562
calidris_pugnax ENSCPUG00000012305
chrysemys_picta_bellii ENSCPBG00000025600
pogona_vitticeps ENSPVIG00000007043
sphenodon_punctatus ENSSPUG00000017944
xenopus_tropicalis ENSXETG00000013699
lepisosteus_oculatus ENSLOCG00000003458
