poecilia_latipinna ENSPLAG00000007863
poecilia_mexicana ENSPMEG00000011856
fundulus_heteroclitus ENSFHEG00000006816
amphiprion_ocellaris ENSAOCG00000009297
acanthochromis_polyacanthus ENSAPOG00000015020
astatotilapia_calliptera ENSACLG00000027390
haplochromis_burtoni ENSHBUG00000016812
maylandia_zebra ENSMZEG00005003440
neolamprologus_brichardi ENSNBRG00000015634
labrus_bergylta ENSLBEG00000003917
seriola_dumerili ENSSDUG00000001204
anabas_testudineus ENSATEG00000005357
amphilophus_citrinellus ENSACIG00000018396
poecilia_mexicana ENSPMEG00000023624
mastacembelus_armatus ENSMAMG00000005632
seriola_lalandi_dorsalis ENSSLDG00000007090
cynoglossus_semilaevis ENSCSEG00000009879
scleropages_formosus ENSSFOG00015021677
paramormyrops_kingsleyae ENSPKIG00000021297
chrysemys_picta_bellii ENSCPBG00000008374
chelonoidis_abingdonii ENSCABG00000004264
apteryx_rowi ENSARWG00000006094
mesocricetus_auratus ENSMAUG00000004744
cricetulus_griseus_chok1gshd ENSCGRG00001023649
mus_spicilegus ENSMSIG00000012175
rattus_norvegicus ENSRNOG00000020538
castor_canadensis ENSCCNG00000020018
urocitellus_parryii ENSUPAG00010001487
felis_catus ENSFCAG00000037892
sus_scrofa ENSSSCG00000039354
spermophilus_dauricus ENSSDAG00000005916
marmota_marmota_marmota ENSMMMG00000018948
equus_caballus ENSECAG00000032940
equus_asinus_asinus ENSEASG00005006264
