pundamilia_nyererei ENSPNYG00000023248
maylandia_zebra ENSMZEG00005026967
haplochromis_burtoni ENSHBUG00000021456
oreochromis_niloticus ENSONIG00000005072
amphilophus_citrinellus ENSACIG00000008741
amphiprion_ocellaris ENSAOCG00000018302
poecilia_formosa ENSPFOG00000004380
poecilia_latipinna ENSPLAG00000006578
xiphophorus_maculatus ENSXMAG00000001541
gambusia_affinis ENSGAFG00000001249
cyprinodon_variegatus ENSCVAG00000015039
fundulus_heteroclitus ENSFHEG00000016097
oryzias_latipes ENSORLG00000021883
oryzias_latipes ENSORLG00020012564
oryzias_latipes_asm223469v1 ENSORLG00015020074
oryzias_melastigma ENSOMEG00000011725
monopterus_albus ENSMALG00000015303
stegastes_partitus ENSSPAG00000006007
anabas_testudineus ENSATEG00000015152
seriola_dumerili ENSSDUG00000012423
seriola_lalandi_dorsalis ENSSLDG00000020004
scophthalmus_maximus ENSSMAG00000014080
cynoglossus_semilaevis ENSCSEG00000018418
mola_mola ENSMMOG00000016859
gasterosteus_aculeatus ENSGACG00000009744
gadus_morhua ENSGMOG00000015583
esox_lucius ENSELUG00000018499
astyanax_mexicanus ENSAMXG00000041554
pygocentrus_nattereri ENSPNAG00000025698
paramormyrops_kingsleyae ENSPKIG00000012376
eptatretus_burgeri ENSEBUG00000003677
ciona_intestinalis ENSCING00000014267
ciona_savignyi ENSCSAVG00000006725
ciona_savignyi ENSCSAVG00000006730
drosophila_melanogaster FBgn0267978
caenorhabditis_elegans_strain_n2 WBGene00006654
