oryctolagus_cuniculus ENSOCUG00000021861
aotus_nancymaae ENSANAG00000024714
ursus_americanus ENSUAMG00000025537
capra_hircus ENSCHIG00000011179
notechis_scutatus ENSNSUG00000005291
salvator_merianae ENSSMRG00000017018
gopherus_agassizii ENSGAGG00000006114
chrysemys_picta_bellii ENSCPBG00000001076
melopsittacus_undulatus ENSMUNG00000003555
neolamprologus_brichardi ENSNBRG00000017250
kryptolebias_marmoratus ENSKMAG00000010130
poecilia_reticulata ENSPREG00000001552
poecilia_latipinna ENSPLAG00000017035
xiphophorus_couchianus ENSXCOG00000014998
cyprinodon_variegatus ENSCVAG00000006502
amphiprion_percula ENSAPEG00000001868
mola_mola ENSMMOG00000018116
labrus_bergylta ENSLBEG00000013089
seriola_lalandi_dorsalis ENSSLDG00000018267
