castor_canadensis ENSCCNG00000000233
dipodomys_ordii ENSDORG00000006541
cricetulus_griseus_chok1gshd ENSCGRG00001015406
cricetulus_griseus_crigri ENSCGRG00000015440
cricetulus_griseus_crigri-picr ENSCGRG00015015760
peromyscus_maniculatus_bairdii ENSPEMG00000021274
mus_spicilegus ENSMSIG00000020768
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028522
mus_musculus ENSMUSG00000062234
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027523
mus_pahari MGP_PahariEiJ_G0017296
rattus_norvegicus ENSRNOG00000000048
meriones_unguiculatus ENSMUGG00000001543
heterocephalus_glaber_female ENSHGLG00000006510
heterocephalus_glaber_male ENSHGLG00100013894
fukomys_damarensis ENSFDAG00000015118
cavia_porcellus ENSCPOG00000013147
cavia_aperea ENSCAPG00000013019
chinchilla_lanigera ENSCLAG00000010881
urocitellus_parryii ENSUPAG00010022966
ictidomys_tridecemlineatus ENSSTOG00000014540
spermophilus_dauricus ENSSDAG00000017726
marmota_marmota_marmota ENSMMMG00000008679
myotis_lucifugus ENSMLUG00000014830
oryctolagus_cuniculus ENSOCUG00000002939
pan_paniscus ENSPPAG00000030635
pan_troglodytes ENSPTRG00000015815
homo_sapiens ENSG00000178950
gorilla_gorilla ENSGGOG00000000740
pongo_abelii ENSPPYG00000014511
nomascus_leucogenys ENSNLEG00000000955
theropithecus_gelada ENSTGEG00000019890
papio_anubis ENSPANG00000011910
mandrillus_leucophaeus ENSMLEG00000043550
cercocebus_atys ENSCATG00000037531
macaca_fascicularis ENSMFAG00000043306
macaca_mulatta ENSMMUG00000016919
macaca_nemestrina ENSMNEG00000033046
chlorocebus_sabaeus ENSCSAG00000015357
piliocolobus_tephrosceles ENSPTEG00000020708
colobus_angolensis_palliatus ENSCANG00000040388
rhinopithecus_bieti ENSRBIG00000030937
rhinopithecus_roxellana ENSRROG00000042256
cebus_capucinus ENSCCAG00000035657
saimiri_boliviensis_boliviensis ENSSBOG00000026420
callithrix_jacchus ENSCJAG00000042245
aotus_nancymaae ENSANAG00000016011
carlito_syrichta ENSTSYG00000036328
nannospalax_galili ENSNGAG00000000725
otolemur_garnettii ENSOGAG00000015576
prolemur_simus ENSPSMG00000003100
microcebus_murinus ENSMICG00000012895
propithecus_coquereli ENSPCOG00000009869
callithrix_jacchus ENSCJAG00000043186
callithrix_jacchus ENSCJAG00000047693
mesocricetus_auratus ENSMAUG00000010451
microtus_ochrogaster ENSMOCG00000020467
jaculus_jaculus ENSJJAG00000011664
octodon_degus ENSODEG00000012338
equus_asinus_asinus ENSEASG00005022640
bos_taurus ENSBTAG00000019188
bos_mutus ENSBMUG00000025376
bison_bison_bison ENSBBBG00000015756
bison_bison_bison ENSBBBG00000015788
ursus_maritimus ENSUMAG00000005996
capra_hircus ENSCHIG00000015507
ovis_aries ENSOARG00000016360
tursiops_truncatus ENSTTRG00000011270
sus_scrofa ENSSSCG00000021289
sorex_araneus ENSSARG00000003826
pteropus_vampyrus ENSPVAG00000004311
marmota_marmota_marmota ENSMMMG00000008701
mustela_putorius_furo ENSMPUG00000011306
neovison_vison ENSNVIG00000022170
ailuropoda_melanoleuca ENSAMEG00000016761
canis_lupus_dingo ENSCAFG00020027028
canis_lupus_familiaris ENSCAFG00000016743
vulpes_vulpes ENSVVUG00000012981
felis_catus ENSFCAG00000008230
panthera_pardus ENSPPRG00000014064
ursus_maritimus ENSUMAG00000005806
spermophilus_dauricus ENSSDAG00000017763
equus_caballus ENSECAG00000023832
equus_asinus_asinus ENSEASG00005022610
dasypus_novemcinctus ENSDNOG00000024761
loxodonta_africana ENSLAFG00000011882
procavia_capensis ENSPCAG00000000691
echinops_telfairi ENSETEG00000004636
anabas_testudineus ENSATEG00000023317
phascolarctos_cinereus ENSPCIG00000012628
notamacropus_eugenii ENSMEUG00000009342
sarcophilus_harrisii ENSSHAG00000008408
monodelphis_domestica ENSMODG00000005655
ornithorhynchus_anatinus ENSOANG00000011406
anolis_carolinensis ENSACAG00000001376
pogona_vitticeps ENSPVIG00000014849
notechis_scutatus ENSNSUG00000015599
salvator_merianae ENSSMRG00000018696
sphenodon_punctatus ENSSPUG00000010411
nothoprocta_perdicaria ENSNPEG00000013327
nothoprocta_perdicaria ENSNPEG00000013326
apteryx_haastii ENSAHAG00000007554
apteryx_owenii ENSAOWG00000017209
apteryx_rowi ENSARWG00000006827
dromaius_novaehollandiae ENSDNVG00000001884
gallus_gallus ENSGALG00000050226
gallus_gallus ENSGALG00000015352
coturnix_japonica ENSCJPG00005012081
meleagris_gallopavo ENSMGAG00000007455
meleagris_gallopavo ENSMGAG00000007161
numida_meleagris ENSNMEG00000002659
anser_brachyrhynchus ENSABRG00000012452
anas_platyrhynchos_platyrhynchos ENSAPLG00000009451
calidris_pygmaea ENSCPGG00000010146
calidris_pugnax ENSCPUG00000010254
melopsittacus_undulatus ENSMUNG00000004494
lepidothrix_coronata ENSLCOG00000005481
manacus_vitellinus ENSMVIG00005019884
parus_major ENSPMJG00000003512
cyanistes_caeruleus ENSCCEG00000017336
ficedula_albicollis ENSFALG00000005356
serinus_canaria ENSSCAG00000013097
zonotrichia_albicollis ENSZALG00000007837
lonchura_striata_domestica ENSLSDG00000000462
taeniopygia_guttata ENSTGUG00000000154
crocodylus_porosus ENSCPRG00005014329
chelonoidis_abingdonii ENSCABG00000017963
gopherus_agassizii ENSGAGG00000011673
chrysemys_picta_bellii ENSCPBG00000021135
pelodiscus_sinensis ENSPSIG00000017457
xenopus_tropicalis ENSXETG00000003718
eptatretus_burgeri ENSEBUG00000015512
scleropages_formosus ENSSFOG00015016500
paramormyrops_kingsleyae ENSPKIG00000001261
neolamprologus_brichardi ENSNBRG00000022556
neolamprologus_brichardi ENSNBRG00000022560
takifugu_rubripes ENSTRUG00000016904
tetraodon_nigroviridis ENSTNIG00000015964
mola_mola ENSMMOG00000018038
cynoglossus_semilaevis ENSCSEG00000007634
cynoglossus_semilaevis ENSCSEG00000008545
xiphophorus_maculatus ENSXMAG00000002958
gambusia_affinis ENSGAFG00000017041
poecilia_formosa ENSPFOG00000009019
poecilia_mexicana ENSPMEG00000016252
poecilia_latipinna ENSPLAG00000021786
poecilia_reticulata ENSPREG00000008599
fundulus_heteroclitus ENSFHEG00000003794
cyprinodon_variegatus ENSCVAG00000012115
kryptolebias_marmoratus ENSKMAG00000006562
oryzias_latipes ENSORLG00000001381
oryzias_latipes_asm223469v1 ENSORLG00015018459
oryzias_latipes ENSORLG00020008916
oryzias_melastigma ENSOMEG00000013153
astatotilapia_calliptera ENSACLG00000019086
haplochromis_burtoni ENSHBUG00000011034
maylandia_zebra ENSMZEG00005013141
pundamilia_nyererei ENSPNYG00000003523
oreochromis_niloticus ENSONIG00000016957
amphilophus_citrinellus ENSACIG00000003336
anabas_testudineus ENSATEG00000023302
mastacembelus_armatus ENSMAMG00000007145
acanthochromis_polyacanthus ENSAPOG00000006511
amphiprion_ocellaris ENSAOCG00000012815
stegastes_partitus ENSSPAG00000012684
