ornithorhynchus_anatinus ENSOANG00000029061
sarcophilus_harrisii ENSSHAG00000002829
bos_mutus ENSBMUG00000026100
lepisosteus_oculatus ENSLOCG00000011475
lepisosteus_oculatus ENSLOCG00000011722
oreochromis_niloticus ENSONIG00000008580
kryptolebias_marmoratus ENSKMAG00000016798
amphiprion_ocellaris ENSAOCG00000011841
anabas_testudineus ENSATEG00000005858
lepisosteus_oculatus ENSLOCG00000011727
ursus_americanus ENSUAMG00000018357
ursus_maritimus ENSUMAG00000017119
ailuropoda_melanoleuca ENSAMEG00000016527
mustela_putorius_furo ENSMPUG00000004337
neovison_vison ENSNVIG00000002378
canis_lupus_familiaris ENSCAFG00000010682
canis_lupus_dingo ENSCAFG00020022743
vulpes_vulpes ENSVVUG00000025655
panthera_pardus ENSPPRG00000000422
panthera_tigris_altaica ENSPTIG00000007963
felis_catus ENSFCAG00000033035
equus_asinus_asinus ENSEASG00005008425
equus_caballus ENSECAG00000019621
neovison_vison ENSNVIG00000002361
bos_taurus ENSBTAG00000015752
bos_mutus ENSBMUG00000026093
bison_bison_bison ENSBBBG00000007717
capra_hircus ENSCHIG00000013385
ovis_aries ENSOARG00000020630
tursiops_truncatus ENSTTRG00000009274
sus_scrofa ENSSSCG00000016261
myotis_lucifugus ENSMLUG00000001893
erinaceus_europaeus ENSEEUG00000005500
cricetulus_griseus_chok1gshd ENSCGRG00001022716
cricetulus_griseus_crigri-picr ENSCGRG00015009083
cricetulus_griseus_crigri ENSCGRG00000011716
cricetulus_griseus_crigri-picr ENSCGRG00015009029
microtus_ochrogaster ENSMOCG00000002737
microtus_ochrogaster ENSMOCG00000016045
peromyscus_maniculatus_bairdii ENSPEMG00000025444
peromyscus_maniculatus_bairdii ENSPEMG00000028555
mus_musculus ENSMUSG00000052477
mus_musculus ENSMUSG00000079190
mus_musculus ENSMUSG00000089844
mus_musculus ENSMUSG00000070031
mus_musculus ENSMUSG00000079192
mus_musculus ENSMUSG00000079794
mus_musculus ENSMUSG00000095500
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014346
mus_pahari MGP_PahariEiJ_G0027583
rattus_norvegicus ENSRNOG00000022800
meriones_unguiculatus ENSMUGG00000011500
microtus_ochrogaster ENSMOCG00000022782
ochotona_princeps ENSOPRG00000008712
macaca_mulatta ENSMMUG00000019087
theropithecus_gelada ENSTGEG00000017947
prolemur_simus ENSPSMG00000018781
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015152
mus_musculus ENSMUSG00000052760
mus_spicilegus ENSMSIG00000002450
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014350
mus_pahari MGP_PahariEiJ_G0027587
rattus_norvegicus ENSRNOG00000017273
cricetulus_griseus_crigri ENSCGRG00000012809
cricetulus_griseus_chok1gshd ENSCGRG00001023369
cricetulus_griseus_crigri-picr ENSCGRG00015009586
peromyscus_maniculatus_bairdii ENSPEMG00000023488
microtus_ochrogaster ENSMOCG00000017114
ailuropoda_melanoleuca ENSAMEG00000016479
ursus_americanus ENSUAMG00000011053
canis_lupus_familiaris ENSCAFG00000031923
canis_lupus_dingo ENSCAFG00020022794
vulpes_vulpes ENSVVUG00000025628
neovison_vison ENSNVIG00000002492
mustela_putorius_furo ENSMPUG00000004570
mus_musculus ENSMUSG00000070034
mus_musculus ENSMUSG00000079808
mus_musculus ENSMUSG00000094874
mus_musculus ENSMUSG00000095092
mus_musculus ENSMUSG00000095250
mus_musculus ENSMUSG00000095672
mus_musculus ENSMUSG00000094799
mus_spicilegus ENSMSIG00000000217
mus_pahari MGP_PahariEiJ_G0027580
rattus_norvegicus ENSRNOG00000033747
meriones_unguiculatus ENSMUGG00000019112
microtus_ochrogaster ENSMOCG00000014035
microtus_ochrogaster ENSMOCG00000015039
peromyscus_maniculatus_bairdii ENSPEMG00000022576
cricetulus_griseus_crigri ENSCGRG00000007851
cricetulus_griseus_crigri-picr ENSCGRG00015009047
cricetulus_griseus_chok1gshd ENSCGRG00001010602
mesocricetus_auratus ENSMAUG00000021045
nannospalax_galili ENSNGAG00000007505
mus_spicilegus ENSMSIG00000008735
mus_spicilegus ENSMSIG00000031878
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014347
mus_pahari MGP_PahariEiJ_G0027582
oryctolagus_cuniculus ENSOCUG00000009809
ochotona_princeps ENSOPRG00000012409
tupaia_belangeri ENSTBEG00000010996
pteropus_vampyrus ENSPVAG00000007019
callithrix_jacchus ENSCJAG00000013254
saimiri_boliviensis_boliviensis ENSSBOG00000028403
cebus_capucinus ENSCCAG00000028247
aotus_nancymaae ENSANAG00000014092
pan_paniscus ENSPPAG00000039601
pan_troglodytes ENSPTRG00000052837
gorilla_gorilla ENSGGOG00000006923
homo_sapiens ENSG00000135899
pongo_abelii ENSPPYG00000013252
nomascus_leucogenys ENSNLEG00000013725
rhinopithecus_roxellana ENSRROG00000042901
rhinopithecus_bieti ENSRBIG00000038206
piliocolobus_tephrosceles ENSPTEG00000039794
colobus_angolensis_palliatus ENSCANG00000038968
macaca_fascicularis ENSMFAG00000034455
macaca_nemestrina ENSMNEG00000043974
macaca_mulatta ENSMMUG00000012197
mandrillus_leucophaeus ENSMLEG00000039622
theropithecus_gelada ENSTGEG00000016911
papio_anubis ENSPANG00000014735
chlorocebus_sabaeus ENSCSAG00000006997
cercocebus_atys ENSCATG00000034439
carlito_syrichta ENSTSYG00000004511
prolemur_simus ENSPSMG00000017282
microcebus_murinus ENSMICG00000015664
propithecus_coquereli ENSPCOG00000007788
otolemur_garnettii ENSOGAG00000028543
octodon_degus ENSODEG00000007283
chinchilla_lanigera ENSCLAG00000013705
cavia_porcellus ENSCPOG00000025399
cavia_aperea ENSCAPG00000010905
heterocephalus_glaber_female ENSHGLG00000002180
heterocephalus_glaber_male ENSHGLG00100011304
fukomys_damarensis ENSFDAG00000015679
castor_canadensis ENSCCNG00000018005
dipodomys_ordii ENSDORG00000025490
urocitellus_parryii ENSUPAG00010004794
ictidomys_tridecemlineatus ENSSTOG00000027040
spermophilus_dauricus ENSSDAG00000020035
marmota_marmota_marmota ENSMMMG00000001172
loxodonta_africana ENSLAFG00000027661
loxodonta_africana ENSLAFG00000002295
echinops_telfairi ENSETEG00000014424
dasypus_novemcinctus ENSDNOG00000034129
latimeria_chalumnae ENSLACG00000005824
latimeria_chalumnae ENSLACG00000007926
