poecilia_latipinna ENSPLAG00000020149
xiphophorus_couchianus ENSXCOG00000018850
cyprinodon_variegatus ENSCVAG00000014393
oryzias_latipes ENSORLG00000029515
acanthochromis_polyacanthus ENSAPOG00000012089
hucho_hucho ENSHHUG00000019270
hucho_hucho ENSHHUG00000022993
hucho_hucho ENSHHUG00000035638
xiphophorus_couchianus ENSXCOG00000011983
poecilia_mexicana ENSPMEG00000013070
haplochromis_burtoni ENSHBUG00000013607
neolamprologus_brichardi ENSNBRG00000014372
takifugu_rubripes ENSTRUG00000025051
periophthalmus_magnuspinnatus ENSPMGG00000021671
pygocentrus_nattereri ENSPNAG00000005061
monodelphis_domestica ENSMODG00000024421
vombatus_ursinus ENSVURG00010013860
castor_canadensis ENSCCNG00000007468
cavia_aperea ENSCAPG00000014743
rhinopithecus_roxellana ENSRROG00000034936
aotus_nancymaae ENSANAG00000023856
ovis_aries ENSOARG00000003030
capra_hircus ENSCHIG00000009053
bos_mutus ENSBMUG00000016283
ursus_americanus ENSUAMG00000001391
apteryx_haastii ENSAHAG00000010278
apteryx_owenii ENSAOWG00000001336
apteryx_rowi ENSARWG00000014711
anser_brachyrhynchus ENSABRG00000008118
chelonoidis_abingdonii ENSCABG00000005980
gopherus_agassizii ENSGAGG00000022143
sphenodon_punctatus ENSSPUG00000002663
erpetoichthys_calabaricus ENSECRG00000003466
phascolarctos_cinereus ENSPCIG00000033504
phascolarctos_cinereus ENSPCIG00000014583
sarcophilus_harrisii ENSSHAG00000015805
chelonoidis_abingdonii ENSCABG00000011958
amphilophus_citrinellus ENSACIG00000020308
acanthochromis_polyacanthus ENSAPOG00000011583
hucho_hucho ENSHHUG00000022599
periophthalmus_magnuspinnatus ENSPMGG00000009284
eptatretus_burgeri ENSEBUG00000002565
