dasypus_novemcinctus ENSDNOG00000040055
choloepus_hoffmanni ENSCHOG00000003345
procavia_capensis ENSPCAG00000008229
loxodonta_africana ENSLAFG00000004667
capra_hircus ENSCHIG00000007965
ovis_aries ENSOARG00000007445
bos_mutus ENSBMUG00000012051
bos_taurus ENSBTAG00000012142
bison_bison_bison ENSBBBG00000014638
tursiops_truncatus ENSTTRG00000005034
sus_scrofa ENSSSCG00000026158
vicugna_pacos ENSVPAG00000002063
ailuropoda_melanoleuca ENSAMEG00000012375
ursus_maritimus ENSUMAG00000019279
mustela_putorius_furo ENSMPUG00000017063
neovison_vison ENSNVIG00000015867
canis_lupus_dingo ENSCAFG00020009228
canis_lupus_familiaris ENSCAFG00000005548
vulpes_vulpes ENSVVUG00000025318
panthera_tigris_altaica ENSPTIG00000008602
panthera_pardus ENSPPRG00000004021
felis_catus ENSFCAG00000025747
pteropus_vampyrus ENSPVAG00000012220
myotis_lucifugus ENSMLUG00000016494
equus_asinus_asinus ENSEASG00005013316
equus_caballus ENSECAG00000010746
chinchilla_lanigera ENSCLAG00000003652
octodon_degus ENSODEG00000018158
cavia_porcellus ENSCPOG00000013890
cavia_aperea ENSCAPG00000000356
heterocephalus_glaber_female ENSHGLG00000009196
heterocephalus_glaber_male ENSHGLG00100017675
fukomys_damarensis ENSFDAG00000009907
spermophilus_dauricus ENSSDAG00000001406
ictidomys_tridecemlineatus ENSSTOG00000004870
urocitellus_parryii ENSUPAG00010022854
marmota_marmota_marmota ENSMMMG00000008426
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029740
mus_spicilegus ENSMSIG00000027593
mus_musculus ENSMUSG00000030254
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028712
mus_pahari MGP_PahariEiJ_G0022463
rattus_norvegicus ENSRNOG00000005907
meriones_unguiculatus ENSMUGG00000001383
peromyscus_maniculatus_bairdii ENSPEMG00000022129
microtus_ochrogaster ENSMOCG00000009114
cricetulus_griseus_crigri-picr ENSCGRG00015019517
cricetulus_griseus_chok1gshd ENSCGRG00001018154
cricetulus_griseus_crigri ENSCGRG00000007283
cricetulus_griseus_crigri-picr ENSCGRG00015006443
cricetulus_griseus_crigri ENSCGRG00000019636
cricetulus_griseus_chok1gshd ENSCGRG00001010209
mesocricetus_auratus ENSMAUG00000020642
nannospalax_galili ENSNGAG00000012464
jaculus_jaculus ENSJJAG00000001484
dipodomys_ordii ENSDORG00000001099
oryctolagus_cuniculus ENSOCUG00000000013
ochotona_princeps ENSOPRG00000013856
tupaia_belangeri ENSTBEG00000003201
homo_sapiens ENSG00000070950
gorilla_gorilla ENSGGOG00000008391
pan_paniscus ENSPPAG00000035797
pan_troglodytes ENSPTRG00000014583
pongo_abelii ENSPPYG00000013688
nomascus_leucogenys ENSNLEG00000003789
rhinopithecus_roxellana ENSRROG00000043948
rhinopithecus_bieti ENSRBIG00000044173
piliocolobus_tephrosceles ENSPTEG00000033472
colobus_angolensis_palliatus ENSCANG00000007308
mandrillus_leucophaeus ENSMLEG00000014306
cercocebus_atys ENSCATG00000039277
theropithecus_gelada ENSTGEG00000021299
papio_anubis ENSPANG00000008855
macaca_nemestrina ENSMNEG00000013464
macaca_mulatta ENSMMUG00000020013
