oryctolagus_cuniculus ENSOCUG00000027971
ochotona_princeps ENSOPRG00000011114
echinops_telfairi ENSETEG00000010768
bos_mutus ENSBMUG00000013663
bos_taurus ENSBTAG00000011209
bison_bison_bison ENSBBBG00000003798
capra_hircus ENSCHIG00000021455
ovis_aries ENSOARG00000004864
tursiops_truncatus ENSTTRG00000013337
sus_scrofa ENSSSCG00000006506
equus_asinus_asinus ENSEASG00005019151
equus_caballus ENSECAG00000019725
myotis_lucifugus ENSMLUG00000009918
cebus_capucinus ENSCCAG00000016634
callithrix_jacchus ENSCJAG00000043885
saimiri_boliviensis_boliviensis ENSSBOG00000035584
aotus_nancymaae ENSANAG00000020380
papio_anubis ENSPANG00000018152
cercocebus_atys ENSCATG00000038729
mandrillus_leucophaeus ENSMLEG00000034240
theropithecus_gelada ENSTGEG00000024467
macaca_fascicularis ENSMFAG00000039413
macaca_nemestrina ENSMNEG00000039442
macaca_mulatta ENSMMUG00000021312
chlorocebus_sabaeus ENSCSAG00000002072
rhinopithecus_bieti ENSRBIG00000040886
rhinopithecus_roxellana ENSRROG00000040729
piliocolobus_tephrosceles ENSPTEG00000010618
colobus_angolensis_palliatus ENSCANG00000035805
gorilla_gorilla ENSGGOG00000010111
homo_sapiens ENSG00000132718
pan_paniscus ENSPPAG00000039359
pan_troglodytes ENSPTRG00000001436
pongo_abelii ENSPPYG00000000738
nomascus_leucogenys ENSNLEG00000012224
carlito_syrichta ENSTSYG00000005546
propithecus_coquereli ENSPCOG00000017038
prolemur_simus ENSPSMG00000008872
microcebus_murinus ENSMICG00000038586
otolemur_garnettii ENSOGAG00000002258
octodon_degus ENSODEG00000010870
chinchilla_lanigera ENSCLAG00000013172
cavia_porcellus ENSCPOG00000004866
cavia_aperea ENSCAPG00000013322
heterocephalus_glaber_male ENSHGLG00100014702
heterocephalus_glaber_female ENSHGLG00000009692
fukomys_damarensis ENSFDAG00000015487
ictidomys_tridecemlineatus ENSSTOG00000004720
urocitellus_parryii ENSUPAG00010003045
spermophilus_dauricus ENSSDAG00000023452
marmota_marmota_marmota ENSMMMG00000014151
castor_canadensis ENSCCNG00000014882
dipodomys_ordii ENSDORG00000023709
peromyscus_maniculatus_bairdii ENSPEMG00000003809
microtus_ochrogaster ENSMOCG00000011975
cricetulus_griseus_chok1gshd ENSCGRG00001023824
cricetulus_griseus_crigri-picr ENSCGRG00015001338
cricetulus_griseus_crigri ENSCGRG00000003400
cricetulus_griseus_crigri-picr ENSCGRG00015000855
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026122
mus_musculus ENSMUSG00000068923
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025179
mus_spicilegus ENSMSIG00000028436
mus_pahari MGP_PahariEiJ_G0026623
rattus_norvegicus ENSRNOG00000020279
meriones_unguiculatus ENSMUGG00000008911
nannospalax_galili ENSNGAG00000013529
tupaia_belangeri ENSTBEG00000015712
procavia_capensis ENSPCAG00000015770
mesocricetus_auratus ENSMAUG00000013419
loxodonta_africana ENSLAFG00000030067
erinaceus_europaeus ENSEEUG00000005394
dasypus_novemcinctus ENSDNOG00000000368
choloepus_hoffmanni ENSCHOG00000008549
sorex_araneus ENSSARG00000013275
pteropus_vampyrus ENSPVAG00000010320
ursus_americanus ENSUAMG00000013841
ursus_maritimus ENSUMAG00000018466
ailuropoda_melanoleuca ENSAMEG00000000041
neovison_vison ENSNVIG00000020257
mustela_putorius_furo ENSMPUG00000005268
canis_lupus_dingo ENSCAFG00020006484
canis_lupus_familiaris ENSCAFG00000016917
vulpes_vulpes ENSVVUG00000005667
panthera_tigris_altaica ENSPTIG00000007723
panthera_pardus ENSPPRG00000000652
felis_catus ENSFCAG00000029675
jaculus_jaculus ENSJJAG00000010636
phascolarctos_cinereus ENSPCIG00000036428
notamacropus_eugenii ENSMEUG00000007649
monodelphis_domestica ENSMODG00000016994
sarcophilus_harrisii ENSSHAG00000012239
anolis_carolinensis ENSACAG00000002920
pogona_vitticeps ENSPVIG00000020296
notechis_scutatus ENSNSUG00000007998
salvator_merianae ENSSMRG00000011854
sphenodon_punctatus ENSSPUG00000015854
anser_brachyrhynchus ENSABRG00000020104
anas_platyrhynchos_platyrhynchos ENSAPLG00000014677
meleagris_gallopavo ENSMGAG00000000792
gallus_gallus ENSGALG00000014646
coturnix_japonica ENSCJPG00005015080
numida_meleagris ENSNMEG00000006943
cyanistes_caeruleus ENSCCEG00000007965
parus_major ENSPMJG00000009343
ficedula_albicollis ENSFALG00000002759
taeniopygia_guttata ENSTGUG00000017412
lonchura_striata_domestica ENSLSDG00000015931
serinus_canaria ENSSCAG00000007646
junco_hyemalis ENSJHYG00000009848
lepidothrix_coronata ENSLCOG00000007133
manacus_vitellinus ENSMVIG00005003304
melopsittacus_undulatus ENSMUNG00000006037
calidris_pygmaea ENSCPGG00000010348
calidris_pugnax ENSCPUG00000017031
apteryx_owenii ENSAOWG00000018291
apteryx_rowi ENSARWG00000004328
apteryx_haastii ENSAHAG00000019688
dromaius_novaehollandiae ENSDNVG00000008854
nothoprocta_perdicaria ENSNPEG00000002648
manacus_vitellinus ENSMVIG00005015516
crocodylus_porosus ENSCPRG00005004624
gopherus_agassizii ENSGAGG00000022814
gopherus_agassizii ENSGAGG00000022816
chelonoidis_abingdonii ENSCABG00000019409
chrysemys_picta_bellii ENSCPBG00000025720
pelodiscus_sinensis ENSPSIG00000007838
latimeria_chalumnae ENSLACG00000004137
labrus_bergylta ENSLBEG00000010585
gasterosteus_aculeatus ENSGACG00000003136
seriola_dumerili ENSSDUG00000020185
seriola_lalandi_dorsalis ENSSLDG00000016074
scophthalmus_maximus ENSSMAG00000018629
tetraodon_nigroviridis ENSTNIG00000011818
takifugu_rubripes ENSTRUG00000012851
mola_mola ENSMMOG00000010838
mola_mola ENSMMOG00000017599
cynoglossus_semilaevis ENSCSEG00000001325
fundulus_heteroclitus ENSFHEG00000001028
cyprinodon_variegatus ENSCVAG00000009417
xiphophorus_couchianus ENSXCOG00000020731
xiphophorus_maculatus ENSXMAG00000005099
gambusia_affinis ENSGAFG00000014681
poecilia_formosa ENSPFOG00000003594
poecilia_mexicana ENSPMEG00000002913
poecilia_latipinna ENSPLAG00000008922
poecilia_reticulata ENSPREG00000016832
kryptolebias_marmoratus ENSKMAG00000021179
oryzias_latipes ENSORLG00000030299
oryzias_latipes ENSORLG00020010330
oryzias_latipes_asm223469v1 ENSORLG00015016124
oryzias_melastigma ENSOMEG00000005331
astatotilapia_calliptera ENSACLG00000012350
maylandia_zebra ENSMZEG00005017112
pundamilia_nyererei ENSPNYG00000016202
haplochromis_burtoni ENSHBUG00000013876
neolamprologus_brichardi ENSNBRG00000015601
oreochromis_niloticus ENSONIG00000002159
amphilophus_citrinellus ENSACIG00000015154
amphiprion_ocellaris ENSAOCG00000001681
amphiprion_percula ENSAPEG00000013316
acanthochromis_polyacanthus ENSAPOG00000003800
stegastes_partitus ENSSPAG00000003382
monopterus_albus ENSMALG00000015945
mastacembelus_armatus ENSMAMG00000017412
anabas_testudineus ENSATEG00000018412
hippocampus_comes ENSHCOG00000010472
periophthalmus_magnuspinnatus ENSPMGG00000009635
gadus_morhua ENSGMOG00000004631
esox_lucius ENSELUG00000007906
astyanax_mexicanus ENSAMXG00000038517
pygocentrus_nattereri ENSPNAG00000004589
ictalurus_punctatus ENSIPUG00000004310
danio_rerio ENSDARG00000056105
pygocentrus_nattereri ENSPNAG00000016348
astyanax_mexicanus ENSAMXG00000017261
ictalurus_punctatus ENSIPUG00000018541
danio_rerio ENSDARG00000057913
esox_lucius ENSELUG00000015771
paramormyrops_kingsleyae ENSPKIG00000014143
scleropages_formosus ENSSFOG00015010261
scleropages_formosus ENSSFOG00015009728
paramormyrops_kingsleyae ENSPKIG00000006924
lepisosteus_oculatus ENSLOCG00000006943
