macaca_fascicularis ENSMFAG00000024169
macaca_nemestrina ENSMNEG00000020052
macaca_mulatta ENSMMUG00000015706
cercocebus_atys ENSCATG00000022780
mandrillus_leucophaeus ENSMLEG00000026250
theropithecus_gelada ENSTGEG00000022122
papio_anubis ENSPANG00000015250
chlorocebus_sabaeus ENSCSAG00000019477
piliocolobus_tephrosceles ENSPTEG00000022326
homo_sapiens ENSG00000198889
gorilla_gorilla ENSGGOG00000016198
pan_troglodytes ENSPTRG00000043960
pan_paniscus ENSPPAG00000025645
pongo_abelii ENSPPYG00000020700
nomascus_leucogenys ENSNLEG00000015176
chlorocebus_sabaeus ENSCSAG00000018327
callithrix_jacchus ENSCJAG00000022483
prolemur_simus ENSPSMG00000001674
