spermophilus_dauricus ENSSDAG00000023028
ictidomys_tridecemlineatus ENSSTOG00000029293
urocitellus_parryii ENSUPAG00010014745
marmota_marmota_marmota ENSMMMG00000021725
cavia_porcellus ENSCPOG00000024508
cavia_aperea ENSCAPG00000008509
chinchilla_lanigera ENSCLAG00000001993
octodon_degus ENSODEG00000016690
heterocephalus_glaber_female ENSHGLG00000010646
heterocephalus_glaber_male ENSHGLG00100016075
fukomys_damarensis ENSFDAG00000004100
castor_canadensis ENSCCNG00000020404
dipodomys_ordii ENSDORG00000028399
meriones_unguiculatus ENSMUGG00000000227
meriones_unguiculatus ENSMUGG00000000643
mus_spicilegus ENSMSIG00000016198
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023889
mus_musculus ENSMUSG00000018821
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022968
mus_pahari MGP_PahariEiJ_G0014458
rattus_norvegicus ENSRNOG00000014828
cricetulus_griseus_crigri-picr ENSCGRG00015024592
cricetulus_griseus_chok1gshd ENSCGRG00001003238
cricetulus_griseus_crigri ENSCGRG00000016108
mesocricetus_auratus ENSMAUG00000020844
peromyscus_maniculatus_bairdii ENSPEMG00000011234
microtus_ochrogaster ENSMOCG00000012593
nannospalax_galili ENSNGAG00000020134
jaculus_jaculus ENSJJAG00000021703
canis_lupus_familiaris ENSCAFG00000025349
canis_lupus_dingo ENSCAFG00020006100
prolemur_simus ENSPSMG00000009076
microcebus_murinus ENSMICG00000030042
propithecus_coquereli ENSPCOG00000021859
otolemur_garnettii ENSOGAG00000024961
rhinopithecus_bieti ENSRBIG00000028956
rhinopithecus_roxellana ENSRROG00000042798
colobus_angolensis_palliatus ENSCANG00000019545
piliocolobus_tephrosceles ENSPTEG00000030294
macaca_fascicularis ENSMFAG00000043548
macaca_nemestrina ENSMNEG00000032294
mandrillus_leucophaeus ENSMLEG00000031158
papio_anubis ENSPANG00000021293
cercocebus_atys ENSCATG00000036178
theropithecus_gelada ENSTGEG00000015994
chlorocebus_sabaeus ENSCSAG00000005840
gorilla_gorilla ENSGGOG00000015256
homo_sapiens ENSG00000119986
pan_paniscus ENSPPAG00000033222
pan_troglodytes ENSPTRG00000002816
pongo_abelii ENSPPYG00000002539
nomascus_leucogenys ENSNLEG00000014255
cebus_capucinus ENSCCAG00000023548
callithrix_jacchus ENSCJAG00000047895
aotus_nancymaae ENSANAG00000029881
oryctolagus_cuniculus ENSOCUG00000007821
carlito_syrichta ENSTSYG00000027280
neovison_vison ENSNVIG00000019986
mustela_putorius_furo ENSMPUG00000017034
vulpes_vulpes ENSVVUG00000023255
canis_lupus_dingo ENSCAFG00020018315
ursus_maritimus ENSUMAG00000022522
ursus_americanus ENSUAMG00000010293
ailuropoda_melanoleuca ENSAMEG00000000096
panthera_pardus ENSPPRG00000007713
panthera_tigris_altaica ENSPTIG00000017197
felis_catus ENSFCAG00000027156
equus_asinus_asinus ENSEASG00005008664
equus_caballus ENSECAG00000008293
myotis_lucifugus ENSMLUG00000028157
bos_taurus ENSBTAG00000023947
bos_mutus ENSBMUG00000019579
bison_bison_bison ENSBBBG00000007237
ovis_aries ENSOARG00000011185
capra_hircus ENSCHIG00000014474
sus_scrofa ENSSSCG00000036824
loxodonta_africana ENSLAFG00000022434
dasypus_novemcinctus ENSDNOG00000044043
monodelphis_domestica ENSMODG00000003917
monodelphis_domestica ENSMODG00000024183
phascolarctos_cinereus ENSPCIG00000033102
sarcophilus_harrisii ENSSHAG00000018029
pogona_vitticeps ENSPVIG00000004152
anolis_carolinensis ENSACAG00000027657
notechis_scutatus ENSNSUG00000007386
salvator_merianae ENSSMRG00000021689
sphenodon_punctatus ENSSPUG00000012899
gopherus_agassizii ENSGAGG00000007439
chelonoidis_abingdonii ENSCABG00000019553
chrysemys_picta_bellii ENSCPBG00000012176
lonchura_striata_domestica ENSLSDG00000005493
lepidothrix_coronata ENSLCOG00000016509
calidris_pygmaea ENSCPGG00000017681
numida_meleagris ENSNMEG00000013781
xenopus_tropicalis ENSXETG00000013519
danio_rerio ENSDARG00000096214
