mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015314
mus_spicilegus ENSMSIG00000022702
mus_musculus ENSMUSG00000097704
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016123
mus_pahari MGP_PahariEiJ_G0030731
meriones_unguiculatus ENSMUGG00000015165
cricetulus_griseus_crigri-picr ENSCGRG00015024704
cricetulus_griseus_chok1gshd ENSCGRG00001016329
peromyscus_maniculatus_bairdii ENSPEMG00000028213
spermophilus_dauricus ENSSDAG00000007785
urocitellus_parryii ENSUPAG00010021976
marmota_marmota_marmota ENSMMMG00000015939
castor_canadensis ENSCCNG00000031266
