capra_hircus ENSCHIG00000010254
ovis_aries ENSOARG00000005008
bos_mutus ENSBMUG00000026835
bos_taurus ENSBTAG00000008513
bison_bison_bison ENSBBBG00000003457
tursiops_truncatus ENSTTRG00000015640
sus_scrofa ENSSSCG00000015638
vicugna_pacos ENSVPAG00000007690
equus_caballus ENSECAG00000013660
equus_asinus_asinus ENSEASG00005005718
pteropus_vampyrus ENSPVAG00000000726
myotis_lucifugus ENSMLUG00000010344
ursus_maritimus ENSUMAG00000003974
ursus_americanus ENSUAMG00000022795
ailuropoda_melanoleuca ENSAMEG00000012701
mustela_putorius_furo ENSMPUG00000012024
neovison_vison ENSNVIG00000018280
canis_lupus_familiaris ENSCAFG00000030013
canis_lupus_dingo ENSCAFG00020005111
vulpes_vulpes ENSVVUG00000013572
panthera_pardus ENSPPRG00000012096
panthera_tigris_altaica ENSPTIG00000010879
felis_catus ENSFCAG00000035120
felis_catus ENSFCAG00000041315
pan_troglodytes ENSPTRG00000023332
pan_paniscus ENSPPAG00000025324
homo_sapiens ENSG00000263961
gorilla_gorilla ENSGGOG00000013062
pongo_abelii ENSPPYG00000000293
nomascus_leucogenys ENSNLEG00000000445
macaca_fascicularis ENSMFAG00000045307
macaca_mulatta ENSMMUG00000002254
macaca_nemestrina ENSMNEG00000031220
chlorocebus_sabaeus ENSCSAG00000014880
theropithecus_gelada ENSTGEG00000013402
mandrillus_leucophaeus ENSMLEG00000016942
cercocebus_atys ENSCATG00000039273
papio_anubis ENSPANG00000018822
rhinopithecus_bieti ENSRBIG00000038128
rhinopithecus_roxellana ENSRROG00000033672
piliocolobus_tephrosceles ENSPTEG00000033713
colobus_angolensis_palliatus ENSCANG00000022509
saimiri_boliviensis_boliviensis ENSSBOG00000031340
cebus_capucinus ENSCCAG00000026804
callithrix_jacchus ENSCJAG00000018766
aotus_nancymaae ENSANAG00000025723
carlito_syrichta ENSTSYG00000003718
propithecus_coquereli ENSPCOG00000027529
prolemur_simus ENSPSMG00000007098
microcebus_murinus ENSMICG00000041630
otolemur_garnettii ENSOGAG00000002165
chinchilla_lanigera ENSCLAG00000013012
cavia_porcellus ENSCPOG00000038577
marmota_marmota_marmota ENSMMMG00000003734
urocitellus_parryii ENSUPAG00010014715
castor_canadensis ENSCCNG00000019595
dasypus_novemcinctus ENSDNOG00000046040
loxodonta_africana ENSLAFG00000012129
procavia_capensis ENSPCAG00000014298
echinops_telfairi ENSETEG00000011638
phascolarctos_cinereus ENSPCIG00000030161
sarcophilus_harrisii ENSSHAG00000016917
