octodon_degus ENSODEG00000015786
cavia_aperea ENSCAPG00000013492
spermophilus_dauricus ENSSDAG00000010534
marmota_marmota ENSMMMG00000011411
mus_caroli MGP_CAROLIEiJ_G0027857
rattus_norvegicus ENSRNOG00000059116
nannospalax_galili ENSNGAG00000018777
castor_canadensis ENSCCNG00000017636
oryctolagus_cuniculus ENSOCUG00000027305
pan_troglodytes ENSPTRG00000042965
pan_troglodytes ENSPTRG00000052674
gorilla_gorilla ENSGGOG00000023938
pongo_abelii ENSPPYG00000017452
carlito_syrichta ENSTSYG00000032094
otolemur_garnettii ENSOGAG00000031175
panthera_pardus ENSPPRG00000023103
panthera_tigris ENSPTIG00000021707
canis_lupus ENSCAFG00020013178
vulpes_vulpes ENSVVUG00000023688
mustela_putorius ENSMPUG00000015930
myotis_lucifugus ENSMLUG00000025790
dasypus_novemcinctus ENSDNOG00000032548
ornithorhynchus_anatinus ENSOANG00000002865
ficedula_albicollis ENSFALG00000009454
cyanistes_caeruleus ENSCCEG00000004821
serinus_canaria ENSSCAG00000006009
melopsittacus_undulatus ENSMUNG00000010023
anas_platyrhynchos ENSAPLG00000028994
anser_brachyrhynchus ENSABRG00000001096
gallus_gallus ENSGALG00000021636
dromaius_novaehollandiae ENSDNVG00000006926
apteryx_rowi ENSARWG00000005171
gopherus_agassizii ENSGAGG00000020810
chelonoidis_abingdonii ENSCABG00000001719
salvator_merianae ENSSMRG00000017906
notechis_scutatus ENSNSUG00000008048
sphenodon_punctatus ENSSPUG00000010681
scleropages_formosus ENSSFOG00015003840
paramormyrops_kingsleyae ENSPKIG00000010559
pygocentrus_nattereri ENSPNAG00000009932
astyanax_mexicanus ENSAMXG00000034600
electrophorus_electricus ENSEEEG00000024351
ictalurus_punctatus ENSIPUG00000004368
danio_rerio ENSDARG00000043134
clupea_harengus ENSCHAG00000004793
esox_lucius ENSELUG00000009668
hucho_hucho ENSHHUG00000002033
xiphophorus_maculatus ENSXMAG00000028468
xiphophorus_couchianus ENSXCOG00000012592
gambusia_affinis ENSGAFG00000012623
poecilia_latipinna ENSPLAG00000008097
poecilia_formosa ENSPFOG00000011475
poecilia_reticulata ENSPREG00000001528
poecilia_mexicana ENSPMEG00000009314
cyprinodon_variegatus ENSCVAG00000004324
fundulus_heteroclitus ENSFHEG00000015941
kryptolebias_marmoratus ENSKMAG00000020657
oryzias_latipes ENSORLG00020003517
oryzias_latipes ENSORLG00000006404
oryzias_latipes ENSORLG00015006044
oryzias_melastigma ENSOMEG00000012624
acanthochromis_polyacanthus ENSAPOG00000001889
amphiprion_percula ENSAPEG00000024558
stegastes_partitus ENSSPAG00000008975
parambassis_ranga ENSPRNG00000002507
pundamilia_nyererei ENSPNYG00000005815
maylandia_zebra ENSMZEG00005016586
astatotilapia_calliptera ENSACLG00000016849
haplochromis_burtoni ENSHBUG00000002182
neolamprologus_brichardi ENSNBRG00000004825
amphilophus_citrinellus ENSACIG00000014669
gouania_willdenowi ENSGWIG00000010917
scophthalmus_maximus ENSSMAG00000013100
cynoglossus_semilaevis ENSCSEG00000017266
seriola_dumerili ENSSDUG00000018826
seriola_lalandi ENSSLDG00000020434
anabas_testudineus ENSATEG00000014052
mastacembelus_armatus ENSMAMG00000011934
labrus_bergylta ENSLBEG00000021595
monopterus_albus ENSMALG00000012636
hippocampus_comes ENSHCOG00000007808
mola_mola ENSMMOG00000012556
takifugu_rubripes ENSTRUG00000008546
gasterosteus_aculeatus ENSGACG00000009936
tetraodon_nigroviridis ENSTNIG00000007721
gadus_morhua ENSGMOG00000009034
erpetoichthys_calabaricus ENSECRG00000007871
callorhinchus_milii ENSCMIG00000011685
eptatretus_burgeri ENSEBUG00000013897
ciona_savignyi ENSCSAVG00000006939
ciona_intestinalis ENSCING00000004246
