xiphophorus_couchianus ENSXCOG00000012739
poecilia_reticulata ENSPREG00000022297
poecilia_mexicana ENSPMEG00000008901
poecilia_latipinna ENSPLAG00000015512
xiphophorus_maculatus ENSXMAG00000021916
gambusia_affinis ENSGAFG00000011367
cyprinodon_variegatus ENSCVAG00000006229
kryptolebias_marmoratus ENSKMAG00000009716
gouania_willdenowi ENSGWIG00000006156
amphiprion_ocellaris ENSAOCG00000006003
cottoperca_gobio ENSCGOG00000017575
larimichthys_crocea ENSLCRG00005012383
takifugu_rubripes ENSTRUG00000020529
tetraodon_nigroviridis ENSTNIG00000007782
scophthalmus_maximus ENSSMAG00000015609
seriola_lalandi ENSSLDG00000011988
seriola_lalandi ENSSLDG00000006694
lates_calcarifer ENSLCAG00010008711
parambassis_ranga ENSPRNG00000018962
mola_mola ENSMMOG00000012119
monopterus_albus ENSMALG00000006602
anabas_testudineus ENSATEG00000011413
stegastes_partitus ENSSPAG00000004055
mastacembelus_armatus ENSMAMG00000010115
maylandia_zebra ENSMZEG00005015819
pundamilia_nyererei ENSPNYG00000017601
neolamprologus_brichardi ENSNBRG00000007546
haplochromis_burtoni ENSHBUG00000017723
seriola_dumerili ENSSDUG00000021045
labrus_bergylta ENSLBEG00000019654
gadus_morhua ENSGMOG00000011870
esox_lucius ENSELUG00000015501
astyanax_mexicanus ENSAMXG00000038900
astyanax_mexicanus ENSAMXG00005007596
pygocentrus_nattereri ENSPNAG00000008399
electrophorus_electricus ENSEEEG00000016159
paramormyrops_kingsleyae ENSPKIG00000005201
lepisosteus_oculatus ENSLOCG00000002254
erpetoichthys_calabaricus ENSECRG00000011331
chelonoidis_abingdonii ENSCABG00000013485
gopherus_agassizii ENSGAGG00000000075
chrysemys_picta ENSCPBG00000011376
crocodylus_porosus ENSCPRG00005000897
pogona_vitticeps ENSPVIG00000015148
anolis_carolinensis ENSACAG00000000215
notechis_scutatus ENSNSUG00000004337
salvator_merianae ENSSMRG00000008993
sphenodon_punctatus ENSSPUG00000001343
dipodomys_ordii ENSDORG00000023533
octodon_degus ENSODEG00000004880
oryctolagus_cuniculus ENSOCUG00000003044
macaca_nemestrina ENSMNEG00000031653
theropithecus_gelada ENSTGEG00000027529
colobus_angolensis ENSCANG00000042450
cercocebus_atys ENSCATG00000042755
chlorocebus_sabaeus ENSCSAG00000002379
macaca_mulatta ENSMMUG00000008480
macaca_fascicularis ENSMFAG00000031344
papio_anubis ENSPANG00000018863
piliocolobus_tephrosceles ENSPTEG00000006762
rhinopithecus_bieti ENSRBIG00000025734
rhinopithecus_roxellana ENSRROG00000031693
mandrillus_leucophaeus ENSMLEG00000028711
pan_troglodytes ENSPTRG00000004426
pan_paniscus ENSPPAG00000036255
homo_sapiens ENSG00000064199
gorilla_gorilla ENSGGOG00000003757
pongo_abelii ENSPPYG00000004017
nomascus_leucogenys ENSNLEG00000007436
cebus_capucinus ENSCCAG00000012940
callithrix_jacchus ENSCJAG00000040807
saimiri_boliviensis ENSSBOG00000018929
aotus_nancymaae ENSANAG00000029244
carlito_syrichta ENSTSYG00000008379
microcebus_murinus ENSMICG00000046417
propithecus_coquereli ENSPCOG00000024364
prolemur_simus ENSPSMG00000001864
otolemur_garnettii ENSOGAG00000015702
mus_spicilegus ENSMSIG00000015289
mus_spretus MGP_SPRETEiJ_G0033113
mus_musculus ENSMUSG00000001948
mus_caroli MGP_CAROLIEiJ_G0031987
mus_pahari MGP_PahariEiJ_G0014851
rattus_norvegicus ENSRNOG00000010934
meriones_unguiculatus ENSMUGG00000006638
cricetulus_griseus ENSCGRG00015009555
cricetulus_griseus ENSCGRG00001023902
cricetulus_griseus ENSCGRG00000003407
mesocricetus_auratus ENSMAUG00000005009
peromyscus_maniculatus ENSPEMG00000009307
microtus_ochrogaster ENSMOCG00000014358
nannospalax_galili ENSNGAG00000012396
jaculus_jaculus ENSJJAG00000022651
urocitellus_parryii ENSUPAG00010023792
spermophilus_dauricus ENSSDAG00000003203
marmota_marmota ENSMMMG00000000199
ictidomys_tridecemlineatus ENSSTOG00000011065
castor_canadensis ENSCCNG00000016030
heterocephalus_glaber ENSHGLG00000003025
heterocephalus_glaber ENSHGLG00100003107
fukomys_damarensis ENSFDAG00000013229
cavia_aperea ENSCAPG00000006835
cavia_porcellus ENSCPOG00000007896
chinchilla_lanigera ENSCLAG00000016272
loxodonta_africana ENSLAFG00000016264
echinops_telfairi ENSETEG00000007789
ursus_maritimus ENSUMAG00000001382
ursus_americanus ENSUAMG00000025046
ailuropoda_melanoleuca ENSAMEG00000000754
neovison_vison ENSNVIG00000020714
mustela_putorius ENSMPUG00000006071
canis_lupus ENSCAFG00020011044
canis_lupus ENSCAFG00000032261
vulpes_vulpes ENSVVUG00000020537
panthera_pardus ENSPPRG00000021743
panthera_tigris ENSPTIG00000017172
felis_catus ENSFCAG00000032176
pteropus_vampyrus ENSPVAG00000010692
myotis_lucifugus ENSMLUG00000001900
bos_indicus ENSBIXG00000028897
bos_indicus ENSBIXG00005025948
bos_taurus ENSBTAG00000033464
bos_mutus ENSBMUG00000017972
bison_bison ENSBBBG00000011433
ovis_aries ENSOARG00000010576
capra_hircus ENSCHIG00000024285
vicugna_pacos ENSVPAG00000004860
tursiops_truncatus ENSTTRG00000013210
sus_scrofa ENSSSCG00000015197
equus_asinus ENSEASG00005002288
equus_caballus ENSECAG00000020689
sorex_araneus ENSSARG00000014521
tupaia_belangeri ENSTBEG00000014511
dasypus_novemcinctus ENSDNOG00000036908
choloepus_hoffmanni ENSCHOG00000012824
phascolarctos_cinereus ENSPCIG00000018969
notamacropus_eugenii ENSMEUG00000008341
sarcophilus_harrisii ENSSHAG00000014861
monodelphis_domestica ENSMODG00000003723
ornithorhynchus_anatinus ENSOANG00000003468
ficedula_albicollis ENSFALG00000005228
callorhinchus_milii ENSCMIG00000005509
