petromyzon_marinus ENSPMAG00000003089
eptatretus_burgeri ENSEBUG00000006200
amphiprion_percula ENSAPEG00000024811
amphiprion_ocellaris ENSAOCG00000006217
acanthochromis_polyacanthus ENSAPOG00000014041
stegastes_partitus ENSSPAG00000018668
astatotilapia_calliptera ENSACLG00000015399
maylandia_zebra ENSMZEG00005024564
pundamilia_nyererei ENSPNYG00000018678
haplochromis_burtoni ENSHBUG00000009932
neolamprologus_brichardi ENSNBRG00000006902
oreochromis_niloticus ENSONIG00000009389
amphilophus_citrinellus ENSACIG00000019822
poecilia_formosa ENSPFOG00000009741
poecilia_mexicana ENSPMEG00000021710
poecilia_latipinna ENSPLAG00000020242
poecilia_reticulata ENSPREG00000017116
xiphophorus_maculatus ENSXMAG00000016426
xiphophorus_couchianus ENSXCOG00000016102
gambusia_affinis ENSGAFG00000021474
fundulus_heteroclitus ENSFHEG00000008435
cyprinodon_variegatus ENSCVAG00000021015
kryptolebias_marmoratus ENSKMAG00000003221
mastacembelus_armatus ENSMAMG00000017113
monopterus_albus ENSMALG00000021587
anabas_testudineus ENSATEG00000004107
seriola_dumerili ENSSDUG00000016069
seriola_lalandi_dorsalis ENSSLDG00000021277
scophthalmus_maximus ENSSMAG00000017984
cynoglossus_semilaevis ENSCSEG00000011483
labrus_bergylta ENSLBEG00000017500
gasterosteus_aculeatus ENSGACG00000017295
takifugu_rubripes ENSTRUG00000012253
tetraodon_nigroviridis ENSTNIG00000014839
mola_mola ENSMMOG00000011688
oryzias_latipes ENSORLG00000017682
oryzias_latipes ENSORLG00020006880
oryzias_latipes_asm223469v1 ENSORLG00015006698
oryzias_melastigma ENSOMEG00000000224
hippocampus_comes ENSHCOG00000017346
periophthalmus_magnuspinnatus ENSPMGG00000018643
gadus_morhua ENSGMOG00000011338
esox_lucius ENSELUG00000024020
pygocentrus_nattereri ENSPNAG00000012527
astyanax_mexicanus ENSAMXG00000012420
ictalurus_punctatus ENSIPUG00000010422
danio_rerio ENSDARG00000017180
paramormyrops_kingsleyae ENSPKIG00000006684
scleropages_formosus ENSSFOG00015021114
lepisosteus_oculatus ENSLOCG00000001532
castor_canadensis ENSCCNG00000023552
dipodomys_ordii ENSDORG00000009593
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022918
mus_musculus ENSMUSG00000024413
mus_spicilegus ENSMSIG00000013790
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022003
