salvator_merianae ENSSMRG00000004734
pogona_vitticeps ENSPVIG00000011861
sphenodon_punctatus ENSSPUG00000015695
apteryx_owenii ENSAOWG00000009187
apteryx_haastii ENSAHAG00000015499
apteryx_rowi ENSARWG00000018696
dromaius_novaehollandiae ENSDNVG00000019173
nothoprocta_perdicaria ENSNPEG00000012917
anser_brachyrhynchus ENSABRG00000019288
anas_platyrhynchos_platyrhynchos ENSAPLG00000007081
gallus_gallus ENSGALG00000008861
meleagris_gallopavo ENSMGAG00000001851
coturnix_japonica ENSCJPG00005015979
numida_meleagris ENSNMEG00000001257
calidris_pygmaea ENSCPGG00000017068
calidris_pugnax ENSCPUG00000019056
melopsittacus_undulatus ENSMUNG00000001901
cyanistes_caeruleus ENSCCEG00000023146
parus_major ENSPMJG00000014505
taeniopygia_guttata ENSTGUG00000002617
lonchura_striata_domestica ENSLSDG00000014931
serinus_canaria ENSSCAG00000010264
ficedula_albicollis ENSFALG00000005412
junco_hyemalis ENSJHYG00000016576
zonotrichia_albicollis ENSZALG00000010597
manacus_vitellinus ENSMVIG00005009144
lepidothrix_coronata ENSLCOG00000014760
crocodylus_porosus ENSCPRG00005011808
chelonoidis_abingdonii ENSCABG00000015723
gopherus_agassizii ENSGAGG00000009951
chrysemys_picta_bellii ENSCPBG00000019224
pelodiscus_sinensis ENSPSIG00000010819
notamacropus_eugenii ENSMEUG00000003338
phascolarctos_cinereus ENSPCIG00000002337
sarcophilus_harrisii ENSSHAG00000001473
monodelphis_domestica ENSMODG00000004402
equus_caballus ENSECAG00000012440
equus_asinus_asinus ENSEASG00005022672
sorex_araneus ENSSARG00000013615
pteropus_vampyrus ENSPVAG00000004711
myotis_lucifugus ENSMLUG00000015325
erinaceus_europaeus ENSEEUG00000011237
capra_hircus ENSCHIG00000004355
ovis_aries ENSOARG00000006287
bison_bison_bison ENSBBBG00000007877
bos_mutus ENSBMUG00000023442
bos_taurus ENSBTAG00000044155
tursiops_truncatus ENSTTRG00000000897
sus_scrofa ENSSSCG00000021173
ursus_americanus ENSUAMG00000018216
ursus_maritimus ENSUMAG00000019387
ailuropoda_melanoleuca ENSAMEG00000013031
neovison_vison ENSNVIG00000009360
mustela_putorius_furo ENSMPUG00000007897
canis_lupus_familiaris ENSCAFG00000003242
canis_lupus_dingo ENSCAFG00020022771
vulpes_vulpes ENSVVUG00000003260
panthera_tigris_altaica ENSPTIG00000013820
panthera_pardus ENSPPRG00000016691
felis_catus ENSFCAG00000024079
castor_canadensis ENSCCNG00000021900
dipodomys_ordii ENSDORG00000003065
mus_spicilegus ENSMSIG00000013135
mus_musculus ENSMUSG00000028392
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027045
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026081
mus_pahari MGP_PahariEiJ_G0028416
rattus_norvegicus ENSRNOG00000015105
meriones_unguiculatus ENSMUGG00000012373
cricetulus_griseus_chok1gshd ENSCGRG00001023790
cricetulus_griseus_crigri-picr ENSCGRG00015014603
cricetulus_griseus_crigri ENSCGRG00000008949
peromyscus_maniculatus_bairdii ENSPEMG00000022792
microtus_ochrogaster ENSMOCG00000022879
nannospalax_galili ENSNGAG00000020556
jaculus_jaculus ENSJJAG00000020292
urocitellus_parryii ENSUPAG00010015543
spermophilus_dauricus ENSSDAG00000009516
ictidomys_tridecemlineatus ENSSTOG00000027495
heterocephalus_glaber_male ENSHGLG00100005906
heterocephalus_glaber_female ENSHGLG00000016996
fukomys_damarensis ENSFDAG00000010808
octodon_degus ENSODEG00000017950
cavia_porcellus ENSCPOG00000004379
chinchilla_lanigera ENSCLAG00000010059
ochotona_princeps ENSOPRG00000005367
tupaia_belangeri ENSTBEG00000003560
gorilla_gorilla ENSGGOG00000006968
homo_sapiens ENSG00000119411
pan_paniscus ENSPPAG00000029028
pan_troglodytes ENSPTRG00000021277
pongo_abelii ENSPPYG00000019519
nomascus_leucogenys ENSNLEG00000016691
rhinopithecus_bieti ENSRBIG00000037398
rhinopithecus_roxellana ENSRROG00000021157
colobus_angolensis_palliatus ENSCANG00000032485
piliocolobus_tephrosceles ENSPTEG00000034243
macaca_mulatta ENSMMUG00000005851
macaca_nemestrina ENSMNEG00000038841
macaca_fascicularis ENSMFAG00000002569
cercocebus_atys ENSCATG00000035583
mandrillus_leucophaeus ENSMLEG00000032225
theropithecus_gelada ENSTGEG00000028254
papio_anubis ENSPANG00000025778
chlorocebus_sabaeus ENSCSAG00000012465
callithrix_jacchus ENSCJAG00000041274
saimiri_boliviensis_boliviensis ENSSBOG00000032543
cebus_capucinus ENSCCAG00000034823
aotus_nancymaae ENSANAG00000020528
carlito_syrichta ENSTSYG00000027451
propithecus_coquereli ENSPCOG00000018148
microcebus_murinus ENSMICG00000015064
prolemur_simus ENSPSMG00000018006
otolemur_garnettii ENSOGAG00000008131
loxodonta_africana ENSLAFG00000007663
procavia_capensis ENSPCAG00000016823
echinops_telfairi ENSETEG00000007164
dasypus_novemcinctus ENSDNOG00000034105
choloepus_hoffmanni ENSCHOG00000012334
ornithorhynchus_anatinus ENSOANG00000009715
xenopus_tropicalis ENSXETG00000031691
latimeria_chalumnae ENSLACG00000016615
lepisosteus_oculatus ENSLOCG00000000940
