dromaius_novaehollandiae ENSDNVG00000000520
apteryx_rowi ENSARWG00000004409
anas_platyrhynchos_platyrhynchos ENSAPLG00000007414
anser_brachyrhynchus ENSABRG00000010671
gallus_gallus ENSGALG00000042151
numida_meleagris ENSNMEG00000020681
cyanistes_caeruleus ENSCCEG00000004478
parus_major ENSPMJG00000004635
serinus_canaria ENSSCAG00000002804
manacus_vitellinus ENSMVIG00005009167
crocodylus_porosus ENSCPRG00005010030
chrysemys_picta_bellii ENSCPBG00000014460
equus_caballus ENSECAG00000030531
equus_caballus ENSECAG00000034708
equus_caballus ENSECAG00000033045
equus_caballus ENSECAG00000034767
sus_scrofa ENSSSCG00000023546
peromyscus_maniculatus_bairdii ENSPEMG00000015852
microtus_ochrogaster ENSMOCG00000017647
cricetulus_griseus_crigri ENSCGRG00000000167
cricetulus_griseus_crigri-picr ENSCGRG00015019587
cricetulus_griseus_chok1gshd ENSCGRG00001018464
mesocricetus_auratus ENSMAUG00000012995
mus_spicilegus ENSMSIG00000025461
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034522
mus_musculus ENSMUSG00000025528
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033356
mus_pahari MGP_PahariEiJ_G0031896
rattus_norvegicus ENSRNOG00000022411
meriones_unguiculatus ENSMUGG00000020815
jaculus_jaculus ENSJJAG00000009900
heterocephalus_glaber_female ENSHGLG00000003516
heterocephalus_glaber_male ENSHGLG00100011547
fukomys_damarensis ENSFDAG00000015742
octodon_degus ENSODEG00000001004
chinchilla_lanigera ENSCLAG00000005441
ictidomys_tridecemlineatus ENSSTOG00000029673
urocitellus_parryii ENSUPAG00010017385
spermophilus_dauricus ENSSDAG00000005823
xenopus_tropicalis ENSXETG00000026223
lepisosteus_oculatus ENSLOCG00000014894
