heterocephalus_glaber_female ENSHGLG00000018005
heterocephalus_glaber_male ENSHGLG00100012986
fukomys_damarensis ENSFDAG00000017649
chinchilla_lanigera ENSCLAG00000002638
octodon_degus ENSODEG00000014284
cavia_porcellus ENSCPOG00000000396
cavia_aperea ENSCAPG00000009082
urocitellus_parryii ENSUPAG00010017907
spermophilus_dauricus ENSSDAG00000022023
ictidomys_tridecemlineatus ENSSTOG00000005005
marmota_marmota_marmota ENSMMMG00000007008
castor_canadensis ENSCCNG00000005267
dipodomys_ordii ENSDORG00000014582
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026900
mus_spicilegus ENSMSIG00000018702
mus_musculus ENSMUSG00000028461
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025937
mus_pahari MGP_PahariEiJ_G0024082
rattus_norvegicus ENSRNOG00000017253
meriones_unguiculatus ENSMUGG00000005808
cricetulus_griseus_chok1gshd ENSCGRG00001022872
cricetulus_griseus_crigri ENSCGRG00000006317
mesocricetus_auratus ENSMAUG00000021012
peromyscus_maniculatus_bairdii ENSPEMG00000015229
microtus_ochrogaster ENSMOCG00000022392
nannospalax_galili ENSNGAG00000017156
jaculus_jaculus ENSJJAG00000016799
tupaia_belangeri ENSTBEG00000007936
microcebus_murinus ENSMICG00000042301
propithecus_coquereli ENSPCOG00000019641
otolemur_garnettii ENSOGAG00000002211
pan_paniscus ENSPPAG00000033563
pan_troglodytes ENSPTRG00000020914
gorilla_gorilla ENSGGOG00000038271
homo_sapiens ENSG00000159884
pongo_abelii ENSPPYG00000019092
nomascus_leucogenys ENSNLEG00000004365
macaca_fascicularis ENSMFAG00000039469
macaca_nemestrina ENSMNEG00000040562
macaca_mulatta ENSMMUG00000016327
theropithecus_gelada ENSTGEG00000006976
papio_anubis ENSPANG00000030455
mandrillus_leucophaeus ENSMLEG00000025806
cercocebus_atys ENSCATG00000036199
chlorocebus_sabaeus ENSCSAG00000010389
piliocolobus_tephrosceles ENSPTEG00000020167
colobus_angolensis_palliatus ENSCANG00000028945
rhinopithecus_bieti ENSRBIG00000030439
rhinopithecus_roxellana ENSRROG00000038271
cebus_capucinus ENSCCAG00000019205
callithrix_jacchus ENSCJAG00000009538
saimiri_boliviensis_boliviensis ENSSBOG00000029017
aotus_nancymaae ENSANAG00000024373
erinaceus_europaeus ENSEEUG00000003038
sorex_araneus ENSSARG00000003919
equus_asinus_asinus ENSEASG00005013971
equus_caballus ENSECAG00000009013
ovis_aries ENSOARG00000011931
capra_hircus ENSCHIG00000015321
bos_taurus ENSBTAG00000011413
bos_mutus ENSBMUG00000024046
bison_bison_bison ENSBBBG00000006885
tursiops_truncatus ENSTTRG00000011919
sus_scrofa ENSSSCG00000005313
pteropus_vampyrus ENSPVAG00000017077
myotis_lucifugus ENSMLUG00000011413
canis_lupus_familiaris ENSCAFG00000002066
canis_lupus_dingo ENSCAFG00020016627
vulpes_vulpes ENSVVUG00000024391
mustela_putorius_furo ENSMPUG00000005242
neovison_vison ENSNVIG00000016507
ursus_maritimus ENSUMAG00000006757
ursus_americanus ENSUAMG00000025213
ailuropoda_melanoleuca ENSAMEG00000009507
oryctolagus_cuniculus ENSOCUG00000010176
ochotona_princeps ENSOPRG00000012716
prolemur_simus ENSPSMG00000004602
carlito_syrichta ENSTSYG00000002420
panthera_tigris_altaica ENSPTIG00000010117
panthera_pardus ENSPPRG00000006871
felis_catus ENSFCAG00000012740
echinops_telfairi ENSETEG00000019534
echinops_telfairi ENSETEG00000000354
loxodonta_africana ENSLAFG00000021494
dasypus_novemcinctus ENSDNOG00000001579
notamacropus_eugenii ENSMEUG00000009261
