amphilophus_citrinellus ENSACIG00000012370
acanthochromis_polyacanthus ENSAPOG00000023823
seriola_lalandi ENSSLDG00000000646
cyprinodon_variegatus ENSCVAG00000001573
oryzias_latipes ENSORLG00015015295
oryzias_latipes ENSORLG00015015284
oryzias_melastigma ENSOMEG00000013328
xiphophorus_maculatus ENSXMAG00000027925
gambusia_affinis ENSGAFG00000005461
poecilia_latipinna ENSPLAG00000006844
esox_lucius ENSELUG00000002996
astyanax_mexicanus ENSAMXG00000019103
pygocentrus_nattereri ENSPNAG00000005942
ictalurus_punctatus ENSIPUG00000010940
scleropages_formosus ENSSFOG00015021447
