mustela_putorius_furo ENSMPUG00000007390
neovison_vison ENSNVIG00000020413
canis_lupus_dingo ENSCAFG00020007981
vulpes_vulpes ENSVVUG00000024599
ailuropoda_melanoleuca ENSAMEG00000009309
ailuropoda_melanoleuca ENSAMEG00000005600
ursus_maritimus ENSUMAG00000018555
ursus_maritimus ENSUMAG00000024791
ursus_americanus ENSUAMG00000005386
ursus_americanus ENSUAMG00000006272
ursus_americanus ENSUAMG00000015212
ursus_maritimus ENSUMAG00000003410
ursus_americanus ENSUAMG00000016121
bos_taurus ENSBTAG00000050265
bos_mutus ENSBMUG00000015221
ovis_aries ENSOARG00000002542
bison_bison_bison ENSBBBG00000023525
sus_scrofa ENSSSCG00000033153
sorex_araneus ENSSARG00000012655
castor_canadensis ENSCCNG00000011608
castor_canadensis ENSCCNG00000005405
mus_musculus ENSMUSG00000076822
mus_musculus ENSMUSG00000076796
mus_musculus ENSMUSG00000076855
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002351
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002348
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002349
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002227
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002226
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002225
mus_pahari MGP_PahariEiJ_G0002089
mus_pahari MGP_PahariEiJ_G0002087
mus_pahari MGP_PahariEiJ_G0002088
rattus_norvegicus ENSRNOG00000048670
rattus_norvegicus ENSRNOG00000046292
rattus_norvegicus ENSRNOG00000046976
rattus_norvegicus ENSRNOG00000060250
rattus_norvegicus ENSRNOG00000050388
meriones_unguiculatus ENSMUGG00000010711
meriones_unguiculatus ENSMUGG00000002113
cricetulus_griseus_crigri-picr ENSCGRG00015020567
peromyscus_maniculatus_bairdii ENSPEMG00000030702
spermophilus_dauricus ENSSDAG00000002456
spermophilus_dauricus ENSSDAG00000002445
urocitellus_parryii ENSUPAG00010007672
marmota_marmota_marmota ENSMMMG00000014016
marmota_marmota_marmota ENSMMMG00000014070
marmota_marmota_marmota ENSMMMG00000014102
marmota_marmota_marmota ENSMMMG00000014175
spermophilus_dauricus ENSSDAG00000018193
spermophilus_dauricus ENSSDAG00000018230
urocitellus_parryii ENSUPAG00010010182
urocitellus_parryii ENSUPAG00010006697
marmota_marmota_marmota ENSMMMG00000013987
spermophilus_dauricus ENSSDAG00000018671
spermophilus_dauricus ENSSDAG00000014917
oryctolagus_cuniculus ENSOCUG00000011093
pongo_abelii ENSPPYG00000005624
homo_sapiens ENSG00000211799
nomascus_leucogenys ENSNLEG00000034447
chlorocebus_sabaeus ENSCSAG00000016389
piliocolobus_tephrosceles ENSPTEG00000022074
carlito_syrichta ENSTSYG00000032024
prolemur_simus ENSPSMG00000012591
otolemur_garnettii ENSOGAG00000015422
tupaia_belangeri ENSTBEG00000003916
tupaia_belangeri ENSTBEG00000015844
tupaia_belangeri ENSTBEG00000004893
chlorocebus_sabaeus ENSCSAG00000016410
mandrillus_leucophaeus ENSMLEG00000043905
piliocolobus_tephrosceles ENSPTEG00000022239
rhinopithecus_roxellana ENSRROG00000034938
homo_sapiens ENSG00000211792
gorilla_gorilla ENSGGOG00000037769
pongo_abelii ENSPPYG00000005619
prolemur_simus ENSPSMG00000010400
myotis_lucifugus ENSMLUG00000026522
myotis_lucifugus ENSMLUG00000025974
loxodonta_africana ENSLAFG00000025642
loxodonta_africana ENSLAFG00000032442
echinops_telfairi ENSETEG00000001961
prolemur_simus ENSPSMG00000012600
chelonoidis_abingdonii ENSCABG00000010992
chrysemys_picta_bellii ENSCPBG00000022425
