electrophorus_electricus ENSEEEG00000013276
astyanax_mexicanus ENSAMXG00005022290
denticeps_clupeoides ENSDCDG00000023773
acanthochromis_polyacanthus ENSAPOG00000009442
stegastes_partitus ENSSPAG00000003502
astatotilapia_calliptera ENSACLG00000017198
haplochromis_burtoni ENSHBUG00000020499
maylandia_zebra ENSMZEG00005018276
xiphophorus_maculatus ENSXMAG00000014024
gambusia_affinis ENSGAFG00000008481
oryzias_melastigma ENSOMEG00000005812
larimichthys_crocea ENSLCRG00005000203
gasterosteus_aculeatus ENSGACG00000017061
monopterus_albus ENSMALG00000005941
esox_lucius ENSELUG00000020450
paramormyrops_kingsleyae ENSPKIG00000020560
amphilophus_citrinellus ENSACIG00000006366
takifugu_rubripes ENSTRUG00000008324
danio_rerio ENSDARG00000046124
erpetoichthys_calabaricus ENSECRG00000000272
astyanax_mexicanus ENSAMXG00005008914
cottoperca_gobio ENSCGOG00000023199
latimeria_chalumnae ENSLACG00000013576
xenopus_tropicalis ENSXETG00000010531
gopherus_agassizii ENSGAGG00000023937
chelonoidis_abingdonii ENSCABG00000005421
chrysemys_picta ENSCPBG00000005742
pelodiscus_sinensis ENSPSIG00000014732
gallus_gallus ENSGALG00000003129
meleagris_gallopavo ENSMGAG00000001841
coturnix_japonica ENSCJPG00005015191
numida_meleagris ENSNMEG00000019636
calidris_pugnax ENSCPUG00000004728
anser_brachyrhynchus ENSABRG00000000382
anas_platyrhynchos ENSAPLG00000008753
parus_major ENSPMJG00000017941
cyanistes_caeruleus ENSCCEG00000007359
serinus_canaria ENSSCAG00000017054
lonchura_striata ENSLSDG00000006183
taeniopygia_guttata ENSTGUG00000004717
junco_hyemalis ENSJHYG00000003058
zonotrichia_albicollis ENSZALG00000010599
ficedula_albicollis ENSFALG00000006766
manacus_vitellinus ENSMVIG00005019155
lepidothrix_coronata ENSLCOG00000008190
melopsittacus_undulatus ENSMUNG00000011351
calidris_pugnax ENSCPUG00000004727
calidris_pygmaea ENSCPGG00000008218
apteryx_haastii ENSAHAG00000001527
apteryx_owenii ENSAOWG00000002294
apteryx_rowi ENSARWG00000011650
