neolamprologus_brichardi ENSNBRG00000008846
pundamilia_nyererei ENSPNYG00000015189
amphilophus_citrinellus ENSACIG00000003575
stegastes_partitus ENSSPAG00000009468
xiphophorus_maculatus ENSXMAG00000021092
xiphophorus_couchianus ENSXCOG00000011535
gambusia_affinis ENSGAFG00000000520
poecilia_reticulata ENSPREG00000001758
fundulus_heteroclitus ENSFHEG00000005357
kryptolebias_marmoratus ENSKMAG00000009194
oryzias_latipes ENSORLG00020007069
oryzias_latipes ENSORLG00000009041
oryzias_latipes_asm223469v1 ENSORLG00015004843
mola_mola ENSMMOG00000016194
ciona_intestinalis ENSCING00000024912
caenorhabditis_elegans_strain_n2 WBGene00001161
drosophila_melanogaster FBgn0024371
