astyanax_mexicanus ENSAMXG00000021288
pygocentrus_nattereri ENSPNAG00000021368
danio_rerio ENSDARG00000099218
seriola_dumerili ENSSDUG00000008218
seriola_lalandi_dorsalis ENSSLDG00000001092
cynoglossus_semilaevis ENSCSEG00000009510
amphiprion_percula ENSAPEG00000003716
amphiprion_ocellaris ENSAOCG00000004071
acanthochromis_polyacanthus ENSAPOG00000003528
stegastes_partitus ENSSPAG00000000387
amphilophus_citrinellus ENSACIG00000013192
labrus_bergylta ENSLBEG00000018404
scleropages_formosus ENSSFOG00015008984
lepisosteus_oculatus ENSLOCG00000013211
anas_platyrhynchos_platyrhynchos ENSAPLG00000006324
anser_brachyrhynchus ENSABRG00000015515
meleagris_gallopavo ENSMGAG00000010116
coturnix_japonica ENSCJPG00005019129
gallus_gallus ENSGALG00000000274
numida_meleagris ENSNMEG00000004406
melopsittacus_undulatus ENSMUNG00000008025
lepidothrix_coronata ENSLCOG00000004487
manacus_vitellinus ENSMVIG00005004763
serinus_canaria ENSSCAG00000010225
junco_hyemalis ENSJHYG00000003168
lonchura_striata_domestica ENSLSDG00000003343
zonotrichia_albicollis ENSZALG00000007705
ficedula_albicollis ENSFALG00000013696
cyanistes_caeruleus ENSCCEG00000022044
parus_major ENSPMJG00000004152
calidris_pugnax ENSCPUG00000014460
calidris_pygmaea ENSCPGG00000015622
apteryx_owenii ENSAOWG00000018995
apteryx_haastii ENSAHAG00000011122
apteryx_rowi ENSARWG00000002855
dromaius_novaehollandiae ENSDNVG00000018145
nothoprocta_perdicaria ENSNPEG00000002166
crocodylus_porosus ENSCPRG00005000865
chelonoidis_abingdonii ENSCABG00000012522
gopherus_agassizii ENSGAGG00000013884
chrysemys_picta_bellii ENSCPBG00000009166
pelodiscus_sinensis ENSPSIG00000016780
sphenodon_punctatus ENSSPUG00000007109
xenopus_tropicalis ENSXETG00000027698
