bos_mutus ENSBMUG00000024922
bison_bison_bison ENSBBBG00000003036
capra_hircus ENSCHIG00000012019
felis_catus ENSFCAG00000045888
myotis_lucifugus ENSMLUG00000002269
cavia_porcellus ENSCPOG00000032513
cavia_porcellus ENSCPOG00000040656
cavia_porcellus ENSCPOG00000030264
cavia_porcellus ENSCPOG00000037041
fukomys_damarensis ENSFDAG00000016218
ochotona_princeps ENSOPRG00000015263
pan_paniscus ENSPPAG00000023046
pan_troglodytes ENSPTRG00000001320
gorilla_gorilla ENSGGOG00000002199
homo_sapiens ENSG00000187238
theropithecus_gelada ENSTGEG00000017885
piliocolobus_tephrosceles ENSPTEG00000027089
