seriola_dumerili ENSSDUG00000009135
seriola_lalandi_dorsalis ENSSLDG00000009966
scophthalmus_maximus ENSSMAG00000010800
amphiprion_ocellaris ENSAOCG00000003865
acanthochromis_polyacanthus ENSAPOG00000021766
haplochromis_burtoni ENSHBUG00000018600
astatotilapia_calliptera ENSACLG00000019088
oryzias_latipes ENSORLG00000011581
oryzias_latipes ENSORLG00020019567
oryzias_latipes_asm223469v1 ENSORLG00015011483
oryzias_melastigma ENSOMEG00000009551
poecilia_latipinna ENSPLAG00000007059
poecilia_mexicana ENSPMEG00000014534
poecilia_formosa ENSPFOG00000008018
poecilia_reticulata ENSPREG00000005350
gambusia_affinis ENSGAFG00000015580
xiphophorus_maculatus ENSXMAG00000002989
xiphophorus_couchianus ENSXCOG00000020146
mastacembelus_armatus ENSMAMG00000011727
cyprinodon_variegatus ENSCVAG00000007135
hippocampus_comes ENSHCOG00000005061
fundulus_heteroclitus ENSFHEG00000007886
kryptolebias_marmoratus ENSKMAG00000003756
takifugu_rubripes ENSTRUG00000025961
gasterosteus_aculeatus ENSGACG00000005594
mola_mola ENSMMOG00000019745
labrus_bergylta ENSLBEG00000002697
cynoglossus_semilaevis ENSCSEG00000016146
neolamprologus_brichardi ENSNBRG00000010843
maylandia_zebra ENSMZEG00005005750
periophthalmus_magnuspinnatus ENSPMGG00000001992
hippocampus_comes ENSHCOG00000005054
esox_lucius ENSELUG00000002476
ictalurus_punctatus ENSIPUG00000020530
astyanax_mexicanus ENSAMXG00000036806
ictalurus_punctatus ENSIPUG00000020535
pygocentrus_nattereri ENSPNAG00000026847
danio_rerio ENSDARG00000078997
gadus_morhua ENSGMOG00000010440
scleropages_formosus ENSSFOG00015021302
paramormyrops_kingsleyae ENSPKIG00000010804
ciona_savignyi ENSCSAVG00000004417
pogona_vitticeps ENSPVIG00000015773
anolis_carolinensis ENSACAG00000010167
salvator_merianae ENSSMRG00000006041
sphenodon_punctatus ENSSPUG00000016016
meleagris_gallopavo ENSMGAG00000011929
gallus_gallus ENSGALG00000034493
coturnix_japonica ENSCJPG00005014771
numida_meleagris ENSNMEG00000019050
anser_brachyrhynchus ENSABRG00000005341
anas_platyrhynchos_platyrhynchos ENSAPLG00000010406
calidris_pugnax ENSCPUG00000001797
calidris_pugnax ENSCPUG00000001793
calidris_pygmaea ENSCPGG00000012596
melopsittacus_undulatus ENSMUNG00000011525
manacus_vitellinus ENSMVIG00005001921
lepidothrix_coronata ENSLCOG00000015718
lonchura_striata_domestica ENSLSDG00000003718
taeniopygia_guttata ENSTGUG00000005698
serinus_canaria ENSSCAG00000010500
junco_hyemalis ENSJHYG00000005946
zonotrichia_albicollis ENSZALG00000008666
parus_major ENSPMJG00000011855
cyanistes_caeruleus ENSCCEG00000014958
ficedula_albicollis ENSFALG00000002880
apteryx_owenii ENSAOWG00000008047
apteryx_rowi ENSARWG00000000596
apteryx_haastii ENSAHAG00000010959
dromaius_novaehollandiae ENSDNVG00000001243
nothoprocta_perdicaria ENSNPEG00000000563
crocodylus_porosus ENSCPRG00005009401
gopherus_agassizii ENSGAGG00000022749
chelonoidis_abingdonii ENSCABG00000002412
chrysemys_picta_bellii ENSCPBG00000013524
pelodiscus_sinensis ENSPSIG00000010108
ovis_aries ENSOARG00000000094
capra_hircus ENSCHIG00000020580
bos_mutus ENSBMUG00000019053
bos_taurus ENSBTAG00000039727
bison_bison_bison ENSBBBG00000005168
tursiops_truncatus ENSTTRG00000004957
sus_scrofa ENSSSCG00000011241
vicugna_pacos ENSVPAG00000005674
ursus_maritimus ENSUMAG00000006475
ursus_americanus ENSUAMG00000005448
ailuropoda_melanoleuca ENSAMEG00000017930
neovison_vison ENSNVIG00000024954
mustela_putorius_furo ENSMPUG00000002934
canis_lupus_familiaris ENSCAFG00000032761
canis_lupus_dingo ENSCAFG00020001505
panthera_pardus ENSPPRG00000001743
panthera_tigris_altaica ENSPTIG00000014091
felis_catus ENSFCAG00000022392
sorex_araneus ENSSARG00000011727
echinops_telfairi ENSETEG00000013703
pteropus_vampyrus ENSPVAG00000004198
myotis_lucifugus ENSMLUG00000003533
equus_asinus_asinus ENSEASG00005007362
equus_caballus ENSECAG00000020294
erinaceus_europaeus ENSEEUG00000014402
castor_canadensis ENSCCNG00000017818
dipodomys_ordii ENSDORG00000029566
cricetulus_griseus_crigri ENSCGRG00000015257
cricetulus_griseus_chok1gshd ENSCGRG00001023842
cricetulus_griseus_crigri-picr ENSCGRG00015019251
mesocricetus_auratus ENSMAUG00000009394
microtus_ochrogaster ENSMOCG00000022542
peromyscus_maniculatus_bairdii ENSPEMG00000020900
mus_musculus ENSMUSG00000032500
