piliocolobus_tephrosceles ENSPTEG00000035462
theropithecus_gelada ENSTGEG00000011723
homo_sapiens ENSG00000235453
callithrix_jacchus ENSCJAG00000039426
saimiri_boliviensis_boliviensis ENSSBOG00000020460
cebus_capucinus ENSCCAG00000034671
aotus_nancymaae ENSANAG00000026114
gorilla_gorilla ENSGGOG00000042900
pan_troglodytes ENSPTRG00000046844
nomascus_leucogenys ENSNLEG00000030141
cercocebus_atys ENSCATG00000027078
macaca_fascicularis ENSMFAG00000040652
colobus_angolensis_palliatus ENSCANG00000031114
macaca_nemestrina ENSMNEG00000031405
papio_anubis ENSPANG00000035791
mandrillus_leucophaeus ENSMLEG00000033489
rhinopithecus_roxellana ENSRROG00000040271
rhinopithecus_bieti ENSRBIG00000044565
microcebus_murinus ENSMICG00000047743
propithecus_coquereli ENSPCOG00000018568
prolemur_simus ENSPSMG00000010981
cavia_porcellus ENSCPOG00000038568
chinchilla_lanigera ENSCLAG00000002243
octodon_degus ENSODEG00000016380
fukomys_damarensis ENSFDAG00000016098
ictidomys_tridecemlineatus ENSSTOG00000031392
panthera_tigris_altaica ENSPTIG00000014775
panthera_pardus ENSPPRG00000010819
felis_catus ENSFCAG00000040674
neovison_vison ENSNVIG00000000676
bos_mutus ENSBMUG00000017963
bison_bison_bison ENSBBBG00000021818
phascolarctos_cinereus ENSPCIG00000031361
