anas_platyrhynchos_platyrhynchos ENSAPLG00000010511
crocodylus_porosus ENSCPRG00005015787
apteryx_rowi ENSARWG00000016119
apteryx_haastii ENSAHAG00000005926
apteryx_owenii ENSAOWG00000007787
dromaius_novaehollandiae ENSDNVG00000005002
nothoprocta_perdicaria ENSNPEG00000003587
gallus_gallus ENSGALG00000030673
coturnix_japonica ENSCJPG00005002845
numida_meleagris ENSNMEG00000016253
anser_brachyrhynchus ENSABRG00000011677
lepidothrix_coronata ENSLCOG00000006230
manacus_vitellinus ENSMVIG00005007661
cyanistes_caeruleus ENSCCEG00000014991
parus_major ENSPMJG00000017330
lonchura_striata_domestica ENSLSDG00000005040
taeniopygia_guttata ENSTGUG00000012831
zonotrichia_albicollis ENSZALG00000006120
junco_hyemalis ENSJHYG00000011864
serinus_canaria ENSSCAG00000006626
ficedula_albicollis ENSFALG00000002795
melopsittacus_undulatus ENSMUNG00000002338
calidris_pygmaea ENSCPGG00000014563
calidris_pugnax ENSCPUG00000004008
gopherus_agassizii ENSGAGG00000011972
chelonoidis_abingdonii ENSCABG00000021003
chrysemys_picta_bellii ENSCPBG00000020336
pelodiscus_sinensis ENSPSIG00000015646
pogona_vitticeps ENSPVIG00000005508
salvator_merianae ENSSMRG00000002316
sphenodon_punctatus ENSSPUG00000008570
cricetulus_griseus_crigri-picr ENSCGRG00015019240
cricetulus_griseus_crigri ENSCGRG00000004573
cricetulus_griseus_chok1gshd ENSCGRG00001012003
mesocricetus_auratus ENSMAUG00000020246
peromyscus_maniculatus_bairdii ENSPEMG00000024190
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018979
mus_spicilegus ENSMSIG00000008862
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018130
mus_musculus ENSMUSG00000087075
mus_pahari MGP_PahariEiJ_G0029887
meriones_unguiculatus ENSMUGG00000016496
meriones_unguiculatus ENSMUGG00000018584
rattus_norvegicus ENSRNOG00000043137
microtus_ochrogaster ENSMOCG00000018196
nannospalax_galili ENSNGAG00000021417
castor_canadensis ENSCCNG00000027465
urocitellus_parryii ENSUPAG00010017871
spermophilus_dauricus ENSSDAG00000024696
equus_caballus ENSECAG00000039552
astyanax_mexicanus ENSAMXG00000040206
pygocentrus_nattereri ENSPNAG00000012775
ictalurus_punctatus ENSIPUG00000015915
danio_rerio ENSDARG00000095347
pygocentrus_nattereri ENSPNAG00000029833
astyanax_mexicanus ENSAMXG00000033759
esox_lucius ENSELUG00000017949
scleropages_formosus ENSSFOG00015014250
paramormyrops_kingsleyae ENSPKIG00000019973
paramormyrops_kingsleyae ENSPKIG00000015732
lepisosteus_oculatus ENSLOCG00000009854
haplochromis_burtoni ENSHBUG00000021355
maylandia_zebra ENSMZEG00005028226
acanthochromis_polyacanthus ENSAPOG00000020247
